Accession,Status,Has_Results,SubmissionDate,Title,Is_Blood,Is_CellLine
PXD012768,Mixed/Unsure,True,2019-02-18,Effect of MSC and MSC-derived extracellular vesicles on human blood coagulation,True,True
PXD012042,High Priority (Blood),False,2018-12-13,Use of lymph-circulating extracellular vesicles as surrogate markers of melanoma progression and BRAFV600E mutation,True,False
PXD011241,Cell Line,Not Checked,2018-10-01,Exosomes of p53 mutant H1299 cells,False,True
PXD010760,Cell Line,Not Checked,2018-08-13,Exosomal transport of hepatocyte-derived drug-modified proteins to the immune system,False,True
PXD010539,Mixed/Unsure,False,2018-07-24,Data in support of proteomics of EVs ámd mimetic vesicles from,True,True
PXD010467,Cell Line,Not Checked,2018-07-18,Integrative analysis of mesenchymal stromal cell conversion by breast cancer secretomes in blank slate 3D microenvironments,False,True
PXD010379,MaxQuant (Other),Not Checked,2018-07-11,Exosomes and small microvesicles are key regulators of non-cell autonomous intercellular communication in senescence,False,False
PXD009784,Cell Line,Not Checked,2018-05-15,Changes in the urinary extracellular vesicle proteome are associated with nephronophthisis-related ciliopathies,False,True
PXD009490,Mixed/Unsure,False,2018-04-13,Fibrinogen  chain positive circulating exosomes are a colorectal cancer potential biomarker,True,True
PXD008389,MaxQuant (Other),Not Checked,2017-12-07,MUC1(insC) affects vesicular transport in renal epithelial cells,False,False
PXD008035,Mixed/Unsure,True,2017-10-24,Mesenchymal stem cells enhance tumorigenic properties of human glioblastoma cells through independent cell-cell communication mechanisms,True,True
PXD007902,Mixed/Unsure,False,2017-10-04,"Myristic acid induces proteomic and secretomic changes associated with steatosis, cytoskeleton remodeling, endoplasmatic reticulum stress and exosome release in HepG2 cells",True,True
PXD006501,High Priority (Blood),False,2017-09-28,Quantitative proteomic analysis of the human extracellular vesicle proteome reveals a novel mechanism for tissue cross-talk during exercise,True,False
PXD007572,Mixed/Unsure,False,2017-08-28,A pipeline for discovery and verification of glycoproteins from plasma-derived extracellular vesicles as breast cancer biomarkers,True,True
PXD005814,Cell Line,Not Checked,2017-02-09,Systematic Analysis of Cell-Type Differences in the Epithelial Secretome Reveals Insights Into Pathogenesis Of RSV-Induced Lower Respiratory Tract Infections,False,True
PXD005864,Cell Line,Not Checked,2017-02-07,Proteomic analysis of neuroblastoma-derived exosomes LC-MS,False,True
PXD005830,Mixed/Unsure,True,2017-02-01,Proteome Analysis of Non-Small Cell Lung Cancer Cell Line Secretomes and Patient Sputum Reveals Biofluid Biomarker Candidates for Cisplatin Response Prediction,True,True
PXD005479,Cell Line,Not Checked,2016-12-01,Proteomic profiling of NCI-60 extracellular vesicles uncovers common protein cargo and cancer type-specific biomarkers,False,True
PXD005219,MaxQuant (Other),Not Checked,2016-10-25,Longitudinal study of the small urinary extracellular vesicle proteome during living donor kidney transplantation,False,False
PXD005214,Mixed/Unsure,False,2016-10-24,Phosphoproteins in extracellular vehicles as candidate markers for breast cancer,True,True
PXD004779,Cell Line,Not Checked,2016-08-12,Malignant hepatocellular carcinoma cells enrich translation regulatory proteins in exosomes,False,True
PXD004420,High Priority (Blood),True,2016-06-22,Proteome profiling of blood plasma-derived exosomes in chronic lymphocytic leukemia,True,False
PXD003940,Mixed/Unsure,False,2016-04-12,Phosphatase POPX2 exhibits dual regulatory functions in cancer metastasis,True,True
PXD003478,Mixed/Unsure,True,2016-01-18,"Human AML secretome and exosomes and correlation with Anti-Apoptotic Index, part 4",True,True
PXD003298,MaxQuant (Other),Not Checked,2015-12-15,Proteomic Analysis of Urinary Extracellular Vesicles,False,False
PXD002498,MaxQuant (Other),Not Checked,2015-09-25,Quantitative proteomics in osteoblasts-released matrix vesicles,False,False
PXD002703,Cell Line,Not Checked,2015-08-12,Proteomics of Secretomes and Exosomes in Melanoma,False,True
PXD002279,Cell Line,Not Checked,2015-06-01,SLC12A3 isoforms in human urine exosomes,False,True
PXD001856,MaxQuant (Other),Not Checked,2015-03-02,Comprehensive transcriptomic and proteomic characterization of human mesenchymal stem cells reveals source specific cellular markers,False,False
PXD001487,Mixed/Unsure,True,2014-11-13,"Human AML secretome and exosomes and correlation with Anti-Apoptotic Index, part 3",True,True
PXD001430,Mixed/Unsure,False,2014-10-23,Proteomic analysis of urinary exosomes in cystinuria patients,True,True
PXD001339,Cell Line,Not Checked,2014-09-17,Huh-7 exosomes and HBV -  Quantitative Proteomic Analysis of Exosome Protein Content Changes Induced by Hepatitis B Virus in Huh-7 Cells Using SILAC Labeling and LC-MS/MS,False,True
PXD000776,MaxQuant (Other),Not Checked,2014-02-25,Quantitative proteomic analysis of large and small extracellular vesicles from prostate cancer cells,False,False
PXD000695,Cell Line,Not Checked,2014-01-21,In-depth proteomic analyses of ovarian cancer cell line exosomes reveals differential enrichment of functional categories compared to the NCI 60 proteome.,False,True
PXD069253,MaxQuant (Other),Not Checked,2025-10-09,Proteome of extracellular vesicles derived from MCF-10A and MDA-MB-231 cells,False,False
PXD069251,Mixed/Unsure,False,2025-10-09,Small extracellular vesicles secreted by cisplatin-resistant neuroblastoma cells increase lactate secretion and alter metabolic pathways in primary human umbilical vein endothelial cells (HUVECs),True,True
PXD067718,Cell Line,Not Checked,2025-08-26,The formation of the 'footprint of death' as a mechanism for generating large substrate-bound extracellular vesicles that mark the site of cell death,False,True
PXD067612,Mixed/Unsure,False,2025-08-22,Extracellular vesicles derived from induced pluripotent stem cells mediate anti-inflammatory effects in human primary macrophage. Macrophage dataset.,True,True
