miRNA,ERR3629088,ERR3629087,ERR3629086,ERR3629085,ERR3629084,ERR3629083,ERR3629082,ERR3629081,ERR3629080,ERR3629079,ERR3629078,ERR3629077
hsa-miR-30d-3p,13.58,11.16,15.68,12.51,13.51,12.78,19.02,8.95,16.83,15.01,11.01,10.57
hsa-miR-30d-5p,2561.75,2272.98,2664.58,1082.91,1204.82,1188.12,1453.48,1493.02,1389.69,2392.07,2507.13,2385.14
hsa-miR-30e-3p,1285.57,1381.05,1242.89,1323.13,1422.46,1409.35,1285.52,1232.59,1010.07,1072.88,1029.9,983.88
hsa-miR-30e-5p,875.77,823.31,955.11,353.72,412.55,408.6,397.27,414.11,500.15,605.19,646.78,667.91
hsa-miR-31-3p,0.0,0.0,0.52,0.36,0.46,0.83,2.15,0.0,0.49,1.07,0.83,0.9
hsa-miR-31-5p,22.13,22.65,22.22,15.77,14.73,15.6,6.9,12.13,13.42,12.6,14.13,15.07
hsa-miR-3115,1.84,1.31,1.31,1.99,2.61,2.49,2.61,1.39,2.44,1.61,1.45,1.57
hsa-miR-3116,0.17,0.0,0.0,0.0,0.0,0.33,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-3117-3p,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3120-3p,9.73,2.95,0.52,15.59,14.27,2.16,1.69,9.34,7.56,10.72,0.42,8.55
hsa-miR-3120-5p,0.5,0.16,1.31,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
hsa-miR-3121-3p,0.17,0.33,0.0,0.18,0.61,0.5,0.61,0.4,0.24,0.27,0.21,0.45
hsa-miR-3121-5p,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3122,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
