miRNA,ERR5922419,ERR5922420,ERR5922421,ERR5922422,ERR5922423,ERR5922424,ERR5922425,ERR5922426,ERR5922427,ERR5922428
hsa-miR-4306,0.0,0.09,0.0,0.24,0.8,0.0,0.17,0.0,0.26,0.0
hsa-miR-431-3p,14.86,59.41,20.33,13.08,109.52,28.6,51.61,118.25,141.52,85.45
hsa-miR-431-5p,62.7,141.62,68.14,171.39,518.86,226.54,314.56,536.38,430.8,1152.78
hsa-miR-432-3p,0.0,0.27,0.1,0.0,1.2,0.17,0.33,0.28,1.56,0.5
hsa-miR-432-5p,41.33,98.32,43.85,50.89,286.91,127.61,227.94,366.27,182.79,633.89
hsa-miR-4324,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4326,3.15,3.2,0.77,1.06,1.0,1.93,5.09,4.7,2.73,4.35
hsa-miR-433-3p,11.39,8.33,9.29,28.74,59.36,289.63,130.56,62.68,25.13,490.94
hsa-miR-433-5p,1.74,3.39,2.13,1.65,7.31,0.59,2.25,5.13,1.95,3.85
hsa-miR-4421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-4423-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4423-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4424,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.0,0.0,0.12
hsa-miR-4425,0.0,0.0,0.0,0.0,0.3,0.08,0.0,0.0,0.13,0.37
hsa-miR-4427,0.0,0.0,0.1,0.0,0.0,0.08,0.0,0.0,0.0,0.12
hsa-miR-4429,0.11,0.0,0.0,0.12,0.0,0.08,0.25,1.14,0.0,0.5
hsa-miR-4432,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.43,0.0,0.0
hsa-miR-4433a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-4433b-3p,0.0,0.0,0.1,0.0,0.0,0.08,0.0,0.0,0.0,0.25
hsa-miR-4433b-5p,0.33,0.0,0.19,1.53,0.3,0.0,0.17,0.28,0.0,0.25
hsa-miR-4437,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0
hsa-miR-4440,0.0,0.0,0.0,0.0,0.1,0.08,0.08,0.28,0.0,0.0
hsa-miR-4443,0.0,0.09,0.0,0.47,0.1,0.08,0.17,0.14,0.39,0.37
hsa-miR-4444,0.11,0.0,0.0,0.0,0.0,0.08,0.0,0.14,0.0,0.0
hsa-miR-4445-3p,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.13,0.0
hsa-miR-4445-5p,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.52,0.0
hsa-miR-4446-3p,0.22,0.0,0.1,0.24,0.0,0.17,0.0,0.0,0.0,0.0
hsa-miR-4449,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.14,0.13,0.0
hsa-miR-4460,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.13,0.0
hsa-miR-4463,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4465,0.0,0.18,0.39,0.24,0.4,1.51,1.75,1.28,0.65,0.99
hsa-miR-4466,0.22,0.46,0.0,0.35,0.1,0.25,0.67,0.57,0.65,1.61
hsa-miR-4467,0.22,0.0,0.0,0.0,0.4,0.0,0.5,0.0,0.0,0.5
hsa-miR-4470,0.0,0.0,0.1,0.24,0.1,0.5,0.42,0.43,0.0,0.0
hsa-miR-4473,0.22,0.09,0.1,0.0,2.0,0.42,1.5,0.71,2.86,4.1
hsa-miR-4474-3p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.26,0.0
hsa-miR-4477a,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.13,0.0
hsa-miR-4477b,0.0,0.09,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.12
hsa-miR-4479,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.28,0.0,0.0
hsa-miR-4482-3p,0.0,0.0,0.0,0.0,0.2,0.25,0.17,0.0,0.0,0.25
hsa-miR-4482-5p,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.0
hsa-miR-4484,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4485-3p,0.43,0.18,0.19,0.0,0.4,0.17,0.17,0.14,0.39,0.25
hsa-miR-4485-5p,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
hsa-miR-4488,1.41,0.73,0.1,0.24,0.5,1.6,2.0,0.57,0.0,0.37
hsa-miR-4489,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.0,0.13,0.0
hsa-miR-4490,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4492,0.0,0.0,0.0,0.0,0.0,1.09,0.25,0.43,0.0,0.25
hsa-miR-4493,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4497,0.65,0.37,0.1,0.12,0.8,0.42,0.83,0.14,0.13,1.37
hsa-miR-4498,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.26,0.12
hsa-miR-449a,0.11,0.18,0.1,0.24,0.8,0.17,0.08,0.0,0.65,0.5
hsa-miR-449b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.0,0.0
hsa-miR-449c-5p,0.11,0.0,0.1,0.0,0.1,0.08,0.08,0.43,0.13,0.0
hsa-miR-4503,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4504,0.54,0.92,0.19,0.35,0.6,0.34,0.42,0.57,1.56,0.75
hsa-miR-4506,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4508,0.33,0.09,0.0,0.12,0.0,0.25,0.0,0.0,0.0,0.37
