miRNA,GSM3151945,GSM3151946,GSM3151947,GSM3151948,GSM3151949,GSM3151950,GSM3151951,GSM3151952,GSM3151953,GSM3151954,GSM3151955,GSM3151956,GSM3151957,GSM3151958,GSM3151959,GSM3151960,GSM3151961,GSM3151962,GSM3151963,GSM3151964,GSM3151965,GSM3151966,GSM3151967,GSM3151968,GSM3151969,GSM3151970,GSM3151971,GSM3151972
hsa-miR-11400,0.0,0.0,0.0,0.0,0.08,0.28,0.5,0.29,26.92,0.42,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.47,0.19,27.57,25.64,0.17,25.76,0.0,0.0,0.0,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.08,0.0,1.15,0.14,0.33,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.93,0.81,0.09,0.31,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.2,0.04,0.29,0.07,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.17,0.2,0.09,0.41,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,6.32,0.0,18.27,0.0,0.36,0.36,1.58,0.5,0.67,1.06,0.0,0.0,0.0,0.0,0.0,3.19,0.0,3.27,1.53,0.62,2.8,1.42,0.26,0.82,0.0,31.95,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.4,1.61,0.5,1.22,0.11,0.42,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.71,1.12,0.85,0.1,0.17,3.9,0.0,0.0,0.0,0.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.14,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.41,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.0,13.26,0.2,0.28,0.0,0.36,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.37,0.34,0.1,0.0,0.62,0.0,0.0,0.0,0.0
hsa-miR-1193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,0.51,3.7,0.93,2.81,0.72,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,1.68,1.78,1.53,0.78,3.8,0.0,0.0,0.0,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
