miRNA,DRR006757,DRR006758,DRR006759
hsa-miR-193b-3p,0.0,1.3,0.0
hsa-miR-193b-5p,0.0,2.61,1.12
hsa-miR-194-5p,0.0,0.0,1.12
hsa-miR-196b-5p,2.35,3.91,3.35
hsa-miR-199a-3p,0.0,2.61,0.0
hsa-miR-19a-3p,0.0,0.0,2.23
hsa-miR-19b-3p,0.0,0.0,3.35
hsa-miR-200c-3p,0.0,2.61,0.0
hsa-miR-203a-3p,2.35,37.84,14.51
hsa-miR-204-3p,0.0,13.05,0.0
hsa-miR-205-5p,2.35,2.61,0.0
hsa-miR-206,0.0,3.91,4.46
hsa-miR-20a-5p,0.0,0.0,5.58
hsa-miR-21-5p,1.18,14.35,21.2
hsa-miR-218-1-3p,0.0,1.3,0.0
hsa-miR-22-3p,0.0,18.27,14.51
hsa-miR-221-3p,0.0,7.83,11.16
hsa-miR-223-3p,1.18,1.3,3.35
hsa-miR-223-5p,0.0,1.3,0.0
hsa-miR-224-5p,0.0,0.0,3.35
hsa-miR-23a-3p,3.53,10.44,12.27
hsa-miR-23a-5p,0.0,0.0,2.23
hsa-miR-23b-3p,3.53,2.61,4.46
hsa-miR-24-3p,0.0,2.61,0.0
hsa-miR-26a-5p,1.18,1.3,3.35
hsa-miR-26b-5p,0.0,0.0,2.23
hsa-miR-27a-3p,2.35,7.83,0.0
hsa-miR-27b-3p,1.18,3.91,8.93
hsa-miR-28-5p,0.0,0.0,1.12
hsa-miR-29a-3p,1.18,0.0,1.12
hsa-miR-301a-3p,0.0,0.0,1.12
hsa-miR-301b-3p,0.0,0.0,3.35
hsa-miR-30a-5p,0.0,3.91,11.16
hsa-miR-30c-5p,0.0,0.0,1.12
hsa-miR-30d-5p,2.35,6.52,14.51
hsa-miR-30e-3p,0.0,0.0,1.12
hsa-miR-30e-5p,1.18,5.22,8.93
hsa-miR-3168,1.18,0.0,2.23
hsa-miR-320a-3p,1.18,24.79,23.43
hsa-miR-320b,1.18,58.71,65.84
hsa-miR-320d,0.0,6.52,5.58
hsa-miR-320e,0.0,1.3,0.0
hsa-miR-323a-3p,1.18,0.0,0.0
hsa-miR-324-5p,0.0,5.22,0.0
hsa-miR-328-5p,0.0,5.22,0.0
hsa-miR-335-3p,1.18,0.0,0.0
hsa-miR-337-3p,0.0,0.0,4.46
hsa-miR-340-5p,0.0,0.0,1.12
hsa-miR-3613-3p,0.0,1.3,1.12
hsa-miR-3619-5p,1.18,0.0,0.0
hsa-miR-3620-3p,0.0,0.0,1.12
hsa-miR-3659,0.0,0.0,1.12
hsa-miR-365b-5p,0.0,0.0,1.12
hsa-miR-3665,0.0,1.3,0.0
hsa-miR-375-3p,3.53,9.13,2.23
hsa-miR-376a-3p,0.0,0.0,1.12
hsa-miR-376c-3p,0.0,0.0,1.12
hsa-miR-378a-3p,2.35,0.0,10.04
hsa-miR-378c,0.0,6.52,0.0
hsa-miR-378d,2.35,1.3,0.0
hsa-miR-379-5p,0.0,6.52,1.12
hsa-miR-381-3p,0.0,0.0,1.12
hsa-miR-3916,0.0,1.3,0.0
hsa-miR-3929,2.35,1.3,0.0
hsa-miR-411-5p,0.0,0.0,1.12
hsa-miR-423-5p,1.18,14.35,4.46
hsa-miR-425-3p,0.0,0.0,1.12
hsa-miR-425-5p,0.0,1.3,3.35
hsa-miR-4284,0.0,0.0,1.12
hsa-miR-4451,0.0,2.61,0.0
hsa-miR-4477a,0.0,0.0,3.35
hsa-miR-4508,1.18,0.0,0.0
hsa-miR-451a,0.0,0.0,6.7
hsa-miR-4668-5p,4.71,0.0,1.12
hsa-miR-4800-5p,1.18,0.0,0.0
hsa-miR-493-5p,0.0,1.3,0.0
hsa-miR-494-3p,0.0,0.0,1.12
hsa-miR-518a-3p,0.0,0.0,1.12
hsa-miR-518c-3p,0.0,0.0,3.35
hsa-miR-524-5p,0.0,0.0,1.12
hsa-miR-542-3p,0.0,6.52,0.0
hsa-miR-548k,0.0,1.3,3.35
hsa-miR-5588-5p,44.72,20.87,1.12
hsa-miR-577,0.0,0.0,1.12
hsa-miR-619-5p,15.3,2.61,0.0
hsa-miR-6514-3p,0.0,1.3,0.0
hsa-miR-6724-5p,1.18,0.0,0.0
hsa-miR-7-5p,1.18,2.61,0.0
hsa-miR-7154-5p,1.18,0.0,0.0
hsa-miR-769-3p,0.0,1.3,1.12
hsa-miR-7704,0.0,1.3,0.0
hsa-miR-8086,3.53,0.0,0.0
hsa-miR-8485,11.77,57.4,25.67
hsa-miR-9-3p,0.0,3.91,0.0
hsa-miR-9-5p,1.18,2.61,1.12
hsa-miR-92a-1-5p,1.18,5.22,0.0
hsa-miR-92a-3p,0.0,1.3,4.46
hsa-miR-95-3p,0.0,1.3,3.35
hsa-miR-99a-5p,0.0,2.61,2.23
hsa-mir-1245a-3p,0.0,2.61,0.0
hsa-mir-1285-2-3p,0.0,1.3,0.0
hsa-mir-1303-3p,2.35,0.0,0.0
hsa-mir-3159-5p,0.0,1.3,0.0
hsa-mir-3908-5p,4.71,1.3,2.23
hsa-mir-548ai-5p,1.18,0.0,0.0
hsa-mir-558-3p,2.35,1.3,2.23
hsa-mir-567-5p,60.02,46.97,20.09
hsa-mir-5684-5p,1.18,0.0,0.0
hsa-mir-6724-4-5p,1.18,0.0,0.0
hsa-mir-6844-3p,0.0,5.22,0.0
hsa-mir-718-3p,0.0,1.3,2.23
hsa-mir-765-3p,1.18,0.0,0.0
hsa-mir-8086-5p,2.35,0.0,0.0
hsa-mir-8485-3p,0.0,0.0,1.12
