miRNA,GSM2442624,GSM2442625,GSM2442626,GSM2442627,GSM2442628,GSM2442629,GSM2442630,GSM2442631,GSM2442632,GSM2442633
hsa-miR-365a-3p,0.34,0.0,0.24,0.11,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-365a-5p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365b-3p,0.0,0.18,1.34,2.36,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3661,0.0,0.18,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3665,3.74,7.3,5.0,4.04,0.0,4.18,0.0,0.0,0.0,3.38
hsa-miR-3680-5p,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-369-3p,0.0,0.36,0.12,0.22,0.0,0.0,0.0,6.52,6.53,6.76
hsa-miR-369-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-370-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,3.38
hsa-miR-371a-5p,0.17,1.42,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0
hsa-miR-372-3p,1.02,1.42,1.1,1.12,0.0,0.0,6.38,3.26,3.27,6.76
hsa-miR-373-3p,1.02,1.25,0.73,0.67,0.0,0.0,0.0,6.52,9.8,0.0
hsa-miR-374a-3p,1.19,0.53,1.1,1.57,0.0,0.0,0.0,0.0,19.59,3.38
hsa-miR-374a-5p,0.34,0.71,1.1,1.35,0.0,0.0,0.0,9.78,0.0,0.0
hsa-miR-374b-5p,1.53,0.0,0.61,1.12,6.68,0.0,0.0,3.26,0.0,0.0
hsa-miR-375-3p,0.0,0.36,0.37,0.56,0.0,20.9,47.84,32.61,55.52,6.76
hsa-miR-376a-3p,0.0,0.0,0.0,0.0,0.0,4.18,0.0,3.26,0.0,3.38
hsa-miR-376c-3p,0.0,0.18,0.0,0.22,6.68,0.0,6.38,0.0,0.0,3.38
hsa-miR-377-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-377-5p,0.0,0.18,0.24,0.11,0.0,4.18,0.0,9.78,0.0,0.0
hsa-miR-378a-3p,22.6,23.14,41.33,40.42,26.72,96.16,51.03,42.39,101.23,30.4
hsa-miR-378a-5p,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378b,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378c,0.0,1.25,0.0,0.56,0.0,4.18,0.0,3.26,0.0,0.0
hsa-miR-378d,0.0,0.18,0.24,0.22,0.0,4.18,0.0,0.0,0.0,0.0
hsa-miR-378e,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378i,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-379-5p,0.0,0.18,0.0,0.0,0.0,4.18,0.0,3.26,0.0,6.76
hsa-miR-381-3p,0.34,2.49,1.22,0.9,13.36,16.72,35.08,94.56,9.8,33.78
hsa-miR-382-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-382-5p,0.0,0.18,0.0,0.0,0.0,4.18,0.0,6.52,0.0,0.0
hsa-miR-3909,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
