miRNA,SRR23107340,SRR23107341,SRR23107342,SRR23107343,SRR23107344,SRR23107345,SRR23107346,SRR23107347,SRR23107348,SRR23107349,SRR23107350,SRR23107351,SRR23107352,SRR23107353,SRR23107354,SRR23107355,SRR23107356,SRR23107357,SRR23107358,SRR23107359,SRR23107360,SRR23107361,SRR23107362,SRR23107363,SRR23107364,SRR23107365,SRR23107366,SRR23107367,SRR23107368,SRR23107369,SRR23107370,SRR23107371,SRR23107372,SRR23107373,SRR23107374,SRR23107375,SRR23107376
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.41,0.2,0.6,0.0,0.0,0.0,0.0,0.11,0.39,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,2.4,0.65,0.21,1.98,0.22,0.58,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,22.51,348.4,27.91,711.81,0.19,38.67,0.0,0.43,221.36,20.66,41.03,2.02,1398.77,15.47,298.21,164.17,173.21,0.28,1140.45,12.57,231.5,6.32,0.87,112.51,116.35,302.64,116.04,103.45,7.35,98.94,129.3,280.47,298.9,121.66,659.62,125.18,222.86
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10400-5p,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,1.93,3.24,7.15,4.65,0.0,0.0,14.05,0.0,1.28,0.0,0.0,0.0,1.63,1.21,5.99,13.74,3.82,0.0,0.54,0.55,0.2,0.0,0.0,0.0,1.34,0.57,0.29,0.0,0.29,0.24,1.68,1.66,0.26,0.22,1.4,4.03,1.02
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.13,0.0,0.0,0.21,0.0,0.0,0.76,4.02,0.29,0.0,0.0,0.6,0.0,0.0,0.0,0.11,0.23,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.24,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.0,0.85,0.14,0.81,0.77,0.59,0.0,0.0,0.0,0.0,0.19,0.0,0.44,0.0,0.0,0.0,0.0,0.69,0.77,0.47,0.0,0.1
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.38,0.0,0.76,0.0,0.0,0.0,0.0,0.0,1.98,0.11,0.23,0.0,0.0
hsa-miR-106a-5p,0.0,4.22,0.0,2.11,0.0,1.48,0.0,0.0,4.87,0.0,1.28,0.0,12.83,4.62,6.68,0.12,9.55,0.0,54.34,8.75,3.33,0.0,0.0,0.0,4.59,3.06,23.95,4.64,0.0,9.11,11.88,5.28,7.39,13.66,10.14,3.25,11.35
hsa-miR-106b-3p,24.01,160.41,28.43,316.38,1.53,22.14,17.04,0.0,383.86,4.9,99.9,81.04,173.88,260.01,288.43,69.42,299.29,0.28,633.96,162.26,143.49,5.89,1.21,23.21,147.11,109.95,271.88,290.81,1.3,459.58,273.46,265.76,635.44,90.07,239.5,183.01,121.65
hsa-miR-106b-5p,10.72,38.84,4.36,89.19,0.38,4.43,0.0,0.0,65.67,1.05,37.88,21.89,19.65,37.88,54.07,11.83,42.67,0.28,138.2,23.51,99.58,5.89,6.25,2.81,19.68,58.23,151.16,45.93,0.58,135.88,52.7,45.05,141.42,17.93,107.86,26.78,11.96
hsa-miR-107,157.55,11.82,0.0,4.65,0.0,2.36,0.09,0.33,58.87,1.05,1.05,44.23,10.08,397.86,334.12,13.14,0.0,0.0,13.42,77.52,1787.68,0.21,0.0,0.0,183.22,3.83,94.76,0.55,0.58,2.52,3.62,2.69,40.12,13.55,3.26,0.0,0.0
hsa-miR-10a-3p,0.0,5.35,0.0,3.8,0.0,1.18,0.0,0.0,29.37,0.0,0.0,0.0,30.74,19.19,3.59,6.57,204.94,1.42,3.09,8.75,14.51,0.86,0.13,0.0,14.52,16.28,28.44,0.44,0.14,1.56,21.7,6.84,4.21,17.93,40.46,3.81,7.97
hsa-miR-10a-5p,16.08,212.33,50.41,1103.01,6.9,6.79,26.79,0.98,3504.25,41.84,18.88,50.4,5893.88,2102.52,2725.07,602.42,8191.26,105.86,2329.34,3353.31,1322.14,54.77,25.21,10.55,450.13,268.93,12640.95,29.81,17.87,2208.2,2776.72,5930.85,141.76,5892.92,7699.39,2550.5,7371.72
hsa-miR-10b-3p,8.36,6.33,0.0,15.22,0.0,0.3,0.0,0.0,11.03,0.0,0.0,0.0,21.28,11.45,42.6,1.91,170.34,0.85,6.57,7.22,16.07,0.96,0.13,0.0,15.09,8.24,31.87,0.0,0.14,8.4,28.29,9.53,3.18,61.54,54.34,23.87,16.87
hsa-miR-10b-5p,45.23,291.27,78.67,1952.62,9.96,18.6,13.26,0.76,3130.01,15.76,31.01,71.73,10946.05,2482.99,8557.03,1170.67,8686.16,99.74,2668.12,3317.33,3440.9,116.82,42.28,52.04,293.85,460.66,21147.42,31.8,8.93,7255.09,4020.54,7516.2,574.96,21392.55,14976.32,2433.17,19470.54
hsa-miR-11181-3p,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72
hsa-miR-11400,0.0,2.67,0.0,9.09,0.38,4.13,0.0,0.0,5.13,0.0,4.66,0.0,57.62,19.89,3.49,0.0,0.85,0.0,2.55,6.34,4.7,0.75,0.34,0.0,0.76,26.43,7.35,5.08,0.0,6.96,8.14,95.7,2.32,4.04,2.33,15.35,32.0
hsa-miR-11401,0.0,7.74,0.0,39.94,0.57,0.0,41.19,0.0,26.16,0.0,9.21,0.11,3.36,17.58,20.95,0.0,18.89,0.0,18.78,4.7,20.39,0.96,0.2,4.22,4.78,22.22,24.34,25.5,0.0,11.51,47.54,26.0,6.62,4.81,10.49,6.5,7.87
hsa-miR-1178-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-1178-5p,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0
hsa-miR-1180-3p,82.1,254.27,59.83,612.9,1.72,3.25,0.09,0.0,262.92,1.58,18.88,17.62,98.34,124.18,350.79,68.94,457.22,1.71,426.8,91.41,354.01,17.04,3.43,197.59,215.9,372.94,258.24,86.12,0.0,183.14,344.77,156.08,31.88,113.02,196.83,213.94,72.27
hsa-miR-1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,7.18,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,1.63,0.0,1.22,0.6,0.5,0.0,0.0,0.0,0.0,0.44,0.2,0.0,0.07,0.0,3.06,1.34,0.48,1.1,0.0,0.0,0.0,1.45,0.43,0.0,0.12,0.0,1.33
hsa-miR-1185-2-3p,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.1
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0
hsa-miR-1193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.41,0.43,0.0,0.0,0.0,0.0
hsa-miR-1207-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
hsa-miR-12115,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0
hsa-miR-12132,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.18,1.4,0.0,0.31,0.2,0.0,0.48,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3.63,0.77,0.76,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.1
hsa-miR-122-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,3.49,0.0,1.27,0.0,0.67,56.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.23,0.0
hsa-miR-122-5p,39.01,17409.51,1583.1,115424.75,29.7,438.08,48.22,1362.73,73298.69,381.63,288.86,1790.78,20210.01,21598.24,16003.13,2949.6,34680.84,1102.81,5910.35,294237.02,16390.43,96.89,2919.82,1948.52,451.28,3610.23,5194.05,50.12,0.29,1984.29,121668.75,10652.83,7493.07,15380.37,61453.07,110902.19,120943.39
hsa-miR-1224-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.1
hsa-miR-1224-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
