miRNA,ERR9830982,ERR9830983,ERR9830984,ERR9830985,ERR9830986,ERR9830987,ERR9830988,ERR9830989,ERR9830990,ERR9830991,ERR9830992,ERR9830993,ERR9830994,ERR9830995,ERR9830996,ERR9830997,ERR9830998,ERR9830999,ERR9831000,ERR9831001,ERR9831002,ERR9831003,ERR9831004,ERR9831005,ERR9831006,ERR9831007,ERR9831008,ERR9831009,ERR9831010,ERR9831011,ERR9831012,ERR9831013,ERR9831014,ERR9831015,ERR9831016,ERR9831017,ERR9831018,ERR9831019,ERR9831020,ERR9831021,ERR9831022,ERR9831023,ERR9831024,ERR9831025,ERR9831026,ERR9831027,ERR9831028,ERR9831029,ERR9831030,ERR9831031,ERR9831032,ERR9831033
hsa-miR-423-5p,566.0,318.0,2.0,37.0,40.0,735.0,326.0,646.0,859.0,51.0,13.0,29.0,58.0,76.0,669.0,1792.0,338.0,195.0,159.0,212.0,25.0,437.0,382.0,370.0,564.0,254.0,1643.0,225.0,828.0,662.0,136.0,406.0,744.0,655.0,3.0,43.0,423.0,255.0,23.0,2.0,697.0,928.0,131.0,524.0,334.0,167.0,252.0,6.0,811.0,263.0,1161.0,191.0
hsa-miR-424-3p,17.0,3.0,4.0,15.0,7.0,15.0,6.0,21.0,11.0,3.0,5.0,6.0,3.0,9.0,9.0,28.0,20.0,5.0,8.0,12.0,25.0,28.0,22.0,9.0,15.0,3.0,34.0,2.0,20.0,4.0,5.0,10.0,2.0,4.0,2.0,6.0,4.0,1.0,7.0,3.0,1.0,8.0,7.0,2.0,6.0,1.0,6.0,1.0,6.0,9.0,10.0,4.0
hsa-miR-424-5p,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
hsa-miR-425-3p,1.0,2.0,2.0,3.0,4.0,6.0,3.0,6.0,6.0,2.0,2.0,3.0,4.0,1.0,4.0,12.0,10.0,4.0,3.0,1.0,4.0,16.0,9.0,3.0,4.0,2.0,8.0,1.0,9.0,8.0,3.0,8.0,4.0,10.0,2.0,6.0,2.0,1.0,3.0,1.0,3.0,5.0,2.0,7.0,4.0,1.0,4.0,3.0,2.0,4.0,10.0,2.0
hsa-miR-425-5p,55.0,48.0,29.0,106.0,48.0,102.0,38.0,68.0,100.0,27.0,37.0,29.0,43.0,29.0,87.0,211.0,131.0,61.0,50.0,54.0,95.0,192.0,106.0,68.0,76.0,22.0,203.0,23.0,152.0,44.0,26.0,68.0,28.0,120.0,53.0,55.0,80.0,37.0,75.0,27.0,28.0,128.0,26.0,52.0,27.0,12.0,50.0,49.0,26.0,56.0,96.0,35.0
hsa-miR-4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-429,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-4306,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-431-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-431-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
