miRNA,SRR24055586,SRR24055587,SRR24055588,SRR24055589,SRR24055590,SRR24055591,SRR24055592,SRR24055593,SRR24055594,SRR24055595,SRR24055596,SRR24055597,SRR24055598,SRR24055599,SRR24055600,SRR24055601,SRR24055602,SRR24055603,SRR24055604,SRR24055605
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
hsa-miR-106b-3p,1.0,26.0,7.0,10.0,7.0,83.0,124.0,20.0,18.0,16.0,137.0,18.0,21.0,19.0,30.0,82.0,50.0,78.0,70.0,199.0
hsa-miR-106b-5p,4.0,21.0,10.0,3.0,0.0,18.0,45.0,5.0,2.0,1.0,47.0,8.0,5.0,62.0,19.0,9.0,35.0,2.0,0.0,45.0
hsa-miR-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,19.0,112.0,28.0,34.0,97.0,183.0,60.0,73.0,29.0,51.0,172.0,59.0,86.0,183.0,109.0,158.0,60.0,67.0,245.0,155.0
hsa-miR-10b-5p,18.0,77.0,35.0,22.0,60.0,250.0,72.0,90.0,17.0,21.0,233.0,63.0,41.0,146.0,106.0,112.0,39.0,60.0,63.0,96.0
hsa-miR-11400,1.0,5.0,0.0,0.0,0.0,13.0,0.0,10.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0
