miRNA,GSM4698453,GSM4698454,GSM4698455,GSM4698446,GSM4698447,GSM4698448,GSM4698449,GSM4698450,GSM4698451,GSM4698452
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-1273h-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.28,0.21,0.0,0.0
hsa-miR-1273h-5p,0.0,0.14,1.58,0.14,0.14,0.34,0.14,0.21,0.0,0.0
hsa-miR-1275,0.0,0.0,0.16,0.0,0.43,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.14,0.11,0.0,0.62,0.0,0.0
hsa-miR-128-3p,24.9,3.73,6.49,22.94,15.78,14.5,16.92,22.24,7.15,18.23
hsa-miR-1284,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,0.0,0.0,0.16,0.0,0.14,0.0,0.14,0.0,0.0,0.0
hsa-miR-1285-5p,0.26,0.83,7.44,0.43,0.29,0.91,0.28,0.21,0.0,0.86
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0
hsa-miR-129-1-3p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,1.19,0.0,0.0,0.14,0.14,0.23,0.14,0.21,0.17,0.0
hsa-miR-1290,0.0,0.0,0.16,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-1291,2.24,1.79,2.53,2.74,9.04,0.91,0.85,1.24,0.83,1.03
hsa-miR-1292-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-1298-5p,0.0,0.0,0.16,0.14,0.0,0.11,0.14,0.62,0.0,0.0
hsa-miR-1299,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.17
hsa-miR-1301-3p,0.0,0.14,0.0,0.29,0.43,0.23,0.28,0.82,0.5,0.34
hsa-miR-1303,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.21,0.0,0.17
hsa-miR-1304-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.14,0.16,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.0,0.14,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-1307-3p,0.79,0.83,1.74,2.88,2.3,1.7,4.51,2.88,1.16,1.72
hsa-miR-1307-5p,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.34
hsa-miR-130a-3p,0.0,0.28,0.16,0.0,0.72,0.0,0.0,0.21,0.17,0.34
hsa-miR-130b-3p,0.0,0.0,0.16,0.0,0.14,0.0,0.14,0.0,0.17,0.17
hsa-miR-130b-5p,0.26,0.14,0.16,2.45,0.29,0.11,0.85,1.24,0.67,1.89
hsa-miR-132-3p,0.0,0.0,0.47,0.14,2.73,0.34,0.28,0.21,0.33,0.52
hsa-miR-132-5p,0.0,0.0,0.63,0.29,1.72,0.23,0.42,0.41,0.33,0.17
hsa-miR-1323,0.26,4.28,1.11,0.14,0.14,0.0,0.14,0.41,0.5,0.34
hsa-miR-133a-3p,1.05,3.04,1.11,0.0,1.29,0.45,0.42,19.97,12.64,1.38
hsa-miR-133a-5p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-133b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.16,0.0
hsa-miR-134-5p,0.13,0.14,0.0,0.0,0.14,0.11,0.28,0.0,0.33,0.0
hsa-miR-1343-3p,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-135a-5p,0.0,0.14,0.0,0.14,0.0,0.23,0.0,0.0,0.0,0.34
hsa-miR-135b-5p,0.0,0.14,0.0,0.0,0.29,0.0,0.28,0.0,1.16,0.0
hsa-miR-136-3p,0.13,0.14,0.0,0.29,0.14,0.34,0.28,0.21,1.16,0.17
hsa-miR-136-5p,0.13,0.14,0.0,0.0,0.0,0.23,0.0,0.21,0.17,0.17
hsa-miR-137-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-138-5p,0.26,0.0,0.0,0.0,0.29,0.0,0.0,0.21,0.0,0.17
hsa-miR-139-3p,0.13,0.14,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-5p,1.45,1.24,2.85,4.9,1.87,3.17,5.22,4.12,0.83,1.38
hsa-miR-140-3p,5.93,11.32,18.68,4.18,22.1,23.1,14.8,10.71,5.99,24.93
hsa-miR-140-5p,0.79,1.1,1.27,1.59,3.16,2.49,1.41,1.85,0.83,2.75
hsa-miR-141-3p,0.0,0.41,0.16,0.29,0.14,0.11,0.14,0.0,1.5,0.69
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-142-3p,2.64,2.48,6.33,3.89,6.31,14.84,6.91,3.29,1.66,4.3
hsa-miR-142-5p,1.19,7.73,19.0,4.33,14.92,16.76,12.83,10.5,4.16,12.04
hsa-miR-143-3p,13.97,46.64,62.69,45.01,67.58,66.48,83.89,51.48,71.67,63.8
hsa-miR-143-5p,0.0,0.14,0.32,0.14,0.43,0.11,0.7,0.0,1.0,0.69
hsa-miR-144-3p,0.0,0.41,1.58,0.14,0.57,0.0,2.54,0.41,1.66,1.55
hsa-miR-144-5p,0.0,0.14,1.42,0.29,1.58,0.57,0.56,0.82,0.5,1.03
hsa-miR-145-3p,0.4,0.41,1.11,1.15,0.57,0.45,0.56,0.41,0.17,0.34
hsa-miR-145-5p,0.13,0.83,4.27,3.17,6.89,1.25,2.68,1.44,2.33,1.03
hsa-miR-1468-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-146a-5p,3.43,5.52,11.71,3.32,5.88,3.17,3.24,10.91,3.82,10.49
hsa-miR-146b-3p,0.0,0.0,0.16,0.0,1.87,0.0,0.14,0.0,0.0,0.17
hsa-miR-146b-5p,4.87,9.25,28.81,6.2,59.26,10.31,16.21,5.77,19.46,27.86
hsa-miR-148a-3p,90.91,188.36,275.61,210.03,276.64,396.03,439.07,233.73,189.07,180.9
hsa-miR-148a-5p,0.0,0.14,0.47,0.14,1.0,0.11,0.28,0.41,0.33,0.17
hsa-miR-148b-3p,1.58,1.52,3.48,3.17,6.31,3.96,4.23,4.53,7.48,13.41
hsa-miR-148b-5p,0.0,0.14,0.32,0.14,0.29,0.23,0.0,0.21,0.0,0.34
hsa-miR-149-5p,0.79,0.0,0.16,0.72,1.43,0.11,0.28,0.82,0.67,0.34
hsa-miR-150-5p,1.32,2.07,15.04,1.3,4.02,2.6,0.99,3.91,0.5,4.3
hsa-miR-151a-3p,6.98,14.35,20.58,23.22,22.24,17.21,35.25,24.71,12.64,16.85
hsa-miR-151a-5p,0.0,0.0,0.16,0.58,0.86,0.11,0.14,0.62,0.5,0.86
hsa-miR-151b,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-152-3p,0.53,1.79,1.74,1.3,3.01,0.91,1.69,2.27,4.49,3.78
hsa-miR-153-3p,0.0,0.0,0.0,0.14,0.0,0.11,0.14,0.0,0.0,0.0
hsa-miR-154-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-154-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0
hsa-miR-155-5p,0.92,1.1,3.48,2.6,8.61,1.7,2.26,0.82,1.16,1.2
hsa-miR-15a-5p,0.0,0.28,0.0,0.14,0.57,0.11,0.42,0.0,0.0,0.34
hsa-miR-15b-3p,0.13,0.41,0.0,0.14,0.57,0.23,0.14,0.0,0.5,0.17
hsa-miR-15b-5p,0.0,0.55,0.79,0.29,2.44,0.57,0.85,0.21,1.5,0.69
hsa-miR-16-2-3p,0.26,1.1,1.74,0.87,7.6,2.15,5.08,3.29,1.0,1.2
hsa-miR-16-5p,1.84,1.79,5.54,1.73,8.75,2.49,6.63,4.12,3.99,8.08
hsa-miR-17-5p,0.4,0.97,2.85,1.88,5.17,1.02,1.83,1.65,5.49,5.5
hsa-miR-181a-2-3p,0.0,0.14,0.32,0.14,0.72,0.0,0.14,0.0,1.33,0.17
hsa-miR-181a-3p,0.26,0.28,0.16,0.14,0.57,0.23,0.14,0.0,0.33,0.0
hsa-miR-181a-5p,10.94,9.38,9.66,10.1,20.95,7.7,13.82,10.3,9.98,17.71
hsa-miR-181b-5p,2.77,2.21,2.37,2.88,3.3,1.59,3.52,2.47,1.5,4.13
hsa-miR-181c-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-181c-5p,0.0,0.0,0.16,0.0,0.0,0.23,0.0,0.0,0.0,0.0
hsa-miR-181d-5p,0.79,0.0,0.0,1.01,0.72,0.57,0.28,0.21,1.0,0.0
hsa-miR-182-5p,0.13,1.66,2.69,1.88,11.19,4.42,3.81,9.27,3.99,1.2
hsa-miR-1827,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-5p,0.0,0.55,1.42,1.59,4.45,1.59,3.52,2.47,1.83,0.69
hsa-miR-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-1843,0.13,0.0,0.16,0.43,0.0,0.0,0.14,0.41,0.17,0.34
hsa-miR-185-3p,0.0,0.14,0.0,0.0,0.29,0.0,0.14,0.0,0.17,0.69
hsa-miR-185-5p,2.37,6.35,19.15,8.22,24.54,9.51,11.84,10.71,1.66,5.16
hsa-miR-186-5p,3.43,2.9,9.02,4.33,13.34,10.19,7.05,5.97,5.32,12.21
hsa-miR-187-3p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-18a-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18a-5p,0.0,0.14,0.0,0.0,0.14,0.23,0.0,0.0,0.0,0.0
hsa-miR-190b-5p,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.34
hsa-miR-191-3p,0.0,0.14,0.0,0.14,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-191-5p,22.27,21.94,49.23,40.1,67.58,50.62,36.94,35.21,23.45,65.17
hsa-miR-192-5p,1.71,1.66,2.53,2.74,4.02,4.64,4.79,3.91,1.0,2.92
hsa-miR-193a-5p,0.53,0.41,0.95,1.01,0.72,0.79,3.52,0.41,0.5,0.34
hsa-miR-193b-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-193b-5p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-194-3p,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-194-5p,0.26,0.55,1.9,0.58,1.58,0.91,0.7,0.62,1.16,1.2
hsa-miR-195-3p,0.13,0.0,0.0,0.29,0.0,0.0,0.42,0.0,0.5,0.17
hsa-miR-195-5p,0.13,0.83,0.63,0.58,1.0,0.23,0.56,0.21,2.0,1.55
hsa-miR-196a-5p,0.0,0.14,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,2.35,1.42,3.46,4.59,0.45,1.83,0.0,8.48,2.75
hsa-miR-197-3p,0.0,0.28,0.32,1.15,2.01,0.91,0.14,0.21,1.0,0.34
hsa-miR-1976,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,0.92,24.98,13.77,18.46,9.47,8.38,30.31,5.56,113.91,48.84
hsa-miR-199a-5p,0.79,8.97,12.98,13.42,51.65,2.72,12.41,2.06,37.58,22.01
hsa-miR-199b-3p,1.05,12.42,29.6,2.45,49.93,0.91,9.45,0.0,4.82,6.02
hsa-miR-199b-5p,0.79,6.49,7.6,4.04,9.76,1.81,5.78,1.03,23.11,14.1
hsa-miR-19a-3p,0.13,0.14,0.32,0.0,0.29,0.11,0.28,0.0,0.33,0.17
hsa-miR-19b-3p,0.13,0.28,0.32,0.0,1.43,0.34,0.28,0.21,0.33,0.0
hsa-miR-200a-3p,0.0,0.97,3.01,3.17,5.74,0.79,2.82,0.41,9.64,4.81
hsa-miR-200a-5p,0.0,0.14,0.63,0.0,0.29,0.0,0.14,0.0,0.83,0.34
hsa-miR-200b-3p,0.4,3.73,2.22,4.62,12.2,1.02,2.68,0.41,19.79,11.69
hsa-miR-200b-5p,0.0,0.14,0.0,0.29,0.14,0.0,0.0,0.0,0.17,0.17
hsa-miR-200c-3p,0.26,5.8,6.97,8.22,31.57,1.93,4.93,0.62,43.57,20.98
hsa-miR-203a-3p,0.0,0.14,0.16,0.14,0.0,0.11,0.28,0.62,2.33,0.69
hsa-miR-203b-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-3p,0.13,0.14,0.16,0.0,0.0,0.0,0.56,0.41,0.0,0.34
hsa-miR-204-5p,0.53,0.28,0.0,0.29,0.14,0.0,0.42,0.62,0.33,0.17
hsa-miR-205-5p,0.0,0.14,0.16,0.29,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-206,0.0,0.0,0.0,0.0,0.14,0.0,0.14,1.65,0.17,0.0
hsa-miR-208a-3p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.5,0.0
hsa-miR-208b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-20a-5p,1.19,1.93,3.96,2.74,5.45,3.17,4.09,2.47,8.81,10.32
hsa-miR-20b-5p,0.0,0.14,0.16,0.14,0.43,0.0,0.14,0.41,0.83,0.17
hsa-miR-21-3p,0.0,0.14,0.0,0.0,1.43,0.23,0.28,0.0,0.0,0.0
hsa-miR-21-5p,54.94,139.79,251.39,110.49,292.99,174.18,198.95,70.84,360.01,389.48
hsa-miR-210-3p,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.33,0.17
hsa-miR-2110,0.0,0.0,0.0,0.14,0.29,0.23,0.28,0.0,0.33,0.17
hsa-miR-2115-3p,0.0,0.0,0.0,0.29,0.0,0.45,0.14,0.21,0.0,0.0
hsa-miR-2115-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.21,0.0,0.0
hsa-miR-2116-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-212-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-212-5p,0.26,0.14,0.16,0.14,0.57,0.11,0.0,0.0,0.0,0.0
hsa-miR-214-3p,0.0,0.28,0.47,0.14,1.43,0.11,0.85,0.21,1.16,0.69
hsa-miR-214-5p,0.0,0.0,0.16,0.0,1.15,0.0,0.14,0.21,0.0,0.0
hsa-miR-215-5p,0.0,0.14,0.79,0.0,0.14,0.57,0.14,0.41,0.0,0.0
hsa-miR-216a-3p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-216b-5p,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-217-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.17
hsa-miR-218-5p,0.4,0.28,0.63,0.72,1.58,1.93,1.27,2.47,1.0,0.69
hsa-miR-219a-2-3p,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-219a-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-22-3p,1.05,4.28,3.64,3.32,11.19,2.38,5.22,6.38,8.81,5.67
hsa-miR-22-5p,0.0,0.14,0.16,0.0,0.86,0.0,0.56,0.0,0.0,0.0
hsa-miR-221-3p,2.77,5.93,6.97,5.34,28.27,7.25,5.64,4.74,13.97,8.94
hsa-miR-221-5p,0.0,0.55,0.63,0.58,1.58,2.04,0.99,1.24,0.83,0.17
hsa-miR-222-3p,2.9,3.73,7.44,7.36,20.66,6.34,5.78,5.15,5.32,9.8
hsa-miR-223-3p,7.25,9.11,19.0,2.6,21.38,33.97,8.88,8.03,1.83,7.05
hsa-miR-223-5p,9.75,13.8,18.05,24.52,31.42,55.38,50.2,20.8,3.82,5.33
hsa-miR-224-5p,0.92,0.28,3.17,1.73,7.32,0.91,2.82,1.65,1.0,4.64
hsa-miR-2355-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-23a-3p,3.16,17.11,30.71,6.2,37.74,29.22,9.73,19.56,10.81,6.02
hsa-miR-23a-5p,0.0,0.0,0.16,0.43,0.29,1.47,0.28,0.0,0.0,0.34
hsa-miR-23b-3p,3.95,4.42,10.13,6.92,14.78,3.62,5.22,5.77,11.47,5.5
hsa-miR-23b-5p,0.0,0.0,0.0,0.14,0.29,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-1-5p,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.17,0.0
hsa-miR-24-2-5p,0.0,0.28,0.63,0.14,0.43,1.47,0.14,0.41,0.33,0.17
hsa-miR-24-3p,5.4,12.83,15.67,14.42,24.25,3.96,17.48,12.97,33.92,3.95
hsa-miR-25-3p,7.77,12.01,23.27,15.0,46.2,17.55,29.33,33.57,11.14,22.87
hsa-miR-25-5p,0.13,0.0,0.0,0.14,0.86,0.0,0.0,0.41,0.0,0.17
hsa-miR-26a-2-3p,0.0,0.41,0.16,0.43,0.14,0.34,0.14,0.0,0.0,0.0
hsa-miR-26a-5p,125.29,222.72,325.95,235.56,439.63,407.59,260.85,211.69,171.44,353.37
hsa-miR-26b-3p,0.13,0.0,0.0,0.43,0.43,0.45,0.42,0.41,0.17,0.0
hsa-miR-26b-5p,7.77,19.18,34.04,22.94,43.91,35.33,24.25,15.65,25.94,31.64
hsa-miR-27a-3p,4.74,13.39,16.94,10.96,28.84,28.2,14.95,7.0,38.91,23.04
hsa-miR-27a-5p,12.12,12.56,16.62,25.39,19.94,56.51,34.26,18.95,5.82,6.88
hsa-miR-27b-3p,3.43,40.16,44.33,23.66,65.14,8.38,36.38,16.89,160.14,76.52
hsa-miR-27b-5p,0.0,0.14,0.32,0.29,0.29,0.11,0.0,0.0,0.0,0.17
hsa-miR-28-3p,0.92,1.79,2.53,1.01,3.87,2.26,2.68,1.85,1.66,4.13
hsa-miR-28-5p,0.53,0.41,0.32,0.58,0.43,0.45,0.42,1.44,0.83,0.86
hsa-miR-296-3p,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-296-5p,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.17,0.0
hsa-miR-299-3p,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-299-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.17
hsa-miR-29a-3p,1.32,4.0,5.22,3.17,23.1,7.93,4.79,6.8,11.47,5.85
hsa-miR-29b-1-5p,0.26,0.0,0.16,0.0,0.14,0.34,0.14,0.0,0.0,0.0
hsa-miR-29b-2-5p,0.0,0.0,0.16,0.0,0.0,0.11,0.0,0.21,0.0,0.0
hsa-miR-29b-3p,0.0,0.0,0.16,0.14,0.14,0.11,0.28,0.0,0.0,0.34
hsa-miR-29c-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-29c-5p,0.0,0.0,0.16,0.0,0.29,0.68,0.0,0.0,0.0,0.0
hsa-miR-301a-5p,0.13,0.0,0.0,0.14,0.0,0.0,0.14,0.21,0.0,0.0
hsa-miR-30a-3p,0.13,0.41,0.0,0.29,1.29,0.23,0.85,0.21,1.83,0.52
hsa-miR-30a-5p,2.37,6.21,9.02,5.05,12.2,4.98,8.6,10.3,24.94,18.57
hsa-miR-30b-3p,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-30b-5p,0.26,0.28,2.85,0.58,2.15,0.45,1.55,2.06,3.99,2.06
hsa-miR-30c-1-3p,0.0,0.14,0.16,0.0,0.14,0.0,0.14,0.0,0.0,0.0
hsa-miR-30c-2-3p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.33,0.17
hsa-miR-30c-5p,5.8,9.38,13.61,10.24,26.4,15.4,8.46,22.03,13.3,33.19
hsa-miR-30d-5p,19.1,19.59,39.73,32.02,48.5,32.05,39.76,46.95,33.59,56.23
