miRNA,SRR8696980,SRR8696981,SRR8696982,SRR8696983,SRR8696984,SRR8696985,SRR8696986,SRR8696987,SRR8696988,SRR8696989,SRR8696990,SRR8696991,SRR8696992,SRR8696993,SRR8696994,SRR8696995,SRR8696996,SRR8696997
hsa-miR-1288-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-1-3p,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0
hsa-miR-129-2-3p,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.0,0.04,0.04,0.0,0.0,0.04,0.07,8.33,0.0,0.77,0.0
hsa-miR-129-5p,46.06,0.14,68.54,0.41,10.88,37.13,0.5,1.17,0.31,2.34,1.74,642.39,0.79,65.39,5.59,1.23,0.26,0.0
hsa-miR-1290,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,0.0,0.0,1.44,0.0,0.0,0.0,0.15,0.99,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1292-5p,0.04,0.0,3.82,1.91,2.56,0.0,0.1,1.27,0.0,0.0,0.0,4.58,0.97,0.0,0.0,4.0,0.26,3.63
hsa-miR-1294,2.06,17.2,4.07,3.66,10.83,0.0,7.87,6.9,0.0,0.0,2.5,4.11,5.82,16.88,0.12,59.7,0.26,0.0
hsa-miR-1295a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.03,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,0.18,1.28,0.0,2.42,2.61,8.89,1.94,5.91,0.12,0.19,0.17,5.53,2.65,0.58,10.71,0.37,0.26,0.16
hsa-miR-1297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.62,0.0,0.0,1.05,0.0,0.0
hsa-miR-1298-5p,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1301-3p,32.56,16.06,26.29,39.52,28.65,71.08,42.93,36.94,0.16,4.45,3.65,8.83,6.97,0.0,0.12,34.06,4.09,8.04
hsa-miR-1303,8.27,0.71,0.0,0.0,3.57,0.0,1.84,0.05,5.56,0.04,0.63,2.83,0.0,0.07,0.0,1.11,0.0,0.0
hsa-miR-1304-3p,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,1.88,10.23,2.94,17.07,6.29,45.89,18.13,23.84,0.19,1.48,0.14,3.64,17.56,3.73,24.28,28.22,1.02,0.0
hsa-miR-1305,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,0.09,0.71,0.0,9.71,6.83,18.19,20.17,38.2,0.23,3.49,1.15,2.09,6.18,10.89,0.83,16.42,0.0,1.1
hsa-miR-1306-5p,1.7,17.91,0.0,0.05,1.44,0.2,3.04,0.84,1.21,1.67,0.49,1.01,0.93,2.56,13.45,7.99,1.02,0.95
hsa-miR-1307-3p,72.22,301.45,118.92,484.18,94.05,184.38,394.12,563.2,3.23,58.55,17.27,229.15,923.03,84.39,121.98,159.79,12.27,30.58
hsa-miR-1307-5p,0.0,11.09,0.0,0.0,3.79,0.0,2.49,5.44,0.0,0.07,1.74,0.34,2.12,0.07,2.98,0.0,0.0,0.0
