miRNA,SRR18349812,SRR18349813,SRR18349814,SRR18349815,SRR18349816,SRR18349817,SRR18349818,SRR18349819,SRR18349820,SRR18349821,SRR18349822,SRR18349823,SRR18349824,SRR18349825,SRR18349826
hsa-miR-219a-2-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-219b-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
hsa-miR-22-3p,7666.0,4656.0,14157.0,9028.0,18241.0,39798.0,46235.0,6770.0,18303.0,17542.0,16125.0,11396.0,8981.0,11776.0,14016.0
hsa-miR-22-5p,328.0,408.0,929.0,290.0,386.0,672.0,1489.0,293.0,383.0,613.0,583.0,403.0,206.0,457.0,426.0
hsa-miR-221-3p,1516.0,2565.0,4331.0,2033.0,2202.0,2227.0,6698.0,614.0,2253.0,3438.0,3513.0,1499.0,841.0,3494.0,2205.0
hsa-miR-221-5p,26.0,58.0,57.0,37.0,21.0,15.0,72.0,15.0,24.0,45.0,72.0,26.0,16.0,63.0,23.0
hsa-miR-222-3p,200.0,569.0,999.0,880.0,395.0,541.0,1070.0,122.0,816.0,1696.0,2718.0,1355.0,398.0,974.0,1269.0
hsa-miR-222-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-223-3p,73.0,135.0,672.0,269.0,178.0,46.0,630.0,29.0,66.0,336.0,636.0,305.0,260.0,2048.0,269.0
hsa-miR-223-5p,1254.0,2977.0,5876.0,1423.0,686.0,300.0,2122.0,422.0,632.0,1899.0,2393.0,1336.0,753.0,2787.0,1063.0
hsa-miR-224-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-224-5p,38.0,37.0,265.0,103.0,17.0,27.0,76.0,9.0,135.0,177.0,235.0,444.0,36.0,102.0,113.0
hsa-miR-2276-3p,0.0,5.0,1.0,1.0,6.0,8.0,15.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,2.0
hsa-miR-2277-3p,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
hsa-miR-2277-5p,3.0,3.0,1.0,0.0,7.0,0.0,14.0,3.0,0.0,5.0,3.0,2.0,3.0,4.0,4.0
hsa-miR-2278,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-2355-3p,22.0,24.0,51.0,26.0,10.0,13.0,67.0,7.0,4.0,24.0,29.0,11.0,5.0,15.0,13.0
hsa-miR-2355-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-23a-3p,415.0,470.0,1652.0,827.0,908.0,669.0,4618.0,219.0,663.0,2103.0,2105.0,1833.0,1446.0,7968.0,1615.0
hsa-miR-23a-5p,19.0,26.0,9.0,12.0,5.0,4.0,60.0,4.0,15.0,11.0,17.0,12.0,12.0,16.0,11.0
hsa-miR-23b-3p,7.0,60.0,47.0,53.0,83.0,35.0,616.0,5.0,54.0,53.0,283.0,251.0,42.0,649.0,55.0
hsa-miR-23b-5p,13.0,14.0,13.0,9.0,15.0,18.0,27.0,10.0,42.0,39.0,34.0,41.0,13.0,7.0,34.0
hsa-miR-23c,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-24-1-5p,0.0,2.0,0.0,0.0,5.0,1.0,4.0,0.0,1.0,6.0,2.0,6.0,3.0,0.0,2.0
hsa-miR-24-2-5p,28.0,122.0,206.0,61.0,71.0,106.0,255.0,17.0,12.0,121.0,173.0,123.0,38.0,142.0,75.0
hsa-miR-24-3p,1096.0,2111.0,9243.0,4155.0,3019.0,2998.0,10183.0,292.0,1693.0,7826.0,6078.0,3781.0,847.0,5889.0,2386.0
hsa-miR-2467-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-25-3p,9692.0,5788.0,35611.0,12151.0,18591.0,29079.0,38664.0,10900.0,26541.0,127524.0,71269.0,54064.0,46039.0,68351.0,94155.0
hsa-miR-25-5p,52.0,30.0,48.0,22.0,116.0,123.0,155.0,55.0,103.0,63.0,60.0,94.0,50.0,30.0,80.0
hsa-miR-2681-5p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2682-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2682-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
