miRNA,SRR6905874,SRR6905875,SRR6905876,SRR6905877,SRR6905878,SRR6905879,SRR6905880,SRR6905881,SRR6905882,SRR6905883,SRR6905884,SRR6905885,SRR6905886
hsa-mir-665-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-6724-4-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-6844-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0
hsa-mir-760-3p,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-770-5p,3.27,5.23,0.0,0.0,1.2,1.98,0.0,0.0,5.72,0.0,2.31,3.43,0.0
hsa-mir-7703-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0
hsa-mir-7845-5p,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-7851-3p,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-7854-3p,2.08,1.46,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3.34,1.72,0.0
hsa-mir-7976-5p,0.0,1.05,0.0,0.0,0.6,0.66,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-8065-3p,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-8072-5p,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-8086-5p,0.6,0.84,0.0,0.0,1.2,2.64,0.0,9.1,0.0,0.0,1.03,0.0,0.0
hsa-mir-8485-3p,0.89,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.26,0.49,0.0
hsa-mir-892a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.49,0.0
hsa-mir-933-3p,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-935-3p,0.89,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.77,0.49,0.0
hsa-mir-940-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.25,0.0
hsa-mir-941-4-3p,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-941-5-3p,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-9902-2-5p,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-9903-3p,0.89,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.74,0.0
