miRNA,SRR1054269,SRR1054270,SRR1054271,SRR1054272,SRR1054273,SRR1054274,SRR1054275,SRR1054276,SRR1054277,SRR1054278,SRR1054279,SRR1054280,SRR1054281,SRR1054282
hsa-miR-135b-3p,0.0,0.0,0.53,0.0,0.31,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0
hsa-miR-135b-5p,0.62,0.4,0.53,0.37,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-3p,49.22,49.15,120.23,110.19,140.93,123.27,147.07,22.63,27.05,62.09,84.2,91.18,79.71,91.83
hsa-miR-136-5p,1.25,1.6,3.68,1.12,2.79,5.68,3.5,0.77,0.9,0.71,0.0,4.02,1.3,0.0
hsa-miR-137-3p,5.61,3.6,9.45,5.98,7.12,7.7,5.45,1.92,3.16,11.42,6.32,13.41,11.02,7.92
hsa-miR-137-5p,0.62,0.4,2.1,1.87,4.96,1.62,0.78,1.15,0.45,1.43,0.7,2.01,1.3,0.0
hsa-miR-138-1-3p,0.0,0.4,0.26,1.12,0.0,0.0,0.78,0.0,0.45,0.0,1.4,0.0,0.0,0.0
hsa-miR-138-2-3p,0.31,0.8,0.0,0.37,1.24,0.41,0.0,0.0,0.0,0.71,0.7,0.0,0.0,0.0
hsa-miR-138-5p,397.46,360.01,1104.34,822.88,918.38,1049.02,1013.57,359.43,367.0,917.07,870.79,945.33,1090.04,976.91
hsa-miR-139-3p,1.25,2.0,0.79,2.24,3.41,1.62,1.17,0.77,0.45,0.0,1.4,2.01,1.3,3.17
hsa-miR-139-5p,22.74,23.17,49.61,64.99,70.31,72.18,55.25,23.02,13.53,39.25,41.4,44.25,66.1,68.08
hsa-miR-140-3p,110.27,104.69,154.09,175.93,191.42,137.87,193.38,77.87,85.21,141.31,194.37,218.57,144.52,224.83
hsa-miR-140-5p,2.8,2.8,9.98,4.11,6.5,8.52,9.34,2.69,1.8,6.42,15.44,8.05,13.61,7.92
hsa-miR-141-3p,0.0,0.0,0.26,0.0,0.0,0.0,0.0,1.15,0.9,2.85,2.81,4.02,0.0,0.0
hsa-miR-142-3p,0.0,0.0,0.0,0.37,0.31,1.22,0.0,0.0,0.0,0.71,0.7,0.0,0.0,1.58
hsa-miR-142-5p,4.98,4.0,23.36,27.64,25.4,11.76,19.45,3.45,2.71,14.99,29.47,26.15,18.79,15.83
hsa-miR-143-3p,260.72,243.73,565.43,527.42,569.61,537.28,665.73,279.26,285.4,722.24,705.2,608.1,713.52,809.08
hsa-miR-143-5p,0.0,0.4,0.0,1.87,0.31,0.0,0.78,0.0,0.45,0.0,2.81,1.34,0.0,0.0
hsa-miR-144-3p,0.93,0.0,0.79,2.99,0.31,7.7,1.17,0.38,0.0,0.0,3.51,1.34,9.07,0.0
hsa-miR-144-5p,0.0,0.0,0.0,0.37,0.31,2.03,0.0,0.0,0.0,0.71,0.0,0.0,3.89,0.0
hsa-miR-145-3p,0.93,0.0,1.31,2.99,4.65,3.65,1.95,1.15,0.0,2.14,0.7,0.67,1.3,4.75
hsa-miR-145-5p,1.25,0.0,0.26,0.0,0.62,0.0,1.56,0.38,0.0,0.71,1.4,0.0,0.0,4.75
hsa-miR-146a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-146a-5p,14.02,15.18,40.95,31.0,89.52,29.6,25.29,13.81,11.72,38.54,27.37,52.29,24.63,30.08
hsa-miR-146b-3p,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146b-5p,6.85,0.8,19.43,13.07,8.98,1.22,16.34,1.15,0.0,9.99,8.42,11.4,3.89,0.0
hsa-miR-147b-3p,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-148a-3p,92.2,90.7,149.36,150.16,223.94,208.02,244.35,128.89,109.11,209.11,282.08,195.1,354.49,264.41
hsa-miR-148a-5p,0.31,0.0,0.26,0.75,0.31,0.0,0.78,0.0,0.45,0.71,0.0,0.0,0.0,1.58
hsa-miR-148b-3p,29.59,28.77,76.39,60.14,85.49,79.48,85.99,38.74,39.23,107.77,93.32,86.49,112.11,118.75
hsa-miR-148b-5p,0.0,0.4,0.26,0.0,0.31,0.41,0.39,0.0,0.0,0.0,0.0,0.0,0.65,0.0
hsa-miR-149-3p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.65,0.0
hsa-miR-149-5p,0.62,1.2,1.58,1.12,3.72,1.62,1.17,0.0,0.9,2.85,1.4,0.67,1.94,0.0
hsa-miR-150-3p,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-150-5p,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-151a-3p,102.17,91.9,210.53,181.53,266.07,183.69,247.85,92.83,78.0,174.14,188.75,204.49,178.87,210.58
hsa-miR-151a-5p,0.62,0.0,0.79,0.37,0.93,2.43,0.78,0.0,0.0,0.0,0.0,2.01,0.0,1.58
hsa-miR-151b,0.0,0.8,1.05,1.12,0.0,0.41,1.56,0.0,0.0,0.71,1.4,0.0,0.0,0.0
hsa-miR-152-3p,0.62,0.8,1.31,1.87,2.79,1.22,0.0,0.38,0.45,0.71,4.21,2.01,2.59,3.17
hsa-miR-152-5p,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-153-3p,0.31,0.0,1.31,2.99,0.93,0.41,1.56,0.77,0.45,0.0,0.7,2.68,1.94,3.17
hsa-miR-154-5p,0.0,0.4,2.1,2.24,1.86,2.43,0.39,0.38,0.0,0.71,0.0,2.01,2.59,0.0
hsa-miR-155-5p,0.0,0.4,0.79,0.37,0.31,0.41,0.78,0.0,0.45,0.0,0.0,0.67,0.65,1.58
hsa-miR-15a-5p,0.0,0.4,0.0,0.75,0.93,0.81,0.78,0.0,0.0,0.0,0.0,0.0,1.3,0.0
hsa-miR-15b-3p,0.0,0.0,0.26,0.37,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.65,0.0
hsa-miR-15b-5p,0.0,0.0,0.79,0.0,0.31,0.81,1.17,0.0,0.0,1.43,0.0,0.0,0.0,0.0
hsa-miR-16-2-3p,0.62,2.4,1.05,1.49,1.55,0.81,0.0,0.0,0.9,2.14,1.4,0.0,0.0,1.58
hsa-miR-16-5p,0.93,2.0,7.61,6.35,4.65,4.46,1.17,1.53,2.71,2.14,5.61,3.35,1.94,4.75
hsa-miR-17-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0
hsa-miR-17-5p,0.93,1.6,1.58,1.49,4.65,0.0,0.78,0.0,0.9,2.14,1.4,2.01,0.0,0.0
hsa-miR-181a-2-3p,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-3p,6.23,3.2,8.4,8.59,11.15,8.92,11.28,3.45,4.96,10.71,12.63,13.41,8.42,9.5
hsa-miR-181a-5p,614.57,531.82,1213.01,1082.1,1482.73,1120.38,1240.8,570.02,547.8,1297.46,1086.91,1255.08,1202.15,1239.74
hsa-miR-181b-3p,1.25,0.0,0.53,0.75,0.0,0.81,0.39,0.0,0.0,0.0,0.0,0.0,0.0,1.58
hsa-miR-181b-5p,632.01,532.22,1657.69,1242.35,1728.97,1650.37,1502.26,787.14,759.26,2106.77,1479.16,1806.18,1902.71,1811.32
hsa-miR-181c-3p,3.11,2.4,7.09,6.35,6.19,3.65,7.39,1.15,2.25,6.42,4.91,6.7,5.83,1.58
hsa-miR-181c-5p,6.23,5.99,11.55,10.83,9.91,11.35,11.67,4.99,6.76,9.99,10.53,10.73,10.37,20.58
hsa-miR-181d-3p,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181d-5p,35.51,33.56,93.98,60.51,92.3,74.61,79.76,38.74,50.95,114.9,99.64,87.83,110.17,98.17
hsa-miR-182-5p,0.31,0.8,1.05,0.75,1.55,0.41,1.56,0.0,0.0,1.43,0.7,0.0,1.3,1.58
hsa-miR-183-5p,0.62,0.0,0.79,0.0,1.86,0.81,1.17,0.38,0.45,0.71,0.7,0.0,3.24,0.0
hsa-miR-184,0.0,0.4,0.79,0.37,0.93,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.58
hsa-miR-1843,1.56,2.0,9.19,10.09,8.05,14.19,10.51,5.37,2.25,10.71,7.72,11.4,18.15,11.08
hsa-miR-185-3p,1.87,0.8,5.51,7.1,6.5,3.65,4.67,1.15,1.35,1.43,1.4,2.01,7.78,4.75
hsa-miR-185-5p,4.36,8.79,14.96,17.56,20.13,20.27,21.01,5.75,8.57,17.84,14.03,16.09,22.68,20.58
hsa-miR-186-3p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-186-5p,11.21,8.39,21.26,14.94,21.06,15.81,21.4,14.19,7.66,27.83,20.35,26.82,23.98,22.17
hsa-miR-187-3p,2.8,3.2,6.3,5.98,5.89,5.27,4.28,2.3,2.25,7.14,6.32,6.03,7.78,3.17
hsa-miR-187-5p,1.25,0.4,0.53,0.0,0.62,0.41,0.0,0.0,0.45,0.71,0.0,1.34,0.0,0.0
hsa-miR-188-3p,0.0,0.0,0.0,0.37,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-188-5p,0.62,0.4,2.1,1.87,0.93,1.22,0.78,0.38,0.45,0.0,2.81,1.34,1.3,3.17
hsa-miR-18a-5p,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18b-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1908-3p,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1908-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190b-5p,0.31,0.0,0.53,0.0,0.31,0.41,0.78,0.38,0.0,0.71,0.0,0.0,0.0,1.58
hsa-miR-191-3p,0.31,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
hsa-miR-191-5p,4.67,6.79,3.68,7.47,16.11,9.33,10.51,5.75,4.06,7.14,11.23,8.72,9.07,23.75
hsa-miR-1912-5p,0.0,0.0,0.26,0.37,0.0,0.41,0.0,0.38,0.0,0.0,0.7,1.34,0.0,0.0
hsa-miR-192-5p,7.79,5.19,9.71,7.84,10.22,14.19,12.45,3.45,6.76,10.71,11.23,11.4,7.78,11.08
hsa-miR-193a-3p,0.0,0.0,0.0,0.0,0.31,0.41,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.58
hsa-miR-193a-5p,0.0,0.4,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-193b-3p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-193b-5p,0.31,0.0,0.53,0.37,1.24,0.41,0.39,0.38,0.9,0.71,0.0,0.0,0.0,0.0
hsa-miR-194-5p,0.93,0.4,2.89,1.87,1.24,1.22,2.72,0.38,1.35,1.43,2.81,2.01,3.24,4.75
hsa-miR-195-3p,0.93,2.0,2.63,6.35,4.96,1.22,3.89,0.38,0.9,4.28,4.91,4.69,5.83,7.92
hsa-miR-195-5p,1.25,0.8,2.1,2.61,3.72,3.24,2.72,0.77,1.8,2.85,4.91,3.35,3.89,4.75
hsa-miR-196a-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-197-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
hsa-miR-197-5p,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,1.25,4.0,1.84,8.59,9.91,0.81,8.56,2.3,3.16,12.13,8.42,10.73,8.42,4.75
hsa-miR-199a-5p,1.87,0.4,3.94,2.99,3.41,2.03,3.11,0.38,0.0,0.71,1.4,1.34,0.65,1.58
hsa-miR-199b-3p,3.11,1.2,10.24,0.0,4.65,4.05,0.39,3.84,0.9,1.43,0.7,4.02,3.24,4.75
hsa-miR-199b-5p,0.0,0.0,0.79,1.12,0.0,0.41,0.39,0.0,0.0,0.71,0.0,0.67,0.0,0.0
hsa-miR-19a-3p,0.62,0.4,1.31,1.12,0.62,3.24,1.56,0.77,0.0,0.71,0.0,2.68,1.3,0.0
hsa-miR-19b-3p,10.28,10.79,22.05,27.64,23.54,19.87,17.51,1.15,1.8,9.28,9.12,7.37,3.89,7.92
hsa-miR-200a-3p,0.93,2.0,4.99,6.72,4.34,5.68,4.28,4.22,4.96,12.85,9.12,10.73,11.67,12.67
hsa-miR-200b-3p,0.0,0.0,0.53,0.37,0.93,0.41,0.0,0.0,0.0,0.71,1.4,0.0,0.65,0.0
