miRNA,SRR13608450,SRR13608451,SRR13608452,SRR13608453,SRR13608454,SRR13608455,SRR13608456,SRR13608457,SRR13608458,SRR13608459,SRR13608460,SRR13608461,SRR13608462,SRR13608463,SRR13608464,SRR13608465,SRR13608466,SRR13608467,SRR13608468,SRR13608469,SRR13608470,SRR13608471
hsa-miR-1270,0.79,0.0,0.27,0.0,0.16,0.0,1.11,0.65,0.15,0.86,0.0,0.17,0.34,1.72,0.0,2.02,1.41,1.58,1.65,0.0,0.17,0.0
hsa-miR-1271-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,0.53,0.0,2.71,2.64,0.49,3.15,13.3,7.81,2.17,13.33,0.78,5.55,2.2,4.52,1.88,13.27,4.44,2.17,4.66,4.82,1.65,8.94
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.4,0.0,0.0
hsa-miR-1273h-3p,1.31,10.52,0.27,0.41,0.16,0.68,0.47,0.65,1.55,0.86,1.4,0.17,0.0,1.08,0.0,0.29,0.0,0.0,0.9,0.0,0.0,0.79
hsa-miR-1273h-5p,1.31,0.0,3.12,1.63,0.0,1.13,2.06,0.0,0.93,1.15,4.51,1.01,0.0,0.0,0.38,0.29,0.0,0.0,0.3,1.41,0.0,4.77
hsa-miR-1275,0.0,0.62,0.0,0.61,0.16,1.8,0.79,0.98,0.62,0.0,0.0,0.34,0.0,0.0,1.5,0.29,0.4,0.0,0.0,0.0,0.5,0.6
hsa-miR-1276,0.26,0.0,0.27,0.0,0.0,0.23,0.47,0.0,0.0,0.29,0.0,0.34,0.68,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,0.0,0.14,0.0,0.0,1.35,0.79,0.33,0.0,0.29,0.31,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1278,0.0,1.86,0.41,1.02,0.0,0.0,0.63,0.0,0.31,1.15,0.47,0.0,0.84,2.59,0.38,0.14,0.4,0.2,0.15,0.0,0.0,0.0
hsa-miR-128-1-5p,0.26,0.0,0.68,0.0,0.0,0.0,0.32,0.81,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.58,0.2,0.0,1.05,0.0,0.0,0.0
hsa-miR-128-2-5p,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,813.78,1333.31,499.37,493.98,44.47,360.28,239.05,293.96,393.19,511.66,773.65,275.66,482.96,508.18,69.64,962.33,441.18,474.79,1019.93,1654.6,168.0,1023.04
hsa-miR-1283,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
