miRNA,SRR15035013,SRR15035014,SRR15035015,SRR15035016,SRR15035017,SRR15035018,SRR15035019,SRR15035020,SRR15035021,SRR15035022,SRR15035023,SRR15035024,SRR15035025,SRR15035027,SRR15035028,SRR15035029,SRR15035030,SRR15035031,SRR15035032,SRR15035033,SRR15035034,SRR15035035,SRR15035036,SRR15035037,SRR15035038,SRR15035039,SRR15035040,SRR15035041,SRR15035042,SRR15035043,SRR15035044,SRR15035045
hsa-miR-1908-3p,0.0,0.73,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1908-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-5p,0.0,0.92,0.15,0.0,6.63,0.0,0.0,2.54,0.0,0.0,0.0,0.0,2.33,0.0,3.8,6.02,2.46,1.13,7.8,0.0,0.0,0.0,0.0,0.44,5.05,0.0,2.07,0.0,2.63,0.0,0.87,0.89
hsa-miR-190b-5p,0.0,0.0,0.0,0.0,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.48,0.0
hsa-miR-191-3p,7.55,2.2,5.17,11.53,0.0,7.18,0.0,6.93,9.87,0.0,0.0,14.23,9.31,5.64,8.01,11.06,8.37,9.89,8.82,0.0,0.0,0.0,0.0,11.78,0.0,2.97,6.46,0.0,2.25,0.0,9.85,0.89
hsa-miR-191-5p,28169.39,10406.48,20790.48,20833.89,44368.32,36261.36,35045.21,23919.44,34232.13,17521.47,21644.44,39700.07,14706.5,9964.02,13028.05,13879.74,20044.31,13523.79,11217.15,5731.77,47016.5,7369.1,8269.3,23893.93,7015.09,14709.03,18489.04,16437.1,17626.78,19797.29,16763.55,3712.65
hsa-miR-1910-5p,0.0,0.0,10.33,0.0,13.27,93.94,39.19,2.6,46.9,46.84,96.54,0.0,0.21,0.0,1.27,0.0,0.0,0.0,0.0,11.36,90.95,123.17,53.34,36.21,27.42,18.88,19.63,35.29,6.0,133.29,3.67,6.46
hsa-miR-192-5p,833.28,502.85,581.63,1045.74,933.96,1056.01,1960.0,648.75,7882.87,1873.45,2880.5,841.56,1026.91,575.81,1646.89,885.96,901.23,717.0,629.26,504.47,371.53,2691.74,2108.94,1290.04,1639.15,1472.81,914.75,1044.28,1565.4,2246.42,388.97,1743.04
hsa-miR-193a-3p,0.0,3.2,2.95,8.07,0.0,0.0,3.01,1.11,17.9,0.0,0.0,7.59,4.65,4.0,0.0,1.53,0.0,4.34,0.0,0.0,0.0,9.56,4.69,3.49,0.0,2.27,0.0,0.0,0.19,0.0,0.68,0.0
hsa-miR-193a-5p,0.0,0.0,2.21,0.0,0.0,0.0,0.0,1.86,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,5.86,0.0,3.61,0.0,2.07,0.0,0.0,0.0,0.0,0.0
hsa-miR-193b-3p,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-193b-5p,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,7.57,0.0,1.9,1.18,0.98,3.07,0.74,0.16,1.53,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.38,0.0,0.0,0.0
hsa-miR-194-5p,2.38,6.5,10.92,2.02,0.0,11.05,4.52,9.65,12.96,26.54,34.7,7.59,19.04,4.7,12.09,13.8,14.53,13.75,11.76,3.65,0.0,29.73,8.79,7.85,2.16,16.43,10.07,0.0,5.06,7.59,4.35,15.93
hsa-miR-195-3p,0.0,0.27,3.4,5.19,0.0,0.0,0.0,0.43,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.44,1.23,3.22,1.79,0.0,0.0,0.0,4.1,5.67,5.77,0.0,2.58,0.0,0.0,0.0,1.26,0.0
hsa-miR-195-5p,3.97,0.09,5.76,8.36,0.0,0.0,2.26,0.87,0.0,0.0,0.0,0.0,6.56,1.88,0.0,1.97,6.9,1.05,1.66,0.0,0.0,0.0,12.31,7.85,0.0,4.72,2.58,0.0,0.38,11.92,0.29,0.11
hsa-miR-196a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.19,0.0
hsa-miR-196b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.4,0.55,2.36,4.04,0.0,0.0,0.0,8.35,0.0,21.08,0.0,0.0,8.67,0.0,7.17,8.43,2.71,1.53,6.78,0.0,0.0,0.0,2.34,0.0,0.0,3.67,1.29,0.0,1.88,0.0,0.68,2.23
hsa-miR-197-3p,2.78,3.94,15.5,22.19,13.27,16.58,1.88,3.46,9.26,0.78,3.79,0.0,10.36,7.99,1.55,7.67,5.91,27.9,11.25,0.0,0.0,0.0,0.0,3.05,2.16,5.59,6.46,0.0,5.06,0.0,0.68,0.45
hsa-miR-197-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67
hsa-miR-1976,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,1.11
hsa-miR-199a-3p,430.54,120.01,304.4,233.19,70.31,229.88,339.54,308.82,140.09,124.12,184.88,114.8,628.84,276.03,168.13,496.11,270.2,324.13,84.78,21.92,5.81,109.37,121.92,36.65,10.1,86.37,158.62,13.44,60.76,28.18,56.1,45.89
hsa-miR-199a-5p,80.63,50.17,80.9,70.91,33.17,35.37,47.11,58.81,49.37,26.54,20.19,140.89,60.49,34.8,54.83,53.35,78.57,81.7,49.1,21.1,23.22,24.42,26.38,41.88,9.38,56.47,27.38,33.61,23.26,0.0,33.89,6.24
hsa-miR-199b-3p,5.96,125.51,168.73,232.9,47.76,9.95,165.44,124.23,79.0,21.08,82.03,198.29,4.23,17.63,156.75,19.72,201.48,268.65,359.96,25.37,0.0,1.06,33.41,56.71,55.19,242.85,2.32,0.0,15.57,0.0,104.48,2.45
hsa-miR-199b-5p,0.0,1.65,6.05,7.49,19.9,0.0,0.0,3.65,12.96,1.56,1.89,0.47,14.59,0.0,4.22,2.96,5.67,2.33,17.77,0.0,0.0,0.0,0.0,0.0,0.0,3.15,1.03,0.0,3.56,14.09,0.87,0.0
