miRNA,GSM2832558,GSM2832559,GSM2832560,GSM2832561,GSM2832562,GSM2832563,GSM2832564
hsa-miR-139-5p,30.49,5.45,28.4,25.42,5.48,92.68,71.08
hsa-miR-140-3p,44.91,13.2,40.73,50.25,14.88,191.4,137.21
hsa-miR-140-5p,8.81,3.77,15.06,8.53,1.77,30.24,27.09
hsa-miR-142-3p,18.71,6.54,18.04,7.5,1.93,39.31,42.06
hsa-miR-142-5p,48.29,19.07,46.95,45.12,9.24,146.53,129.17
hsa-miR-143-3p,137.2,13.16,80.91,49.22,29.6,143.43,297.39
hsa-miR-143-5p,0.34,0.04,0.0,0.7,0.0,0.0,2.85
hsa-miR-144-3p,9.73,0.96,3.44,9.28,1.72,22.15,10.79
hsa-miR-144-5p,1.6,0.54,2.27,5.67,0.97,13.57,7.18
hsa-miR-145-3p,0.0,0.13,0.0,2.21,0.0,1.96,3.11
hsa-miR-145-5p,0.0,0.0,0.51,0.27,0.05,0.0,1.22
hsa-miR-1468-5p,1.54,0.21,0.25,1.08,0.11,2.62,0.56
hsa-miR-146a-3p,0.0,0.25,0.0,0.43,0.0,0.82,0.0
hsa-miR-146a-5p,136.8,36.67,160.21,80.37,23.8,170.23,340.31
hsa-miR-146b-3p,2.29,0.13,0.0,0.54,0.21,0.9,1.63
hsa-miR-146b-5p,99.61,40.23,100.02,65.42,15.58,264.38,311.34
hsa-miR-148a-3p,460.28,64.96,158.95,189.93,47.32,311.45,368.36
hsa-miR-148a-5p,2.86,0.63,0.86,1.73,0.32,1.14,5.8
hsa-miR-148b-3p,24.32,10.39,24.87,9.77,5.43,39.23,44.65
hsa-miR-148b-5p,1.14,0.59,0.35,0.81,0.0,2.62,0.46
hsa-miR-150-3p,2.69,0.29,0.91,2.21,0.21,11.6,8.71
hsa-miR-150-5p,66.42,25.9,42.76,55.32,5.48,417.86,292.09
hsa-miR-151a-3p,428.64,123.39,278.92,345.54,114.36,772.05,899.25
hsa-miR-151a-5p,3.6,1.38,3.64,1.57,0.91,6.86,12.02
hsa-miR-151b,0.57,0.04,0.0,0.38,0.0,1.39,0.0
hsa-miR-152-3p,4.46,1.47,3.54,4.75,1.13,15.12,10.69
hsa-miR-155-5p,12.87,3.31,14.05,24.45,3.81,67.1,47.96
hsa-miR-1587,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-15a-5p,0.0,0.0,0.0,0.92,0.05,1.06,2.9
hsa-miR-15b-3p,0.0,0.0,0.0,0.81,0.05,0.0,0.31
hsa-miR-15b-5p,0.92,0.21,0.56,0.49,0.54,2.7,0.51
hsa-miR-16-2-3p,24.6,5.2,20.77,13.22,5.32,47.48,41.7
hsa-miR-16-5p,14.36,4.78,12.79,13.33,2.9,46.17,29.73
hsa-miR-17-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.46
hsa-miR-17-5p,13.79,2.64,7.99,5.67,3.22,22.56,24.54
hsa-miR-181a-2-3p,4.58,1.76,5.51,7.39,2.04,16.02,23.32
hsa-miR-181a-3p,3.72,0.38,1.26,2.05,0.38,3.51,5.45
hsa-miR-181a-5p,61.96,12.45,58.68,104.12,22.67,247.13,180.95
hsa-miR-181b-3p,0.0,0.0,0.0,0.81,0.0,0.0,0.0
hsa-miR-181b-5p,7.27,3.19,5.71,22.94,2.63,38.08,15.73
hsa-miR-181c-3p,0.0,0.21,1.57,0.0,0.0,1.96,1.63
hsa-miR-181c-5p,0.0,0.0,0.0,0.92,0.38,1.55,0.25
hsa-miR-181d-5p,0.97,0.34,0.25,0.81,0.11,4.82,6.21
hsa-miR-182-5p,2.4,1.26,3.39,3.45,1.45,20.35,16.5
hsa-miR-1827,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-183-5p,4.12,0.42,0.56,2.91,1.07,12.67,11.46
hsa-miR-184,10.58,0.0,0.0,1.13,0.0,0.0,0.51
hsa-miR-1843,2.35,1.59,3.74,2.21,0.16,3.35,3.31
hsa-miR-185-3p,1.6,0.54,0.96,4.64,0.81,0.98,6.67
hsa-miR-185-5p,28.78,7.33,27.59,25.85,7.36,63.58,66.54
hsa-miR-186-3p,0.0,0.0,0.0,0.05,0.0,0.0,0.05
hsa-miR-186-5p,15.79,4.86,12.48,17.92,3.65,45.77,44.6
hsa-miR-188-5p,0.0,0.0,0.0,0.27,0.0,0.0,0.0
hsa-miR-18a-3p,0.0,0.0,0.0,0.22,0.0,0.08,0.0
hsa-miR-18a-5p,1.43,0.59,0.0,0.97,0.0,2.04,2.14
hsa-miR-1908-5p,1.72,1.01,1.31,1.51,1.02,3.11,2.9
hsa-miR-190a-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.22
hsa-miR-190b-5p,0.0,0.0,0.0,0.0,0.0,0.82,0.0
hsa-miR-191-3p,0.0,0.0,0.51,0.86,0.0,2.37,2.14
hsa-miR-191-5p,187.66,67.22,211.96,163.65,63.44,435.35,686.37
hsa-miR-192-3p,0.0,0.0,0.0,0.0,0.0,0.33,0.0
hsa-miR-192-5p,10.98,5.28,13.75,16.73,2.42,56.64,33.6
hsa-miR-193a-5p,0.23,0.0,0.1,2.32,0.64,6.13,3.61
hsa-miR-193b-3p,0.0,0.0,0.0,0.59,0.0,0.0,0.0
hsa-miR-193b-5p,0.0,0.0,0.0,0.76,0.0,0.82,1.78
hsa-miR-194-5p,0.06,0.0,0.0,0.11,0.16,2.04,1.53
hsa-miR-195-3p,0.4,0.08,0.56,0.43,0.0,4.09,3.21
hsa-miR-195-5p,0.74,0.0,0.0,0.0,0.0,0.41,0.0
hsa-miR-196a-5p,0.0,0.29,0.66,0.0,0.0,0.0,0.56
hsa-miR-196b-5p,0.06,0.0,0.0,0.05,0.0,0.0,2.04
hsa-miR-197-3p,1.32,0.46,0.71,1.3,0.54,1.72,4.89
hsa-miR-197-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-1976,0.69,0.0,0.0,0.0,0.05,0.0,0.0
hsa-miR-198,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-199a-3p,4.98,3.02,2.32,9.39,1.88,20.02,33.25
hsa-miR-199a-5p,67.63,18.61,44.32,34.33,8.43,80.09,144.29
hsa-miR-199b-3p,20.42,3.1,15.41,3.89,1.07,2.86,16.55
hsa-miR-199b-5p,0.0,0.0,0.86,0.0,0.0,1.55,1.17
hsa-miR-19a-3p,2.57,0.21,0.0,1.13,0.11,1.55,1.93
hsa-miR-19b-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-19b-3p,1.83,0.84,1.92,2.0,1.4,4.33,3.67
hsa-miR-200a-3p,1.09,0.13,1.11,0.0,0.0,17.0,1.43
hsa-miR-200a-5p,0.0,0.0,0.0,0.0,0.0,0.9,0.0
hsa-miR-200b-3p,0.23,0.5,1.21,0.92,0.27,12.99,3.67
hsa-miR-200b-5p,0.0,0.0,0.0,0.0,0.0,0.65,0.0
hsa-miR-200c-3p,4.81,1.17,7.38,2.7,0.97,31.22,14.31
hsa-miR-203a-3p,4.69,1.05,9.2,12.79,2.15,65.3,0.92
hsa-miR-204-3p,0.0,0.0,0.0,0.16,0.0,1.47,0.51
hsa-miR-204-5p,0.51,0.29,0.56,0.22,0.0,11.2,6.62
hsa-miR-205-5p,0.0,0.0,0.1,1.19,0.0,0.0,0.0
hsa-miR-206,0.0,0.25,0.1,0.05,0.11,1.14,0.97
hsa-miR-20a-5p,47.6,14.17,34.32,21.7,8.65,88.43,74.79
hsa-miR-20b-5p,1.89,0.08,0.61,0.65,0.32,2.21,1.32
hsa-miR-21-3p,2.69,0.29,1.06,1.78,0.32,0.82,1.68
hsa-miR-21-5p,4801.0,1352.08,3906.57,1692.89,642.99,7299.22,9728.9
hsa-miR-210-3p,0.0,0.0,0.0,0.0,0.0,0.41,0.0
hsa-miR-2110,0.34,0.54,1.31,3.45,0.81,7.03,1.43
hsa-miR-2115-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-2115-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.71
hsa-miR-212-5p,0.0,0.0,0.35,0.0,0.0,0.9,0.51
hsa-miR-214-3p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-214-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-215-5p,0.06,0.13,0.0,0.22,0.0,1.72,0.1
hsa-miR-218-5p,0.0,0.21,0.76,0.0,0.21,0.0,0.97
hsa-miR-219a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.46
hsa-miR-22-3p,153.62,44.05,106.18,153.12,36.9,224.66,346.52
hsa-miR-22-5p,3.66,0.13,2.43,1.08,0.32,3.68,3.36
hsa-miR-221-3p,15.73,4.27,6.97,14.52,3.87,27.79,48.57
hsa-miR-221-5p,0.97,0.63,1.26,0.65,0.64,4.82,9.62
hsa-miR-222-3p,112.65,34.91,70.81,101.09,24.07,207.66,242.76
hsa-miR-222-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.56
hsa-miR-223-3p,8.3,3.27,10.82,6.21,2.47,12.5,38.95
hsa-miR-223-5p,20.31,5.53,12.48,9.23,2.79,34.49,36.05
hsa-miR-224-3p,0.0,0.25,0.0,0.0,0.0,0.0,0.2
hsa-miR-224-5p,38.5,45.89,49.12,46.96,14.99,122.91,73.32
hsa-miR-2277-5p,0.0,0.0,0.0,0.0,0.0,0.49,0.0
hsa-miR-2355-3p,0.0,0.29,0.0,0.81,0.0,0.0,0.51
hsa-miR-23a-3p,13.67,3.06,9.65,6.96,2.26,36.37,69.55
hsa-miR-23a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.66
hsa-miR-23b-3p,1.14,0.29,0.0,0.97,0.91,12.01,9.98
hsa-miR-23b-5p,0.0,0.08,0.0,0.38,0.16,1.72,2.09
hsa-miR-24-1-5p,0.0,0.0,0.0,0.7,0.0,0.0,1.27
hsa-miR-24-2-5p,3.03,1.47,3.23,1.94,0.86,10.05,5.45
hsa-miR-24-3p,101.32,47.15,121.6,71.73,41.74,49.28,106.72
hsa-miR-25-3p,27.4,7.92,29.36,61.1,11.12,91.37,84.57
hsa-miR-25-5p,0.97,0.0,1.42,3.83,0.21,0.98,0.41
hsa-miR-26a-1-3p,0.8,0.0,0.0,0.0,0.0,1.47,0.0
hsa-miR-26a-2-3p,0.0,0.0,0.0,1.3,0.0,0.74,0.0
hsa-miR-26a-5p,1970.29,556.95,1722.77,968.77,333.74,3780.33,5037.76
hsa-miR-26b-3p,0.0,0.08,1.01,0.49,0.0,4.0,2.29
hsa-miR-26b-5p,76.49,24.94,52.06,55.0,15.09,235.61,166.18
hsa-miR-27a-3p,51.26,15.3,52.51,60.99,15.15,286.77,120.16
hsa-miR-27a-5p,2.75,0.29,1.26,1.73,0.7,3.84,3.92
hsa-miR-27b-3p,87.54,29.84,104.62,94.02,23.15,387.7,224.89
hsa-miR-27b-5p,0.57,0.0,0.35,0.0,0.11,0.74,2.14
hsa-miR-28-3p,44.97,10.94,27.7,35.68,15.95,66.36,101.01
hsa-miR-28-5p,9.04,3.48,7.73,4.97,3.28,24.76,37.27
hsa-miR-296-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-296-5p,0.0,0.0,0.0,0.65,0.0,0.0,0.66
hsa-miR-299-3p,0.0,0.0,0.05,0.0,0.0,0.0,0.05
hsa-miR-299-5p,0.0,0.0,0.0,0.0,0.11,0.0,0.0
hsa-miR-29a-3p,7.04,5.2,15.67,16.08,3.6,67.83,43.74
hsa-miR-29b-2-5p,0.0,0.0,0.0,0.0,0.0,0.16,1.17
hsa-miR-29b-3p,2.57,0.88,0.91,2.48,0.16,9.15,2.49
hsa-miR-29c-3p,0.0,0.0,1.01,0.16,0.0,0.33,1.02
hsa-miR-29c-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0
hsa-miR-301a-3p,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-301a-5p,0.0,0.0,0.0,0.05,0.0,0.98,0.56
hsa-miR-3064-5p,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3065-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-3074-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-30a-3p,5.21,1.84,5.0,6.1,3.44,29.26,12.27
hsa-miR-30a-5p,105.21,26.11,117.71,129.59,28.85,585.39,222.55
hsa-miR-30b-3p,0.0,0.13,0.0,0.54,0.0,0.0,0.36
hsa-miR-30b-5p,0.63,0.46,2.83,0.7,0.05,3.6,8.4
hsa-miR-30c-1-3p,0.0,0.0,0.25,0.0,0.0,0.65,0.0
hsa-miR-30c-2-3p,2.29,0.04,0.86,0.0,0.0,3.6,1.17
hsa-miR-30c-5p,40.33,10.56,60.75,35.73,12.35,114.58,152.54
hsa-miR-30d-3p,0.0,0.29,0.0,0.0,0.0,0.9,0.0
hsa-miR-30d-5p,843.09,279.29,789.77,620.97,241.67,1482.15,2186.77
hsa-miR-30e-3p,15.68,5.24,5.96,6.8,3.76,32.85,41.34
hsa-miR-30e-5p,80.73,27.28,58.78,45.93,14.18,163.86,204.83
hsa-miR-31-5p,0.0,0.0,0.0,0.76,0.0,0.0,0.0
hsa-miR-3120-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0
hsa-miR-3120-5p,0.0,0.0,0.25,1.35,0.0,0.0,0.46
hsa-miR-3127-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-3130-3p,0.0,0.0,0.0,0.92,0.0,0.0,0.0
hsa-miR-3143,0.0,0.04,0.0,0.0,0.0,0.0,0.0
hsa-miR-3146,0.0,0.0,0.0,0.43,0.0,0.0,0.0
hsa-miR-3150a-5p,0.0,0.0,0.0,0.0,0.0,0.57,0.0
hsa-miR-3158-3p,0.0,0.29,0.0,0.65,0.43,5.56,0.0
hsa-miR-3161,0.0,0.0,0.0,0.0,0.11,0.33,0.0
hsa-miR-3164,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-3168,0.0,0.0,0.05,0.0,0.0,0.25,0.0
hsa-miR-3173-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.27
hsa-miR-3174,0.0,0.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-3177-3p,1.37,0.25,0.51,0.92,0.21,0.9,1.93
hsa-miR-3178,0.0,0.0,0.0,0.27,0.0,1.47,0.0
hsa-miR-3179,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-3182,0.4,0.0,0.0,1.3,0.0,0.0,2.49
hsa-miR-3195,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3196,0.0,0.0,0.0,0.0,0.0,0.0,1.58
hsa-miR-32-3p,0.0,0.04,0.0,0.0,0.0,0.98,0.0
hsa-miR-32-5p,4.58,0.54,2.73,0.43,0.7,1.47,3.0
hsa-miR-320a-3p,74.38,21.67,62.67,131.8,25.03,226.79,188.54
hsa-miR-320a-5p,0.0,0.0,0.35,1.46,0.0,0.0,1.12
hsa-miR-320b,1.89,0.8,6.52,24.99,5.53,19.29,2.95
hsa-miR-320c,0.0,0.0,0.05,0.0,0.11,6.29,1.48
hsa-miR-320d,0.69,0.0,0.4,2.81,0.0,1.96,6.16
hsa-miR-320e,0.0,0.0,0.0,0.0,0.05,0.25,0.0
hsa-miR-323a-3p,4.58,0.25,2.02,0.59,1.18,1.31,5.86
hsa-miR-323a-5p,0.23,0.0,0.0,0.43,0.16,0.0,0.0
hsa-miR-323b-3p,2.4,0.5,0.86,0.49,1.45,0.65,4.02
hsa-miR-324-3p,0.0,0.0,0.0,0.05,0.11,0.0,0.0
hsa-miR-324-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.81
hsa-miR-326,0.4,0.04,0.4,0.0,0.0,0.08,1.43
hsa-miR-328-3p,10.93,3.56,14.5,4.32,2.26,15.28,14.46
hsa-miR-329-3p,0.0,0.29,1.77,0.38,0.16,0.25,1.37
hsa-miR-329-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0
hsa-miR-330-3p,3.32,1.17,4.55,1.78,0.86,5.64,4.53
hsa-miR-330-5p,0.0,0.0,0.0,0.0,0.32,0.0,1.07
hsa-miR-331-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-331-5p,0.0,0.0,0.0,0.0,0.0,0.82,0.41
hsa-miR-335-3p,8.12,4.27,8.34,8.1,1.72,19.45,28.36
hsa-miR-335-5p,3.26,0.8,0.76,0.54,0.59,1.47,2.29
hsa-miR-337-3p,0.34,0.29,0.3,0.0,0.0,0.0,0.0
hsa-miR-338-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.36
hsa-miR-338-5p,2.63,0.59,0.0,0.11,0.0,0.08,0.0
hsa-miR-339-3p,0.97,0.54,0.71,3.29,0.54,8.66,8.81
hsa-miR-339-5p,3.6,0.59,5.56,4.37,2.85,17.49,28.36
hsa-miR-33a-5p,0.0,0.0,0.0,0.0,0.0,1.63,0.61
hsa-miR-340-3p,9.9,2.81,13.54,2.7,1.07,10.95,17.46
hsa-miR-340-5p,54.12,15.55,50.19,16.46,5.53,73.47,66.04
hsa-miR-342-3p,1.09,0.71,1.26,1.03,0.0,8.74,6.62
hsa-miR-342-5p,11.33,4.23,10.71,20.24,2.31,51.08,46.59
hsa-miR-345-5p,1.14,0.0,0.0,0.86,0.11,3.92,0.66
hsa-miR-34c-5p,0.8,0.0,0.0,0.0,0.0,5.56,0.0
hsa-miR-3605-3p,0.0,0.25,0.0,0.0,0.0,0.0,1.27
hsa-miR-3605-5p,0.0,0.0,0.0,0.0,0.0,0.74,0.87
hsa-miR-361-3p,23.8,14.08,21.63,60.61,10.1,72.24,77.8
hsa-miR-361-5p,2.57,1.38,2.73,1.19,0.7,6.62,6.62
hsa-miR-3611,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-3613-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-3613-5p,2.52,0.42,1.82,0.11,0.32,0.82,1.88
hsa-miR-3614-5p,0.0,0.0,0.0,1.62,0.0,1.31,0.0
hsa-miR-3615,4.75,0.71,4.9,4.37,1.02,6.29,5.7
hsa-miR-3617-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.92
hsa-miR-362-5p,0.0,0.13,0.0,0.0,0.0,0.74,0.36
hsa-miR-3620-5p,0.0,0.0,0.0,0.32,0.0,0.57,0.0
hsa-miR-363-3p,7.04,2.01,6.77,13.71,1.77,38.49,27.09
hsa-miR-3648,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-365a-3p,0.0,0.0,0.0,0.38,0.0,0.0,0.0
hsa-miR-365b-3p,0.0,0.0,0.0,0.0,0.0,0.9,0.0
hsa-miR-365b-5p,0.0,0.0,0.0,0.0,0.0,0.49,0.0
hsa-miR-3665,0.06,0.0,0.0,0.76,0.0,5.23,3.31
hsa-miR-3679-5p,0.0,0.0,1.11,0.0,0.0,1.72,0.0
hsa-miR-3682-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.56
hsa-miR-369-3p,0.0,0.0,0.3,0.65,0.11,0.0,0.0
hsa-miR-369-5p,0.86,0.0,3.13,0.22,0.43,0.0,1.48
hsa-miR-370-3p,9.84,1.89,7.33,4.37,6.07,18.96,17.82
hsa-miR-372-3p,0.0,0.0,0.0,0.0,0.0,0.16,0.0
