miRNA,SRR2927797,SRR2927798,SRR2927799,SRR2927800,SRR2927801,SRR2927802,SRR2927803,SRR2927804,SRR2927805,SRR2927806,SRR2927807,SRR2927808,SRR2927809,SRR2927810,SRR2927811,SRR2927812,SRR2927813,SRR3592837,SRR3592838,SRR3592839,SRR3592840,SRR3592841,SRR3592842,SRR3592843,SRR3592844,SRR3592845,SRR3592846,SRR3592847,SRR3592848,SRR3592849,SRR3592850,SRR3592851,SRR3592852,SRR3592853
hsa-miR-328-3p,8.57,7.34,3.34,3.74,6.5,8.84,8.72,2.89,2.82,5.53,4.34,6.21,5.4,3.99,5.35,12.72,11.49,3.96,4.35,6.69,2.15,7.59,5.52,13.05,4.15,7.7,9.17,2.41,2.58,4.65,4.6,10.53,7.06,16.26
hsa-miR-328-5p,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-329-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-329-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-330-3p,5.87,2.52,5.0,6.41,5.89,6.49,3.88,3.79,4.82,3.85,4.49,6.42,7.39,3.42,2.25,4.77,4.24,5.95,6.53,0.0,12.92,6.07,12.43,6.53,2.07,6.16,5.5,2.41,3.86,4.65,2.3,2.63,8.47,4.88
hsa-miR-330-5p,12.18,6.65,9.27,11.75,13.4,14.25,13.08,15.0,12.29,15.39,8.54,11.98,18.19,7.41,11.05,16.13,11.24,3.96,6.53,13.37,10.77,7.59,15.19,10.88,14.51,7.7,14.67,8.45,9.02,7.75,4.6,3.95,12.71,4.88
hsa-miR-331-3p,9.02,8.25,3.52,4.81,2.64,5.23,9.93,7.77,8.31,5.05,5.79,2.35,16.99,4.56,4.14,4.09,2.5,7.93,8.71,4.46,2.15,3.04,5.52,4.35,4.15,7.7,0.0,6.03,3.86,7.75,9.2,2.63,9.88,4.88
hsa-miR-331-5p,16.24,8.02,7.04,27.95,21.31,14.43,13.81,10.66,13.79,5.05,6.37,5.35,12.79,10.54,13.99,21.12,13.23,23.78,15.24,17.83,23.69,18.22,23.48,8.7,16.58,9.24,7.33,2.41,6.44,17.04,4.6,15.8,16.94,9.75
hsa-miR-335-3p,10.38,4.58,5.38,34.89,72.27,65.64,9.69,2.71,9.47,6.49,92.32,110.41,31.37,11.68,26.25,8.63,21.72,25.76,0.0,2.23,25.84,65.28,66.29,13.05,0.0,7.7,1.83,102.58,108.22,23.24,23.0,15.8,4.24,26.01
hsa-miR-335-5p,26.39,11.0,5.38,71.92,55.82,46.71,11.14,9.58,7.64,6.97,55.86,95.43,9.99,11.97,24.0,12.49,23.22,9.91,10.89,4.46,62.46,69.83,51.1,4.35,6.22,10.78,11.0,47.06,94.05,10.84,20.7,22.38,15.53,8.13
hsa-miR-337-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-338-3p,0.23,0.0,0.0,2.14,0.41,0.54,2.18,2.17,0.66,0.0,0.14,0.21,1.2,0.57,0.0,1.36,0.0,0.0,0.0,2.23,0.0,0.0,0.0,2.18,0.0,0.0,0.0,1.21,1.29,0.0,4.6,1.32,0.0,1.63
hsa-miR-338-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0
hsa-miR-339-3p,85.72,128.84,180.16,94.89,114.89,155.99,180.69,113.66,129.08,117.1,57.59,180.59,96.52,67.81,135.74,180.11,135.33,87.19,128.45,184.98,129.22,144.22,160.2,187.07,116.09,130.95,144.86,69.99,181.65,99.14,82.8,156.64,187.77,113.8
hsa-miR-339-5p,91.81,85.28,136.97,95.6,135.4,104.23,145.08,63.61,86.55,72.37,48.48,112.34,178.25,39.89,125.03,124.92,78.9,75.3,89.26,122.57,86.15,139.66,88.38,132.69,68.41,77.03,71.52,62.75,88.89,154.91,50.6,136.89,138.36,84.54
hsa-miR-33a-3p,4.06,6.88,2.04,4.98,4.06,4.15,2.66,9.03,3.32,2.16,3.33,2.14,22.38,3.42,4.32,9.54,4.24,3.96,4.35,2.23,4.31,1.52,2.76,4.35,4.15,4.62,0.0,6.03,2.58,21.69,0.0,11.85,11.29,6.5
hsa-miR-33a-5p,9.7,2.75,2.22,8.72,14.41,7.93,1.94,6.69,2.99,4.81,8.25,4.92,9.39,0.57,3.11,19.53,10.49,13.87,4.35,2.23,8.61,16.7,9.67,0.0,4.15,3.08,1.83,7.24,2.58,6.2,0.0,1.32,24.0,6.5
hsa-miR-33b-3p,0.9,1.6,1.48,0.53,1.42,0.0,0.73,0.72,1.16,0.96,0.43,1.28,1.6,0.0,0.69,0.68,0.25,1.98,0.0,2.23,0.0,0.0,0.0,4.35,2.07,1.54,0.0,0.0,1.29,4.65,0.0,1.32,0.0,0.0
hsa-miR-33b-5p,10.38,8.94,5.19,6.41,26.39,7.75,8.72,14.46,10.3,9.38,16.35,9.41,21.98,5.7,5.7,20.44,12.98,11.89,6.53,4.46,4.31,22.77,8.29,10.88,18.66,6.16,5.5,14.48,15.46,26.33,6.9,1.32,12.71,11.38
hsa-miR-340-3p,0.45,0.23,0.19,0.18,1.01,1.62,0.73,1.26,0.17,0.72,0.29,0.21,0.4,0.0,0.52,0.45,0.25,0.0,2.18,0.0,0.0,0.0,1.38,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-340-5p,12.86,7.79,1.85,18.34,20.5,14.79,9.45,31.62,3.65,10.58,12.44,8.77,23.78,4.27,11.4,10.45,12.73,9.91,15.24,0.0,15.08,22.77,19.33,6.53,18.66,4.62,9.17,14.48,10.31,29.43,4.6,13.16,12.71,11.38
