miRNA,GSM4804998,GSM4804999,GSM4805000,GSM4805001,GSM4805002,GSM4805003
hsa-miR-146a-5p,972.21,825.06,555.63,764.43,540.96,411.11
hsa-miR-146b-3p,1.43,3.82,1.6,6.06,5.83,2.38
hsa-miR-146b-5p,1604.13,1732.38,1120.88,1797.75,1977.4,1201.26
hsa-miR-147b-3p,0.72,0.85,0.53,0.92,0.92,0.0
hsa-miR-147b-5p,0.0,1.27,0.0,0.0,0.0,0.59
hsa-miR-148a-3p,18970.49,23024.15,16203.02,23210.58,32123.92,19849.31
hsa-miR-148a-5p,16.46,26.29,17.63,22.41,18.71,15.45
hsa-miR-148b-3p,248.33,243.79,140.51,184.59,261.28,175.85
hsa-miR-148b-5p,9.3,7.63,3.21,5.14,6.75,2.38
hsa-miR-149-3p,0.0,0.0,0.0,0.18,0.31,0.0
hsa-miR-149-5p,20.04,24.59,12.29,24.61,28.83,14.26
hsa-miR-150-3p,0.36,0.42,1.07,2.57,0.92,0.0
hsa-miR-150-5p,12.17,9.33,4.27,9.0,6.44,1.78
hsa-miR-151a-3p,1624.53,1811.24,1275.81,1788.75,2124.91,1207.2
hsa-miR-151a-5p,10.38,8.9,4.27,9.18,9.81,6.54
hsa-miR-151b,2.15,1.7,2.14,1.29,3.99,2.38
hsa-miR-152-3p,873.81,677.09,526.78,1067.85,715.15,611.32
hsa-miR-152-5p,1.43,0.85,2.14,3.49,1.23,2.38
hsa-miR-153-3p,0.0,1.7,1.07,0.18,0.92,0.59
hsa-miR-1538,0.36,0.0,0.0,0.18,0.0,0.0
hsa-miR-154-3p,0.0,1.7,0.0,0.0,0.0,0.0
hsa-miR-154-5p,0.72,1.27,0.53,1.47,1.84,0.0
hsa-miR-155-5p,346.02,320.53,199.81,540.17,326.91,212.09
hsa-miR-15a-5p,2.5,4.66,1.6,5.14,7.67,2.38
hsa-miR-15b-3p,2.5,2.12,0.0,1.29,0.61,0.0
hsa-miR-15b-5p,7.16,3.82,0.53,3.67,0.61,3.56
hsa-miR-16-1-3p,0.0,0.42,0.0,0.37,0.31,0.0
hsa-miR-16-2-3p,98.4,127.62,56.1,65.39,73.91,49.9
hsa-miR-16-5p,125.95,149.24,68.92,124.34,93.53,40.99
hsa-miR-17-3p,0.72,0.0,0.0,0.0,1.53,0.59
hsa-miR-17-5p,100.19,71.65,45.41,80.26,53.36,28.52
hsa-miR-181a-2-3p,13.6,11.45,10.15,8.82,9.51,3.56
hsa-miR-181a-3p,2.15,3.39,1.07,3.67,1.53,1.19
hsa-miR-181a-5p,308.09,433.73,175.77,226.28,305.14,147.34
hsa-miR-181b-2-3p,0.36,0.42,0.0,0.0,0.0,0.0
hsa-miR-181b-3p,1.07,0.0,2.14,0.0,0.0,1.78
hsa-miR-181b-5p,112.0,132.71,58.23,79.9,84.64,32.68
hsa-miR-181c-3p,2.5,1.7,0.53,1.29,0.0,0.59
hsa-miR-181c-5p,1.43,2.54,1.07,0.92,1.84,0.0
hsa-miR-181d-3p,0.0,0.0,0.0,0.0,0.0,1.19
hsa-miR-181d-5p,24.69,38.58,16.03,33.61,33.73,20.79
hsa-miR-182-3p,0.0,0.0,0.0,0.0,0.0,0.59
hsa-miR-182-5p,1.79,0.0,2.14,1.47,2.76,0.59
hsa-miR-183-5p,5.37,5.94,4.27,1.47,0.31,8.32
hsa-miR-184,1.07,2.12,0.53,2.39,3.37,0.59
hsa-miR-1843,36.86,36.04,24.04,25.35,31.59,18.42
hsa-miR-185-3p,2.5,0.42,1.6,2.2,0.0,1.78
hsa-miR-185-5p,481.28,396.42,340.32,429.05,214.67,267.34
hsa-miR-186-5p,417.58,531.25,212.64,314.26,264.35,139.02
hsa-miR-187-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-188-5p,0.0,0.0,0.0,0.18,0.31,0.0
hsa-miR-18a-3p,2.5,1.27,1.07,3.86,1.23,0.59
hsa-miR-18a-5p,1.43,2.12,0.53,0.55,5.21,1.19
hsa-miR-1908-3p,0.0,0.0,0.53,0.55,0.92,0.0
hsa-miR-1908-5p,12.88,22.47,6.95,22.41,23.61,10.69
hsa-miR-1909-5p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-190a-5p,0.36,0.42,0.53,0.18,0.31,0.0
hsa-miR-190b-5p,1.07,2.54,1.6,1.29,2.45,1.78
hsa-miR-191-3p,2.86,2.97,1.07,0.73,1.53,0.0
hsa-miR-191-5p,1502.87,1068.0,709.5,1605.45,800.41,647.56
hsa-miR-1910-3p,0.0,0.0,0.0,0.0,1.23,0.0
hsa-miR-1910-5p,0.72,0.85,0.0,0.0,0.0,0.0
hsa-miR-1914-5p,0.0,1.27,0.0,0.55,0.0,0.0
hsa-miR-192-5p,48.66,61.05,37.93,36.37,32.2,27.33
hsa-miR-193a-3p,0.36,0.85,0.0,0.55,0.61,0.0
hsa-miR-193a-5p,844.83,627.49,425.27,1195.32,824.33,537.06
hsa-miR-193b-3p,7.16,5.94,2.14,3.86,0.92,4.75
hsa-miR-193b-5p,53.32,83.52,20.3,141.42,181.55,54.66
hsa-miR-194-3p,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-194-5p,15.74,21.2,9.62,13.04,14.41,3.56
hsa-miR-195-3p,25.41,39.01,26.18,29.02,38.03,23.17
hsa-miR-195-5p,74.07,92.0,51.82,89.63,69.0,33.86
hsa-miR-196a-3p,0.0,0.42,0.53,0.0,0.0,0.0
hsa-miR-196a-5p,349.24,350.63,212.1,538.33,369.54,259.03
hsa-miR-196b-5p,16.46,33.49,14.96,30.31,34.04,12.48
hsa-miR-197-3p,81.23,50.45,49.15,75.67,19.63,24.95
hsa-miR-197-5p,0.0,1.27,0.0,2.2,0.0,0.0
hsa-miR-1976,0.0,0.0,0.0,0.0,0.31,1.78
hsa-miR-199a-3p,4555.12,4471.28,2130.09,2931.72,2192.69,1023.03
hsa-miR-199a-5p,1815.61,2430.24,1051.96,2109.8,2239.91,1839.91
hsa-miR-199b-3p,635.5,50.88,254.31,803.37,599.54,627.96
hsa-miR-199b-5p,121.66,135.25,84.41,141.79,137.39,71.89
hsa-miR-19a-3p,4.29,17.38,5.88,9.37,5.83,5.35
hsa-miR-19b-1-5p,1.07,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,29.34,30.1,10.15,18.55,18.4,7.72
hsa-miR-200a-3p,2.5,1.27,0.53,2.76,0.0,0.0
hsa-miR-200b-3p,5.37,4.66,2.14,1.65,3.07,0.0
hsa-miR-200b-5p,1.07,0.0,1.07,0.37,0.0,0.0
hsa-miR-200c-3p,7.51,2.54,1.6,4.22,0.92,3.56
hsa-miR-202-5p,0.36,0.42,0.53,0.0,1.23,0.0
hsa-miR-203a-3p,1.07,58.09,34.19,56.2,0.92,309.52
hsa-miR-204-3p,2.5,12.72,3.74,4.22,6.44,2.97
hsa-miR-204-5p,6.8,10.6,6.95,2.39,2.15,3.56
hsa-miR-205-5p,0.0,0.0,1.6,0.0,0.0,0.0
hsa-miR-206,0.72,2.12,0.53,0.92,1.84,1.78
hsa-miR-208b-3p,0.0,0.42,0.0,0.0,0.61,0.0
hsa-miR-20a-3p,0.0,1.7,0.0,0.0,0.61,0.0
hsa-miR-20a-5p,280.18,176.38,141.04,209.2,81.57,86.14
hsa-miR-20b-5p,2.5,0.0,1.07,0.92,0.0,0.0
hsa-miR-21-3p,16.46,15.26,9.62,4.78,17.17,6.54
hsa-miR-21-5p,54219.53,64258.19,30477.36,48026.98,52491.67,23795.89
hsa-miR-210-3p,28.98,25.44,11.22,37.28,28.52,11.29
hsa-miR-210-5p,0.0,0.0,0.53,0.18,0.0,0.0
hsa-miR-211-5p,0.36,0.42,1.07,0.0,1.53,0.0
hsa-miR-2110,32.56,33.49,21.37,56.2,33.43,39.21
hsa-miR-2116-3p,3.58,1.7,3.21,2.2,2.15,1.19
hsa-miR-212-3p,0.36,1.27,1.6,0.18,0.92,0.0
hsa-miR-212-5p,10.38,17.38,10.15,14.33,14.11,9.51
hsa-miR-214-3p,105.92,65.72,94.56,70.71,70.23,74.86
hsa-miR-214-5p,8.95,81.4,4.27,0.0,92.92,4.75
hsa-miR-215-5p,9.3,8.06,6.95,9.73,7.05,7.72
hsa-miR-216a-3p,0.0,0.0,0.53,0.92,0.0,0.0
hsa-miR-216a-5p,1.43,0.85,0.53,1.47,0.0,0.59
hsa-miR-216b-5p,1.43,1.27,0.53,0.73,4.29,0.0
hsa-miR-217-5p,2.5,2.54,2.67,1.84,4.29,0.59
hsa-miR-218-1-3p,2.5,1.27,1.07,0.92,0.61,1.19
hsa-miR-218-2-3p,0.36,0.42,0.0,0.0,0.0,0.0
hsa-miR-218-5p,119.51,153.48,76.4,155.93,184.0,70.1
hsa-miR-219a-1-3p,0.36,1.27,0.0,0.92,1.23,1.19
hsa-miR-219b-5p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-22-3p,3896.36,5625.35,2049.95,3295.38,3621.46,1633.17
hsa-miR-22-5p,78.36,122.95,79.07,73.47,75.44,47.53
hsa-miR-221-3p,894.92,684.73,432.75,785.73,425.04,417.65
hsa-miR-221-5p,33.99,32.65,26.71,37.1,30.36,24.36
hsa-miR-222-3p,2788.54,3207.82,1764.12,3957.69,3690.46,2620.55
hsa-miR-222-5p,0.72,2.12,0.0,0.55,2.45,0.59
hsa-miR-223-3p,0.72,0.0,0.0,0.92,0.0,1.78
hsa-miR-223-5p,2.15,4.24,3.21,0.37,2.45,0.59
hsa-miR-224-3p,0.72,2.97,0.0,0.0,0.0,0.0
hsa-miR-224-5p,1011.57,954.8,591.43,1150.5,1142.04,649.35
hsa-miR-2277-5p,0.72,0.0,0.53,0.0,0.31,1.19
hsa-miR-2278,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-2355-3p,2.86,3.39,0.0,0.92,5.83,1.78
hsa-miR-2355-5p,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-23a-3p,888.84,560.92,518.77,674.06,199.03,349.33
hsa-miR-23a-5p,10.02,19.5,3.74,21.12,13.8,8.91
hsa-miR-23b-3p,49.38,18.23,39.54,25.53,4.91,10.69
hsa-miR-23b-5p,13.6,16.11,9.62,11.02,12.57,11.29
hsa-miR-24-1-5p,1.79,2.54,0.0,2.02,3.99,1.78
hsa-miR-24-2-5p,162.1,214.53,89.22,157.4,168.67,81.39
hsa-miR-24-3p,5591.74,7239.43,1266.73,6742.29,3736.46,3135.04
hsa-miR-25-3p,961.84,973.03,587.15,708.23,742.14,405.77
hsa-miR-25-5p,8.59,4.66,6.95,10.29,6.13,12.48
hsa-miR-2681-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-2682-5p,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-26a-1-3p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-26a-2-3p,2.5,2.12,3.21,3.12,3.68,2.38
hsa-miR-26a-5p,11999.33,16109.06,7295.85,12700.14,12946.05,6720.4
hsa-miR-26b-3p,1.79,1.27,0.53,1.65,0.31,0.0
hsa-miR-26b-5p,925.34,971.76,387.34,676.64,518.88,367.74
hsa-miR-27a-3p,3382.88,6700.98,2461.33,2962.39,4083.92,1924.27
hsa-miR-27a-5p,21.11,24.17,13.36,21.67,33.43,17.82
hsa-miR-27b-3p,2599.96,1815.48,1651.4,1974.44,1364.07,695.09
hsa-miR-27b-5p,7.16,6.36,4.27,10.1,7.05,4.75
hsa-miR-28-3p,575.74,445.18,336.58,506.19,392.84,386.76
hsa-miR-28-5p,114.5,108.54,66.25,155.2,133.71,59.41
hsa-miR-296-3p,18.96,20.77,11.75,28.28,15.03,15.45
hsa-miR-296-5p,1.43,0.42,0.0,1.1,0.31,0.59
hsa-miR-299-3p,2.86,0.42,2.67,4.04,3.68,1.19
hsa-miR-299-5p,3.22,1.27,1.07,3.67,1.53,0.59
hsa-miR-29a-3p,800.1,1140.5,407.64,717.04,821.26,349.92
hsa-miR-29a-5p,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-29b-1-5p,0.36,0.0,0.0,2.2,0.0,1.78
hsa-miR-29b-2-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-29b-3p,7.87,10.6,5.34,8.82,2.76,4.75
hsa-miR-29c-3p,4.29,5.09,0.53,1.1,0.61,0.59
hsa-miR-29c-5p,0.36,0.42,0.53,0.37,0.0,0.0
hsa-miR-301a-3p,1.07,0.0,0.0,0.37,0.0,0.0
hsa-miR-301a-5p,1.43,0.85,0.0,0.0,0.61,1.19
hsa-miR-301b-3p,1.07,0.85,1.07,1.65,0.31,0.0
hsa-miR-3064-5p,0.0,0.42,0.53,0.55,0.0,1.19
hsa-miR-30a-3p,135.97,132.28,71.59,111.12,147.2,80.2
hsa-miR-30a-5p,1463.86,1412.7,736.21,1174.19,1088.37,644.0
hsa-miR-30b-3p,3.94,4.66,2.14,6.61,9.81,2.97
hsa-miR-30b-5p,14.31,14.84,5.88,11.57,8.59,4.75
hsa-miR-30c-1-3p,0.72,0.42,0.53,2.02,3.68,3.56
hsa-miR-30c-2-3p,10.38,9.33,9.62,11.57,2.76,7.13
hsa-miR-30c-5p,260.14,239.12,120.21,254.38,170.81,125.35
hsa-miR-30d-3p,0.72,0.85,0.53,0.37,1.53,0.0
hsa-miR-30d-5p,5015.28,4956.31,2312.81,5076.6,4606.17,2010.42
hsa-miR-30e-3p,76.22,94.12,46.48,58.77,72.68,51.69
hsa-miR-30e-5p,325.62,382.0,187.53,247.59,219.27,130.11
hsa-miR-31-3p,0.72,0.85,0.0,0.92,0.0,0.0
hsa-miR-31-5p,32.2,16.54,12.29,36.0,14.11,22.58
hsa-miR-3117-3p,0.36,0.42,0.53,0.92,0.0,0.0
hsa-miR-3120-3p,0.0,0.42,0.0,0.18,0.0,0.0
hsa-miR-3121-3p,0.0,0.42,0.0,0.0,0.92,0.0
hsa-miR-3124-5p,0.0,0.0,0.0,0.18,0.92,0.0
hsa-miR-3125,2.5,1.7,0.0,0.92,2.15,1.19
hsa-miR-3127-3p,0.72,0.0,0.0,1.1,0.0,0.0
hsa-miR-3127-5p,0.72,1.27,0.53,0.0,0.61,0.0
hsa-miR-3128,0.0,0.0,0.0,0.18,0.31,0.0
hsa-miR-3129-3p,6.8,11.87,6.41,7.9,5.52,3.56
hsa-miR-3129-5p,0.36,2.54,1.6,1.1,0.31,0.0
hsa-miR-3133,0.0,0.42,0.0,0.18,0.0,0.0
hsa-miR-3135b,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-3136-5p,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-3144-5p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-3145-5p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-3146,0.36,1.27,0.0,0.0,0.0,0.0
hsa-miR-3148,0.72,0.0,0.0,0.0,0.0,0.0
hsa-miR-3149,0.0,0.0,0.0,1.1,0.0,0.0
hsa-miR-3150a-5p,0.36,0.0,0.0,0.18,0.0,1.19
hsa-miR-3151-5p,0.0,0.85,0.0,0.0,0.0,0.0
hsa-miR-3152-3p,0.36,0.0,0.53,0.0,0.61,0.0
hsa-miR-3152-5p,0.36,0.85,0.0,1.65,1.23,2.38
hsa-miR-3154,0.0,1.27,0.53,1.65,2.76,0.0
hsa-miR-3155a,0.0,0.0,0.0,0.0,0.0,0.59
hsa-miR-3157-3p,0.0,0.0,0.0,0.0,0.0,0.59
hsa-miR-3157-5p,0.36,0.0,0.0,0.0,0.61,0.0
hsa-miR-3158-3p,1.79,0.85,0.53,0.37,3.07,0.0
hsa-miR-3164,0.72,0.0,0.0,2.02,0.0,0.0
hsa-miR-3165,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-3168,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-3170,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-3173-3p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-3173-5p,2.86,1.7,0.53,2.02,0.0,0.59
hsa-miR-3174,0.0,0.85,0.0,0.0,1.53,0.0
hsa-miR-3175,0.0,0.42,0.0,0.37,0.0,0.0
hsa-miR-3176,0.0,0.0,0.0,0.0,0.61,0.0
hsa-miR-3177-3p,2.15,3.82,2.14,2.39,2.76,0.59
hsa-miR-3178,1.79,1.7,1.07,2.76,1.53,1.78
hsa-miR-3179,0.36,1.27,0.53,1.29,3.07,0.0
hsa-miR-3180,0.0,0.42,0.0,0.55,0.92,0.0
hsa-miR-3180-3p,1.43,0.42,0.53,0.92,0.61,0.59
hsa-miR-3182,1.07,1.7,0.53,0.92,0.92,1.78
hsa-miR-3187-3p,2.15,1.27,0.0,0.37,0.92,0.59
hsa-miR-3188,0.36,0.42,0.0,1.84,0.0,0.0
hsa-miR-3190-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-3192-5p,0.72,0.0,0.0,0.37,0.0,0.0
hsa-miR-3195,0.72,0.0,0.0,0.55,0.31,0.59
hsa-miR-3196,0.0,0.42,0.0,0.55,0.0,0.59
hsa-miR-3199,0.72,0.0,0.53,0.73,0.61,0.59
