miRNA,SRR10531357,SRR10531358,SRR10531359,SRR10531360,SRR10531361,SRR10531362,SRR10531363,SRR10531364,SRR10531365,SRR10531367,SRR10531368,SRR10531369,SRR10531370,SRR10531371,SRR10531372,SRR10531373,SRR10531374,SRR10531375,SRR10531377,SRR10531378,SRR10531379,SRR10531380,SRR10531381,SRR10531382,SRR10531383,SRR10531384,SRR10531385,SRR10531386,SRR10531387,SRR10531388,SRR10531389,SRR10531390,SRR10531391,SRR10531392,SRR10531393,SRR10531394
hsa-miR-3148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
hsa-miR-3149,93.0,0.0,207.0,0.0,0.0,0.0,173.0,0.0,113.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,59.0,18.0,0.0,0.0
hsa-miR-3150a-5p,6.0,0.0,7.0,1.0,0.0,5.0,1.0,0.0,14.0,2.0,123.0,203.0,0.0,12.0,356.0,0.0,0.0,3.0,2.0,48.0,72.0,2.0,1.0,7.0,0.0,241.0,237.0,62.0,358.0,48.0,290.0,1.0,0.0,105.0,26.0,159.0
hsa-miR-3150b-3p,3.0,0.0,0.0,25.0,4.0,1.0,486.0,498.0,4.0,8.0,0.0,666.0,7.0,35.0,0.0,0.0,138.0,0.0,20.0,1.0,134.0,0.0,31.0,0.0,66.0,0.0,1.0,2.0,98.0,0.0,32.0,2.0,0.0,0.0,7.0,2.0
hsa-miR-3151-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3154,2.0,0.0,1.0,1.0,116.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,2.0,1.0,61.0,74.0,0.0,2.0,201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,1.0,2.0,2.0
hsa-miR-3157-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,59.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3158-3p,1.0,99.0,5.0,44.0,2.0,296.0,141017.0,1704.0,22006.0,130749.0,2319.0,99197.0,3232.0,141.0,33.0,9.0,7.0,4.0,1533.0,203.0,203.0,2.0,8.0,1310.0,17.0,15.0,102.0,2.0,1.0,194.0,4.0,2.0,244.0,2271.0,379.0,91.0
hsa-miR-3159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
