miRNA,GSM1410425,GSM1410426,GSM1410427,GSM1410428,GSM1410429,GSM1410430,GSM1410431,GSM1410432,GSM1410433,GSM1410434,GSM1410435,GSM1410436,GSM1410437,GSM1410438,GSM1410439,GSM1410440,GSM1410441,GSM1410442,GSM1410443,GSM1410444,GSM1410445,GSM1410446,GSM1410447
hsa-miR-194-5p,9.47,9.2,10.79,7.48,13.14,19.31,12.41,8.2,13.16,19.48,12.14,13.4,12.88,9.71,29.71,9.24,9.31,10.69,15.26,8.69,8.27,8.92,14.17
hsa-miR-195-3p,7.92,8.84,12.15,7.92,12.62,10.61,12.56,5.64,6.76,11.4,6.19,6.53,11.83,10.27,9.03,9.93,11.47,12.08,12.26,6.43,10.08,11.01,12.09
hsa-miR-195-5p,24.14,21.56,25.89,11.38,21.03,24.34,35.19,15.05,17.35,26.64,21.85,21.75,24.83,28.56,22.58,21.23,24.18,27.58,28.1,13.32,13.31,21.86,28.5
hsa-miR-196a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196a-5p,0.0,0.0,0.0,0.0,0.21,0.11,0.15,0.13,0.35,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.15,0.15
hsa-miR-196b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,0.0,0.0,0.0,0.11,0.0,0.29,0.0,0.0,0.13,0.49,0.11,0.0,0.0,0.73,0.0,0.0,0.32,0.46,0.11,0.0,0.15,0.3
hsa-miR-197-3p,2.34,2.91,2.95,1.45,2.1,4.24,3.21,2.28,1.98,3.84,1.82,2.75,3.28,2.11,4.37,1.94,3.29,4.28,3.58,1.35,3.83,2.08,3.13
hsa-miR-197-5p,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.12,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1976,0.0,0.12,0.11,0.0,0.11,0.11,0.15,0.13,0.23,0.27,0.49,0.0,0.23,0.0,1.17,0.23,0.0,0.21,0.0,0.11,0.0,0.0,0.0
hsa-miR-199a-3p,109.78,118.09,31.57,75.56,86.75,11.39,140.45,7.79,24.69,78.47,17.97,109.8,92.05,25.18,25.63,85.13,111.94,26.41,114.82,80.46,118.95,89.53,93.25
hsa-miR-199a-5p,20.76,17.68,17.6,11.94,14.2,16.08,12.85,10.62,13.51,11.13,8.74,9.27,16.04,10.55,15.0,7.42,8.97,8.45,16.19,11.17,13.71,16.66,21.63
hsa-miR-199b-3p,12.85,5.57,83.8,2.9,19.66,84.96,3.21,83.86,56.6,19.62,61.31,1.03,27.87,72.18,98.89,6.28,3.86,74.2,1.62,4.18,3.02,18.29,21.78
hsa-miR-199b-5p,5.71,6.66,7.49,3.79,4.52,7.7,5.84,4.44,5.01,6.23,4.37,6.76,7.85,6.33,6.55,3.99,6.47,4.7,8.67,3.39,2.02,4.02,4.03
hsa-miR-19a-3p,3.37,3.63,3.52,2.12,1.79,2.12,3.65,2.02,3.26,2.52,5.46,3.43,3.04,2.39,12.67,1.94,1.48,2.89,3.24,3.27,2.42,2.08,2.09
hsa-miR-19b-1-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,34.65,36.21,29.52,28.8,27.87,28.13,34.46,20.29,36.34,29.43,50.75,36.07,30.57,28.14,83.6,26.7,23.5,34.96,32.26,29.34,24.19,21.42,29.24
hsa-miR-200a-3p,6.62,9.33,7.61,4.91,10.62,11.28,7.3,5.91,37.15,13.39,7.53,9.85,8.31,10.69,7.72,8.79,9.65,18.5,10.98,4.85,17.14,4.46,9.55
hsa-miR-200a-5p,0.0,0.12,0.11,0.22,0.95,0.45,0.0,0.0,2.21,0.13,0.0,0.0,0.0,0.14,0.44,0.23,0.0,1.28,0.0,0.34,0.6,0.0,0.0
hsa-miR-200b-3p,2.08,0.73,2.16,0.22,2.42,4.58,1.17,1.21,7.45,1.99,1.46,1.95,1.99,1.55,1.6,2.05,2.5,5.45,2.89,1.58,5.64,0.3,0.9
hsa-miR-200b-5p,1.3,1.09,1.7,1.0,1.16,1.34,1.17,0.27,2.91,1.19,0.24,1.14,1.29,0.7,2.04,0.91,0.34,1.5,1.04,1.47,1.41,0.74,1.49
hsa-miR-200c-3p,0.65,0.61,1.02,0.89,0.74,2.01,1.17,0.54,2.21,1.33,0.85,0.8,1.05,0.98,1.89,0.57,0.11,3.53,1.73,0.34,6.05,0.59,3.73
hsa-miR-200c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-202-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.15,0.15
hsa-miR-202-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.15,0.0
hsa-miR-203a-3p,1.3,409.61,2.84,3.13,3.15,3.68,8.91,1.34,8.04,11.0,0.61,8.59,9.6,4.92,4.22,6.5,3.63,6.74,6.48,2.37,4.64,3.57,7.16
hsa-miR-203b-3p,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-3p,247.19,262.09,177.03,288.84,211.88,156.74,195.64,208.85,142.09,128.44,111.09,116.9,176.37,154.06,229.4,140.02,131.36,108.3,141.07,243.87,270.35,176.98,226.94
hsa-miR-204-5p,20.5,15.5,21.57,10.16,12.51,21.66,23.07,12.9,12.69,18.82,12.14,15.0,29.86,18.29,21.99,18.14,21.57,24.27,29.95,17.83,21.17,30.34,32.38
hsa-miR-205-5p,0.13,1.21,0.0,0.0,0.32,0.22,0.29,0.0,0.23,0.4,0.0,0.11,0.12,0.0,0.0,0.34,0.0,0.11,0.0,0.11,1.01,0.0,0.3
hsa-miR-206,273.27,278.81,319.54,208.82,244.06,233.77,235.2,136.68,187.39,189.54,137.44,155.95,282.0,191.06,169.24,213.06,220.59,174.37,225.47,185.98,136.49,174.0,221.72
hsa-miR-208a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.0
hsa-miR-208b-3p,0.26,0.0,0.45,0.45,0.11,0.56,0.58,0.54,0.35,0.13,0.49,0.23,0.23,0.42,0.15,0.0,0.34,0.32,0.46,0.23,0.2,0.0,0.3
hsa-miR-20a-5p,24.65,23.86,26.8,13.06,20.08,33.27,51.68,17.07,32.26,43.61,68.48,36.64,34.31,31.94,126.71,29.78,32.02,47.15,57.7,12.08,10.08,36.44,35.66
hsa-miR-20b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-20b-5p,1.82,2.66,1.7,2.34,1.68,3.46,4.23,1.88,3.73,5.17,10.93,4.47,3.51,2.95,17.77,3.31,2.84,4.6,5.9,1.47,1.61,2.23,3.58
hsa-miR-21-3p,1.04,1.57,2.04,1.12,2.63,3.8,1.46,2.96,4.43,1.06,1.94,1.14,1.29,0.84,6.12,1.03,0.34,2.03,1.39,2.71,8.67,1.04,1.79
hsa-miR-21-5p,7119.47,7229.09,6499.38,4473.73,5915.2,5586.53,8372.77,4594.71,5644.99,6432.96,5612.45,7273.68,7078.26,6536.84,8013.83,5672.26,7074.62,6156.19,6879.7,5007.0,5839.1,5694.45,7028.33
hsa-miR-210-3p,13.49,19.38,13.97,21.88,15.98,12.84,12.26,10.21,13.98,9.94,7.65,12.25,12.76,11.11,28.11,9.47,8.29,14.54,10.18,18.39,18.35,12.19,10.15
hsa-miR-211-3p,0.39,0.0,0.0,0.0,0.0,0.22,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.11,0.0,0.11,0.0,0.0,0.0
hsa-miR-211-5p,0.39,0.0,0.0,0.11,0.0,0.11,0.15,0.13,0.0,0.27,0.24,0.23,0.23,0.0,1.02,0.11,0.0,0.0,0.0,0.11,0.0,0.15,0.45
hsa-miR-2110,1.3,1.45,0.68,0.89,1.68,1.56,1.46,1.75,0.58,1.19,3.64,0.23,0.47,0.14,12.09,0.0,0.0,1.39,0.58,1.47,4.03,1.34,2.24
hsa-miR-2113,7.01,10.05,9.42,10.16,11.15,7.48,7.74,5.38,6.64,8.22,6.43,5.38,9.6,5.63,6.85,9.24,6.81,8.02,7.4,7.9,8.47,6.54,6.86
hsa-miR-2115-3p,0.13,0.0,0.0,0.0,0.11,0.0,0.44,0.0,0.0,0.13,0.12,0.0,0.35,0.14,0.44,0.0,0.0,0.0,0.0,0.11,0.2,0.0,0.3
hsa-miR-2115-5p,0.0,0.0,0.0,0.22,0.0,0.11,0.29,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.11,0.12,0.0,0.6,0.3,0.3
hsa-miR-2116-3p,0.0,0.0,0.0,0.22,0.11,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-212-3p,20.63,23.5,24.75,16.29,27.34,41.42,33.58,22.85,21.2,18.69,17.97,19.46,28.46,22.37,31.61,20.43,18.39,21.7,30.87,20.2,25.6,37.92,37.0
hsa-miR-212-5p,61.25,59.83,60.86,52.12,42.06,56.71,62.2,39.51,34.36,41.09,24.28,31.94,50.01,37.56,50.83,32.07,34.85,34.1,43.13,41.64,32.06,48.63,58.64
hsa-miR-214-3p,0.26,0.85,0.23,0.33,0.21,0.89,1.46,0.54,0.23,0.0,0.73,0.92,0.12,1.69,0.15,0.68,0.0,0.32,0.23,0.9,0.81,0.59,0.15
hsa-miR-214-5p,0.26,0.61,0.0,0.56,0.0,0.56,0.0,0.13,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.23,0.23,0.11,0.23,0.11,0.4,0.3,0.15
hsa-miR-215-3p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-215-5p,1.69,4.48,4.66,1.23,2.1,3.24,6.57,1.21,1.51,5.17,1.58,6.87,1.17,2.11,2.77,0.91,0.91,1.71,1.85,1.81,3.83,0.74,3.13
hsa-miR-216a-3p,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.23,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.11,0.0,0.0,0.0
hsa-miR-216a-5p,4.02,2.54,3.41,2.57,0.63,2.9,2.48,1.21,3.26,2.78,0.61,2.63,3.04,2.39,3.79,3.31,3.29,16.46,2.31,2.26,2.82,1.64,2.24
hsa-miR-216b-3p,0.26,0.0,0.0,0.0,0.11,0.22,0.15,0.0,0.23,0.0,0.0,0.23,0.12,0.14,0.0,0.11,0.23,0.86,0.0,0.0,0.0,0.15,0.15
hsa-miR-216b-5p,10.77,11.75,10.45,8.04,6.2,6.7,9.64,6.32,5.36,9.01,4.61,5.95,8.78,8.16,6.7,6.73,8.4,26.51,9.25,6.66,5.64,6.84,9.55
hsa-miR-217-5p,7.27,13.08,9.31,5.36,8.31,7.03,7.88,5.78,10.6,8.88,7.53,8.13,10.54,9.85,10.63,7.76,10.44,73.98,8.79,7.79,7.06,7.88,10.15
hsa-miR-218-1-3p,0.39,0.36,0.45,0.78,0.0,0.67,0.58,0.54,0.35,0.4,0.36,0.34,0.7,0.7,0.58,0.46,0.23,0.32,0.46,0.45,0.0,0.45,0.6
hsa-miR-218-2-3p,3.24,3.27,1.59,2.12,2.42,1.34,2.77,2.02,1.75,1.33,1.94,2.75,2.46,1.41,1.75,0.8,1.02,2.03,1.39,2.03,2.02,1.49,1.64
hsa-miR-218-5p,785.04,953.05,907.17,602.13,1245.2,1005.76,1261.0,581.26,847.87,993.58,794.03,1041.93,993.2,891.14,851.02,915.34,1073.9,1037.47,1151.18,572.95,470.95,646.18,802.88
hsa-miR-219a-1-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0
hsa-miR-219a-2-3p,2427.27,2686.45,483.96,50.67,1588.42,405.81,1688.19,1054.87,1487.27,1592.57,66.9,383.45,2132.19,1665.51,1631.69,148.24,1056.07,1267.54,1203.45,316.1,1742.48,103.06,1306.59
hsa-miR-219a-5p,156.23,192.09,116.5,129.91,74.66,79.71,101.47,54.03,3.03,105.11,84.02,92.63,106.92,99.75,72.39,65.85,74.36,60.19,10.87,91.18,117.74,83.28,101.01
hsa-miR-219b-3p,0.13,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.12,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.4,0.0,0.3
hsa-miR-219b-5p,0.0,0.0,0.11,0.33,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.11,0.0,0.23,0.0,0.2,0.0,0.0
hsa-miR-22-3p,23510.99,24977.48,16610.06,25578.75,15698.08,13628.01,17834.99,16664.21,13973.93,12692.15,11854.41,13104.23,16132.5,14253.8,19914.55,12897.43,12688.77,10732.11,11410.21,21504.55,23454.19,14802.75,17499.73
hsa-miR-22-5p,113.67,120.99,83.12,98.55,112.3,81.5,126.29,84.8,76.29,83.64,75.64,98.81,94.04,95.39,121.32,82.51,87.53,77.19,89.38,79.33,94.35,87.15,102.95
hsa-miR-221-3p,1456.28,1369.08,1181.74,1153.81,1303.98,1200.79,1355.9,1146.66,1126.23,1253.24,1072.91,1173.03,1658.37,1381.74,1294.66,1264.55,1398.03,1275.99,1503.85,1186.97,1156.21,1199.57,1439.09
hsa-miR-221-5p,19.07,16.59,19.08,13.73,14.72,18.42,21.17,12.23,14.44,20.01,12.75,17.4,22.37,20.4,16.02,14.84,14.76,16.79,21.28,12.08,9.48,16.95,16.26
hsa-miR-222-3p,719.77,757.81,744.79,551.35,637.85,687.7,766.06,655.31,424.17,567.17,407.82,409.21,646.44,503.96,733.34,481.81,504.31,466.88,593.51,535.59,628.81,824.94,950.59
hsa-miR-222-5p,0.0,0.24,0.0,0.0,0.21,0.11,0.73,0.13,0.0,0.0,0.0,0.46,0.12,0.0,0.29,0.23,0.0,0.11,0.23,0.0,0.4,0.0,0.15
hsa-miR-223-3p,9.73,6.06,9.99,2.9,9.46,10.27,7.74,15.19,9.32,4.24,3.16,8.13,4.68,4.78,15.88,4.11,3.29,3.42,13.3,3.5,7.26,8.03,17.01
hsa-miR-223-5p,14.27,6.9,16.01,5.25,22.4,8.15,16.06,31.72,6.76,6.76,5.34,14.54,7.61,6.05,13.98,7.65,6.93,4.7,23.47,4.63,11.69,5.5,12.68
hsa-miR-224-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.15,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.12,0.0,0.0,0.0,0.3
hsa-miR-224-5p,2.21,2.91,2.16,2.01,0.74,4.47,1.17,1.21,2.21,1.33,0.61,0.69,1.76,0.84,2.33,0.8,0.45,1.92,2.2,0.79,6.85,2.83,3.13
hsa-miR-2277-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0
hsa-miR-2277-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2278,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2355-3p,0.52,0.48,0.23,0.0,0.42,0.33,0.0,0.13,0.35,0.27,0.0,0.34,0.23,0.0,0.58,0.11,0.0,0.0,0.12,0.23,0.6,0.15,0.15
hsa-miR-2355-5p,0.0,0.12,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,107.96,58.5,102.2,57.48,200.63,81.83,112.42,99.18,225.83,199.75,137.8,118.73,185.27,75.55,160.94,151.09,198.68,189.45,89.96,64.89,80.04,87.15,138.46
hsa-miR-23a-5p,0.78,0.61,0.34,1.45,0.84,0.78,0.88,0.81,0.35,0.8,0.0,0.46,0.47,0.42,0.44,0.57,0.0,0.64,0.46,0.34,0.2,0.3,0.75
hsa-miR-23b-3p,92.78,150.18,101.29,79.35,219.03,167.79,166.44,154.82,78.96,87.75,74.79,157.89,116.99,197.81,114.33,97.91,84.35,89.91,361.91,80.12,117.94,93.1,96.39
hsa-miR-23b-5p,15.57,17.2,13.85,14.73,8.1,12.73,17.96,13.31,5.36,4.37,4.98,5.27,9.49,5.21,15.73,4.91,6.13,4.28,6.82,13.09,17.74,13.24,16.56
hsa-miR-23c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-1-5p,6.23,5.45,8.06,0.89,5.47,2.34,11.53,0.67,3.96,1.72,0.12,3.32,7.26,7.32,7.57,1.03,1.14,7.06,0.69,0.79,3.02,8.03,2.09
hsa-miR-24-2-5p,1.3,3.15,2.38,1.12,3.36,1.56,1.46,2.02,1.63,0.53,0.49,0.57,0.82,0.7,2.33,0.8,0.45,0.86,1.27,1.35,2.62,1.78,2.39
hsa-miR-24-3p,3645.7,4473.25,3095.77,3401.17,617.98,3071.97,5418.77,3417.67,3448.32,3946.89,3277.6,669.12,860.86,177.98,4398.27,3389.66,3610.2,3487.24,3994.34,2265.61,459.06,490.48,4555.54
hsa-miR-25-3p,288.45,273.48,275.25,218.2,325.44,304.22,379.6,252.26,185.41,280.34,448.98,209.07,288.2,227.5,1517.5,201.65,198.23,216.28,356.36,226.49,225.8,310.97,398.98
hsa-miR-25-5p,2.85,2.66,2.84,4.02,2.73,1.34,2.92,1.75,2.21,1.46,1.09,1.03,2.23,0.98,5.97,2.28,0.68,1.5,1.39,2.82,2.42,2.68,2.09
hsa-miR-2682-5p,0.0,0.24,0.0,0.11,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-1-3p,0.0,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
hsa-miR-26a-2-3p,0.52,0.12,0.57,0.33,0.63,0.11,0.44,0.67,0.23,0.27,0.24,0.0,0.47,0.42,0.87,0.46,1.14,0.43,0.58,0.34,0.0,0.45,0.3
hsa-miR-26a-5p,1089.97,1040.62,1076.81,677.24,1108.82,1225.46,1567.16,1022.21,752.6,852.15,614.09,682.4,871.64,732.87,1369.67,603.23,726.83,691.08,956.35,765.13,854.4,1409.71,1561.44
hsa-miR-26b-3p,1.43,0.48,0.57,0.56,0.32,0.33,0.88,0.27,0.12,0.66,0.12,0.57,0.59,0.84,1.02,0.23,1.25,0.86,0.46,0.23,0.6,0.59,1.04
hsa-miR-26b-5p,28.16,30.16,34.86,17.08,30.28,31.15,56.94,23.65,28.65,42.28,35.21,36.18,36.89,29.83,54.47,24.19,29.4,34.75,44.17,16.81,20.56,42.68,49.54
hsa-miR-27a-3p,231.62,206.38,278.2,142.52,300.0,183.87,454.93,288.41,207.78,302.47,231.77,286.7,232.23,238.47,347.52,248.32,275.31,295.5,443.31,140.5,194.15,234.38,289.46
hsa-miR-27a-5p,1.04,1.33,1.48,0.45,0.53,0.78,0.29,0.27,0.23,0.13,0.36,0.11,0.12,0.14,1.02,0.11,0.0,0.64,0.69,0.56,0.4,0.45,1.19
hsa-miR-27b-3p,3990.86,4457.87,4195.86,2401.27,4602.59,3752.08,6695.97,2709.01,3496.42,5107.35,3448.3,4951.1,4915.39,4181.93,4365.5,4078.59,5455.88,4362.64,5783.44,2544.69,2383.38,3589.63,4341.14
hsa-miR-27b-5p,1.43,1.09,1.48,2.68,1.05,0.89,1.75,0.54,1.75,0.8,1.09,1.37,0.82,1.41,0.73,0.8,0.91,1.39,0.93,1.13,1.01,0.74,1.64
hsa-miR-28-3p,11.29,10.9,8.86,7.03,10.3,11.61,7.74,10.62,14.09,7.16,4.98,7.1,9.37,5.63,12.82,5.25,4.88,5.67,7.63,8.92,11.89,5.8,14.62
hsa-miR-28-5p,12.33,12.72,12.72,8.26,7.99,11.72,12.41,7.26,7.57,10.74,5.46,7.56,10.07,7.88,14.27,8.33,9.54,7.16,9.37,9.14,6.25,8.63,12.53
hsa-miR-296-3p,0.0,0.12,0.23,0.0,0.0,0.11,0.15,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
hsa-miR-296-5p,0.0,0.0,0.11,0.0,0.0,0.22,0.0,0.13,0.0,0.0,0.12,0.11,0.12,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15
hsa-miR-299-3p,0.13,0.12,0.11,0.33,0.11,0.33,0.29,0.54,0.23,0.13,0.0,0.11,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.45,0.2,0.15,0.15
hsa-miR-299-5p,0.13,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.35,0.4,0.24,0.11,0.12,0.28,0.15,0.0,0.11,0.32,0.35,0.11,0.2,0.59,0.15
hsa-miR-29a-3p,1616.02,1698.15,1419.51,1207.94,1092.52,1294.57,1873.17,1240.07,1138.57,1307.19,979.42,1212.64,1399.33,1183.64,1593.68,1025.7,1202.3,1100.01,1380.24,1142.28,1055.2,1241.95,1462.07
hsa-miR-29a-5p,0.13,0.24,0.0,0.11,0.32,0.45,0.58,0.13,0.12,0.27,0.0,0.23,0.0,0.0,0.29,0.0,0.11,0.0,0.23,0.9,0.0,0.3,0.0
hsa-miR-29b-1-5p,0.0,0.0,0.57,0.0,0.21,0.22,0.15,0.13,0.0,0.13,0.0,0.23,0.0,0.0,0.15,0.0,0.11,0.0,0.12,0.11,0.0,0.3,0.15
hsa-miR-29b-2-5p,3.89,1.57,2.04,1.9,0.42,2.12,2.04,1.34,1.16,1.86,1.94,1.6,2.93,1.83,1.46,1.14,1.14,0.96,1.85,1.92,2.82,1.78,2.24
hsa-miR-29b-3p,17.13,13.56,15.22,7.37,15.35,15.96,26.57,10.08,16.19,18.29,15.78,18.55,13.82,18.29,20.1,12.9,19.64,18.17,25.32,6.77,10.48,15.47,18.05
hsa-miR-29c-3p,80.19,81.27,66.54,66.63,55.31,55.71,82.34,56.98,58.47,63.09,57.79,66.75,67.1,63.73,80.25,51.24,63.92,61.37,62.09,60.26,49.19,61.12,62.96
hsa-miR-29c-5p,4.67,5.69,5.0,4.8,4.94,5.36,5.69,4.03,4.31,5.7,4.13,4.81,7.26,5.63,5.53,6.62,4.77,5.02,4.97,6.09,4.03,5.21,6.42
hsa-miR-301a-3p,0.13,0.48,0.45,0.33,0.21,0.11,0.15,0.4,0.47,0.4,0.36,0.34,0.35,0.14,0.15,0.23,0.34,0.21,0.12,0.11,0.2,0.3,0.15
hsa-miR-301a-5p,2.6,3.51,3.29,2.79,2.84,4.02,4.38,2.69,3.84,3.98,3.52,3.09,4.57,3.38,3.5,4.11,4.2,6.09,5.09,2.14,2.22,2.97,4.48
hsa-miR-301b-3p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.15
hsa-miR-301b-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-302a-5p,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-302c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
hsa-miR-302d-3p,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
hsa-miR-3059-3p,0.52,0.24,0.23,0.33,0.21,0.33,0.29,0.13,0.47,0.0,0.12,0.46,0.23,0.7,0.15,0.23,0.0,0.32,0.23,0.45,0.0,0.0,0.0
hsa-miR-3059-5p,0.91,0.61,0.45,0.45,0.53,0.78,1.02,0.13,0.23,0.0,0.12,0.34,0.12,0.98,0.15,0.57,0.11,0.32,0.58,0.23,1.81,0.89,0.9
hsa-miR-3064-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-3064-5p,1.3,1.45,0.57,0.78,1.26,1.12,1.02,0.81,1.28,1.19,0.85,1.14,1.05,0.7,1.31,1.6,1.48,0.75,0.81,1.69,0.6,1.19,0.75
hsa-miR-3065-5p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3074-3p,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-3074-5p,5.97,6.78,4.66,0.56,4.31,0.33,2.63,0.4,4.43,0.0,0.24,0.69,0.35,1.27,0.29,0.11,0.11,0.0,0.58,4.4,1.21,0.74,4.77
hsa-miR-3085-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.11,0.11,0.21,0.12,0.0,0.0,0.0,0.15
hsa-miR-3085-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
