miRNA,GSM1410425,GSM1410426,GSM1410427,GSM1410428,GSM1410429,GSM1410430,GSM1410431,GSM1410432,GSM1410433,GSM1410434,GSM1410435,GSM1410436,GSM1410437,GSM1410438,GSM1410439,GSM1410440,GSM1410441,GSM1410442,GSM1410443,GSM1410444,GSM1410445,GSM1410446,GSM1410447
hsa-miR-1185-1-3p,0.26,0.48,0.0,0.45,0.11,0.22,0.0,0.0,0.7,0.27,0.12,0.34,0.12,0.0,0.29,0.0,0.0,0.0,0.12,0.45,0.0,0.0,0.3
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
hsa-miR-1197,12.33,13.81,11.92,7.03,17.03,11.95,20.59,9.81,11.88,17.23,12.75,16.6,15.22,16.18,14.13,13.35,19.3,19.67,20.47,7.56,7.26,14.57,15.37
hsa-miR-1203,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-122-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-122-5p,12.07,4.97,402.43,0.78,34.7,4719.77,206.74,54.7,786.38,1633.13,75.15,1698.57,943.89,145.62,73.41,221.39,133.4,110.55,120.71,1042.97,2.62,233.19,480.74
hsa-miR-1224-3p,1.69,0.73,0.91,0.56,0.32,0.45,0.58,0.4,0.35,1.06,0.0,0.23,0.47,0.14,1.02,0.34,0.0,0.32,0.23,1.24,0.0,1.34,0.3
hsa-miR-1224-5p,3.11,1.82,1.82,4.02,1.26,1.79,1.9,1.75,1.05,0.66,0.97,0.92,1.64,0.98,2.18,0.57,0.91,0.75,1.27,1.24,1.61,1.34,1.34
hsa-miR-1225-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,1.09,0.11,0.67,0.95,0.11,0.58,0.0,0.35,0.4,0.49,0.0,0.35,0.84,1.31,0.0,0.0,0.11,0.46,0.45,0.6,0.89,0.15
hsa-miR-1233-5p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0
hsa-miR-124-3p,5597.4,5741.68,4589.89,4651.08,4798.8,4442.45,5398.03,4254.69,3539.75,4121.32,3366.35,3812.65,5236.38,4459.38,4915.76,3814.52,4435.8,3484.14,4835.76,4519.93,4773.21,4035.19,5472.41
hsa-miR-124-5p,32.44,29.67,23.16,34.26,21.03,21.55,28.18,18.28,19.57,20.94,19.3,18.89,27.17,20.82,27.09,18.6,20.21,14.11,19.19,29.91,33.67,21.71,23.57
hsa-miR-1244,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0
hsa-miR-1246,15.7,12.72,11.58,13.62,65.09,28.36,15.62,11.96,46.24,6.63,4.98,10.19,11.24,14.91,20.25,11.41,9.2,61.9,7.4,16.02,73.79,10.56,18.8
hsa-miR-1247-5p,0.13,0.73,1.25,0.89,0.32,0.45,0.44,0.67,0.23,0.4,0.36,0.46,0.7,1.27,0.15,0.46,0.23,0.11,0.35,0.56,1.01,0.15,1.04
hsa-miR-1248,0.13,0.12,0.0,0.22,0.11,0.0,0.44,0.13,0.12,0.27,0.0,0.0,0.0,0.28,0.29,0.34,0.11,0.21,0.23,0.0,0.2,0.3,0.3
hsa-miR-1249-3p,10.64,4.0,4.77,5.92,6.2,6.14,7.88,5.38,3.84,6.1,3.76,6.64,7.61,8.86,8.16,5.59,6.93,8.66,7.63,8.13,5.85,6.54,8.5
hsa-miR-1249-5p,0.26,0.12,0.0,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.11,0.2,0.0,0.0
hsa-miR-1250-5p,0.0,0.24,0.0,0.0,0.11,0.11,0.0,0.0,0.35,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.32,0.12,0.0,0.0,0.0,0.15
hsa-miR-1251-3p,0.0,0.12,0.11,0.67,0.42,0.56,0.29,0.67,0.12,0.13,0.12,0.0,0.35,0.7,1.02,0.11,0.11,0.21,0.23,0.23,0.4,0.45,0.3
hsa-miR-1251-5p,6.36,8.24,3.52,7.48,4.94,3.24,5.26,2.96,4.66,3.58,3.64,4.81,4.57,3.8,4.22,4.56,3.07,4.81,2.89,5.76,5.64,4.46,4.03
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.21,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.2,0.15,0.15
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.0,0.29,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,243.56,258.82,191.34,244.76,280.33,210.66,236.37,211.27,140.57,128.44,108.66,107.17,158.56,142.94,220.66,140.71,140.21,118.03,148.58,223.11,292.13,198.99,251.41
hsa-miR-125a-5p,549.4,486.28,539.71,326.12,180.76,466.43,631.89,358.7,254.36,370.74,228.13,262.31,459.53,325.7,586.81,283.7,264.42,322.34,383.77,365.3,368.54,549.67,658.0
hsa-miR-125b-1-3p,96.28,102.58,94.25,89.96,105.57,89.53,107.46,83.86,67.43,66.41,55.12,59.88,88.18,69.78,99.91,68.59,76.29,61.58,82.21,85.77,96.37,95.18,115.63
hsa-miR-125b-2-3p,522.67,526.97,409.58,481.93,435.75,351.22,366.02,350.1,269.85,274.11,227.64,289.11,413.39,325.7,381.16,286.21,273.73,240.34,264.09,441.81,474.98,339.97,333.47
hsa-miR-125b-5p,5595.33,4995.5,4263.31,3864.35,2209.23,3732.09,5073.33,4348.36,1701.45,2128.33,1538.39,1797.27,3198.82,2344.21,5130.44,1963.18,1992.14,1790.66,2572.59,4343.66,4603.26,4951.3,6300.36
hsa-miR-126-3p,381.88,400.65,420.82,213.06,398.0,460.29,386.02,256.7,378.16,476.25,302.31,310.63,403.2,303.61,422.23,281.76,293.71,326.29,448.17,234.05,265.92,374.18,508.64
hsa-miR-126-5p,10.12,8.96,6.59,2.57,7.78,11.72,9.49,5.24,9.2,11.4,7.04,7.79,5.62,4.5,14.71,2.97,3.75,5.35,12.03,3.95,5.04,9.07,12.68
hsa-miR-1260b,0.78,0.48,0.34,0.22,0.21,0.33,0.0,0.13,0.0,0.0,0.12,0.23,0.47,0.28,0.15,0.0,0.34,0.11,0.12,0.0,0.2,0.3,0.15
hsa-miR-1261,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
