miRNA,DRR127191,DRR127193,DRR127195
hsa-miR-324-3p,0.0,65.91,0.0
hsa-miR-324-5p,0.0,23.54,0.0
hsa-miR-326,0.0,9.42,0.0
hsa-miR-328-3p,0.0,28.25,0.0
hsa-miR-330-3p,0.0,9.42,0.0
hsa-miR-330-5p,0.0,42.37,0.0
hsa-miR-331-5p,0.0,18.83,0.0
hsa-miR-338-3p,0.0,4.71,0.0
hsa-miR-339-3p,16.76,51.79,0.61
hsa-miR-339-5p,0.0,23.54,2.15
hsa-miR-33a-3p,0.0,4.71,0.0
hsa-miR-33a-5p,0.0,18.83,0.0
hsa-miR-33b-3p,0.0,9.42,0.0
hsa-miR-33b-5p,0.0,37.67,0.0
hsa-miR-340-5p,16.76,9.42,0.0
hsa-miR-342-3p,0.0,18.83,5.83
hsa-miR-345-5p,11.18,65.91,0.31
hsa-miR-361-3p,0.0,47.08,0.0
hsa-miR-361-5p,0.0,42.37,0.0
hsa-miR-3615,0.0,37.67,0.0
hsa-miR-362-3p,0.0,4.71,0.0
hsa-miR-365a-3p,0.0,9.42,0.0
hsa-miR-365a-5p,0.0,4.71,7.36
hsa-miR-365b-3p,0.0,9.42,0.0
hsa-miR-3661,16.76,0.0,0.0
hsa-miR-3665,5.59,4.71,29.43
hsa-miR-3681-5p,0.0,9.42,0.0
hsa-miR-369-3p,5.59,70.62,0.0
hsa-miR-3691-5p,39.12,18.83,0.31
hsa-miR-374a-3p,0.0,4.71,0.0
hsa-miR-376b-3p,0.0,4.71,0.0
hsa-miR-378a-3p,2335.73,5503.82,256.31
hsa-miR-378a-5p,0.0,4.71,0.0
hsa-miR-378c,61.47,762.72,0.0
hsa-miR-378d,5.59,155.37,4.91
hsa-miR-378e,55.88,136.54,0.0
hsa-miR-378i,0.0,4.71,0.0
hsa-miR-379-5p,0.0,4.71,0.0
hsa-miR-381-3p,11.18,70.62,0.0
hsa-miR-383-5p,0.0,4.71,0.0
hsa-miR-3934-5p,0.0,4.71,0.0
hsa-miR-3940-3p,0.0,4.71,0.0
hsa-miR-3944-3p,0.0,4.71,0.0
hsa-miR-3960,0.0,14.12,13.8
hsa-miR-409-3p,22.35,113.0,4.6
hsa-miR-410-3p,39.12,136.54,0.0
hsa-miR-411-3p,0.0,4.71,0.0
hsa-miR-411-5p,5.59,428.44,0.0
hsa-miR-412-5p,44.7,4.71,3.07
hsa-miR-421,0.0,75.33,0.0
hsa-miR-423-3p,324.1,946.34,22.69
hsa-miR-423-5p,11.18,362.53,234.54
hsa-miR-424-3p,0.0,4.71,0.0
hsa-miR-425-3p,11.18,9.42,0.0
hsa-miR-425-5p,16.76,564.98,0.0
hsa-miR-432-5p,139.7,9.42,0.0
hsa-miR-4326,0.0,9.42,0.0
hsa-miR-433-3p,0.0,4.71,0.0
hsa-miR-4421,0.0,18.83,0.0
hsa-miR-4426,0.0,4.71,0.0
hsa-miR-4466,0.0,4.71,0.0
hsa-miR-4474-3p,16.76,0.0,0.0
hsa-miR-4476,5.59,0.0,0.0
hsa-miR-4482-3p,0.0,14.12,0.0
hsa-miR-4485-3p,0.0,14.12,0.0
hsa-miR-4485-5p,0.0,9.42,0.0
hsa-miR-4488,0.0,0.0,0.31
hsa-miR-4491,5.59,0.0,0.0
hsa-miR-4492,0.0,14.12,11.04
hsa-miR-449b-5p,0.0,4.71,0.0
hsa-miR-4508,0.0,0.0,0.92
hsa-miR-450a-5p,0.0,9.42,0.0
hsa-miR-450b-5p,0.0,4.71,0.0
hsa-miR-4513,0.0,4.71,0.0
hsa-miR-4516,16.76,0.0,19.62
hsa-miR-451a,11.18,338.99,0.31
hsa-miR-4538,0.0,4.71,0.0
hsa-miR-454-3p,0.0,4.71,0.0
hsa-miR-454-5p,16.76,4.71,0.0
hsa-miR-455-5p,0.0,23.54,0.0
hsa-miR-4677-3p,22.35,9.42,5.21
hsa-miR-4687-3p,0.0,4.71,0.0
hsa-miR-4703-3p,0.0,4.71,0.0
hsa-miR-4734,0.0,4.71,0.0
hsa-miR-4745-3p,0.0,4.71,0.0
hsa-miR-4746-5p,0.0,4.71,0.0
hsa-miR-4762-5p,0.0,4.71,0.0
hsa-miR-4767,0.0,4.71,0.0
hsa-miR-4800-3p,0.0,0.0,0.31
hsa-miR-484,5.59,155.37,0.0
hsa-miR-486-3p,0.0,56.5,0.0
hsa-miR-486-5p,189.99,141.24,858.14
hsa-miR-487b-3p,0.0,14.12,0.0
hsa-miR-493-3p,0.0,9.42,0.0
hsa-miR-493-5p,0.0,51.79,0.0
hsa-miR-494-3p,27.94,23.54,0.0
hsa-miR-497-5p,0.0,9.42,0.0
hsa-miR-5001-3p,0.0,14.12,0.0
hsa-miR-500a-3p,0.0,4.71,0.0
hsa-miR-500a-5p,0.0,4.71,0.0
hsa-miR-5010-5p,0.0,0.0,1.23
hsa-miR-502-3p,0.0,18.83,0.0
hsa-miR-505-3p,0.0,37.67,0.0
hsa-miR-5091,0.0,0.0,0.31
hsa-miR-5094,0.0,4.71,0.0
hsa-miR-532-3p,0.0,4.71,0.0
hsa-miR-532-5p,5.59,122.41,1.23
hsa-miR-541-5p,5.59,0.0,0.0
hsa-miR-543,0.0,4.71,0.0
hsa-miR-548bc,0.0,4.71,0.0
hsa-miR-548c-5p,0.0,4.71,0.0
hsa-miR-548o-3p,0.0,9.42,0.0
hsa-miR-5696,0.0,4.71,0.0
hsa-miR-570-3p,0.0,4.71,0.0
hsa-miR-574-3p,0.0,4.71,0.0
hsa-miR-574-5p,0.0,4.71,2.45
hsa-miR-576-5p,0.0,4.71,0.0
hsa-miR-577,284.98,61.21,1.23
hsa-miR-582-3p,16.76,4.71,0.31
hsa-miR-582-5p,0.0,4.71,0.0
hsa-miR-589-3p,0.0,9.42,0.0
hsa-miR-589-5p,22.35,70.62,0.0
hsa-miR-598-3p,39.12,37.67,0.0
