miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-miR-203a-3p,0.0,0.93,0.0,8.84,0.0,0.0,1.51,0.0,0.0,2.0,0.48,0.0,0.0,0.0,0.0,18.31,11.06,0.0,0.0,3.98,0.96,12.7,4.94,0.0
hsa-miR-204-5p,0.0,7.41,0.0,1.34,0.0,0.0,1.03,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,1.67,3.35,0.0,0.0,0.44,1.59,0.79,1.93,0.0
hsa-miR-205-5p,0.0,0.0,0.0,0.55,0.0,0.0,1.51,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.06,0.41,0.0,0.0,0.0,0.34,0.67,0.59,0.0
hsa-miR-2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-206,8.93,3.59,2.87,1.52,16.12,7.69,0.55,4.88,4.66,0.48,31.4,5.39,6.12,23.61,7.47,1.25,2.59,3.07,0.92,1.81,1.81,1.09,3.43,11.47
hsa-miR-208b-3p,0.0,0.0,0.32,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.23,0.0,0.0,0.0
hsa-miR-20a-3p,0.0,0.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
hsa-miR-20a-5p,1.59,3682.15,6.7,1618.0,11.93,7.48,745.34,17.1,7.91,1389.71,35.26,9.63,2.13,7.87,7.47,1933.38,6244.67,0.61,0.92,988.85,3159.07,2005.37,7681.26,2.52
hsa-miR-20b-5p,0.0,1.27,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.3,0.35,0.0,0.0,0.0,0.0,0.42,0.42,0.0
hsa-miR-21-3p,0.0,0.06,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
