miRNA,GSM4044943,GSM4044944,GSM4044945,GSM4044946,GSM4044947,GSM4044948,GSM4044949,GSM4044950,GSM4044951,GSM4044952,GSM4044953,GSM4044954,GSM4044955,GSM4044956,GSM4044957,GSM4044958,GSM4044959,GSM4044960,GSM4044961,GSM4044962,GSM4044963,GSM4044964,GSM4044965,GSM4044966,GSM4044967,GSM4044968,GSM4044969,GSM4044970,GSM4044971,GSM4044972,GSM4044973,GSM4044974,GSM4044975,GSM4044976,GSM4044977,GSM4044978,GSM4044979,GSM4044980,GSM4044981,GSM4044982,GSM4044983,GSM4044984,GSM4044985,GSM4044986,GSM4044987,GSM4044988,GSM4044989,GSM4044990
hsa-miR-106b-3p,39.71,104.09,172.48,0.0,12.58,28.73,133.64,85.53,30.57,32.38,95.55,15.93,39.92,61.64,15.89,89.51,30.5,63.63,22.94,107.15,18.36,30.85,33.62,25.71,35.58,11.59,58.95,41.72,51.0,82.27,0.0,156.24,15.86,72.57,406.12,30.21,27.83,34.96,50.31,97.79,28.15,70.05,0.0,42.09,51.49,15.62,152.82,0.0
hsa-miR-106b-5p,0.0,26.02,0.0,32.02,37.75,0.0,18.43,12.22,30.57,0.0,0.0,0.0,0.0,0.0,0.0,12.79,0.0,0.0,0.0,0.0,0.0,0.0,16.81,0.0,0.0,0.0,44.21,0.0,0.0,0.0,27.1,0.0,15.86,0.0,140.58,5.04,0.0,26.22,0.0,4.66,0.0,30.02,0.0,8.42,0.0,0.0,0.0,0.0
hsa-miR-107,0.0,0.0,0.0,0.0,12.58,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45,0.0,0.0,0.0,0.0,0.0,0.0,17.79,0.0,0.0,20.86,5.67,0.0,27.1,0.0,0.0,10.37,0.0,0.0,0.0,0.0,33.54,0.0,0.0,50.03,0.0,0.0,17.16,0.0,0.0,0.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,158.83,52.05,238.82,224.16,113.26,86.18,158.98,158.85,213.99,242.81,95.55,111.49,226.19,30.82,47.68,179.03,45.74,305.44,573.57,122.46,312.17,51.42,193.31,143.95,142.32,52.15,206.32,250.3,170.01,157.69,243.88,312.48,206.17,145.13,273.35,105.74,64.93,96.14,117.39,172.3,168.9,370.24,176.44,58.93,446.23,109.34,203.76,180.63
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,0.0,0.0,0.0,0.0,11.33,0.0,0.0,0.0,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,675.03,182.16,464.38,464.33,314.62,186.73,317.97,366.57,183.42,250.91,107.5,143.34,319.32,61.64,74.17,549.87,106.73,470.89,757.11,275.53,648.83,41.13,462.27,339.31,160.11,57.95,147.37,417.16,340.02,137.12,135.49,208.32,396.49,248.79,593.56,161.13,148.41,218.5,100.62,279.4,239.28,670.44,588.13,168.37,120.14,140.58,407.52,180.63
hsa-miR-11400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.86,0.0,15.62,0.0,0.0,17.48,0.0,55.88,0.0,0.0,0.0,0.0,0.0,15.62,0.0,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.0,0.0,11.52,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.16,0.0,0.0,0.0
hsa-miR-1180-3p,39.71,52.05,13.27,16.01,12.58,0.0,57.6,24.44,61.14,16.19,0.0,15.93,0.0,0.0,0.0,12.79,30.5,50.91,0.0,15.31,6.12,0.0,25.21,41.13,17.79,5.79,44.21,0.0,45.34,6.86,0.0,52.08,31.72,20.73,187.44,35.25,0.0,43.7,16.77,13.97,0.0,90.06,58.81,8.42,0.0,0.0,0.0,0.0
hsa-miR-1183,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,8.09,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
