miRNA,GSM3939089,GSM3939090,GSM3939091,GSM3939092,GSM3939093,GSM3939094,GSM3939095,GSM3939096,GSM3939097,GSM3939098,GSM3939099,GSM3939100,GSM3939101,GSM3939102,GSM3939103,GSM3939104,GSM3939105,GSM3939106
hsa-miR-1185-5p,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-12129,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12133,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
hsa-miR-12136,48.72,25.25,8.01,2.66,0.0,6.1,2.72,3.11,5.32,2.98,4.93,1.98,0.76,6.13,7.18,4.98,3.02,21.2
hsa-miR-122-5p,27.05,191.48,7.34,0.53,10.47,21.22,0.0,70.55,23.05,4.33,2.46,5.69,0.0,1.84,0.41,17.3,58.19,25.6
hsa-miR-1226-3p,0.29,0.64,0.0,0.0,0.81,0.58,0.0,0.78,0.25,0.54,0.62,0.74,0.0,0.31,0.41,0.26,0.0,0.38
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
hsa-miR-1228-3p,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.19
hsa-miR-1229-3p,0.15,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.27,0.31,0.25,0.0,0.31,0.0,0.0,0.0,0.0
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0
hsa-miR-1231,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1233-5p,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.31,0.28,0.0,0.55,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
hsa-miR-1244,0.0,0.0,0.0,0.53,0.4,0.87,0.91,0.0,0.51,0.0,0.0,0.0,0.0,0.31,0.97,0.0,0.27,1.15
hsa-miR-1246,433.51,1126.0,14.02,0.53,56.4,17.15,0.0,35.28,33.94,21.66,24.02,14.35,0.0,37.69,19.61,26.73,12.63,92.83
hsa-miR-1247-5p,0.73,1.28,0.67,0.0,0.81,0.0,0.0,0.78,0.25,0.81,0.31,1.48,0.0,0.0,0.97,0.52,0.0,4.01
hsa-miR-1248,2.91,1.6,0.0,0.0,2.01,0.0,0.0,0.26,0.51,0.54,0.62,0.49,0.0,0.31,0.55,0.0,0.27,0.57
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.27,0.0,0.25,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-1249-5p,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0
hsa-miR-1255b-2-3p,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.58,1.12,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.19
hsa-miR-1258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-125a-3p,14.83,24.45,0.0,0.0,1.61,0.87,0.0,3.37,3.29,1.08,1.85,2.97,0.0,2.76,7.6,0.26,1.92,1.34
hsa-miR-125a-5p,320.08,418.92,81.46,27.65,545.08,288.01,11.79,507.36,526.1,365.17,481.22,1203.5,1.53,360.01,1424.81,155.4,569.01,527.59
hsa-miR-125b-1-3p,6.98,20.62,0.0,0.0,2.42,1.16,0.0,2.85,1.77,0.81,1.23,2.23,0.0,0.92,5.39,1.57,3.02,2.87
hsa-miR-125b-5p,419.7,526.96,88.8,2.66,509.63,316.2,4.53,461.71,404.27,299.66,343.91,491.4,0.0,282.8,1498.71,215.41,458.94,263.03
hsa-miR-126-3p,417.95,872.03,74.78,0.0,540.65,415.59,1.81,665.06,656.3,509.72,402.41,428.3,0.0,308.54,260.38,165.35,460.86,98.56
hsa-miR-126-5p,165.06,279.06,35.39,0.0,193.38,196.75,0.0,252.12,213.53,151.05,115.46,124.71,0.0,146.76,58.01,83.07,144.38,30.94
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1260b,0.73,0.48,0.0,0.0,0.81,0.29,0.0,1.04,1.52,0.81,1.85,2.47,0.0,0.31,3.45,0.26,1.65,3.25
hsa-miR-1262,3.34,3.84,0.67,0.0,0.81,0.29,0.0,0.26,0.0,0.54,0.31,0.25,0.0,0.92,2.35,0.26,0.0,0.0
hsa-miR-1266-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-1266-5p,0.73,1.28,0.0,0.0,0.0,0.29,0.0,0.78,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.73,0.8,0.0,0.0,0.0,0.87,0.0,1.04,0.51,0.0,0.0,0.25,0.0,0.31,1.11,0.0,0.27,0.19
hsa-miR-1268b,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.27,0.92,0.0,0.0,0.61,1.52,0.0,0.82,0.57
hsa-miR-1269a,0.0,0.16,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.19
hsa-miR-127-3p,5.96,14.22,0.0,1.6,2.01,1.74,0.91,3.37,2.53,2.17,0.62,1.24,0.0,2.14,0.14,2.1,3.84,0.38
hsa-miR-127-5p,2.33,7.67,0.0,0.0,0.4,0.58,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.61,0.0,0.52,0.27,0.19
hsa-miR-1271-5p,1.6,1.12,0.0,0.0,0.4,0.87,0.0,0.0,0.51,1.35,0.31,0.49,0.0,0.61,0.41,0.26,0.0,0.57
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-1273h-5p,0.29,0.48,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.54,0.0,0.0,0.0,0.0,0.28,0.52,0.0,0.19
hsa-miR-1275,29.09,23.5,0.67,0.0,5.64,6.39,0.0,7.52,3.29,4.6,4.93,3.22,0.0,3.68,2.35,3.41,5.49,3.25
hsa-miR-1276,0.73,1.12,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69,0.0,0.27,0.19
hsa-miR-1277-3p,0.0,0.0,0.0,0.0,0.4,0.29,0.0,0.0,1.01,0.27,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,1.12,0.0,0.0,0.0,0.29,0.0,0.78,0.51,0.0,0.0,0.0,0.0,0.0,1.66,0.26,0.55,0.38
hsa-miR-128-3p,251.15,486.68,23.37,0.0,91.45,65.68,0.0,108.68,109.17,62.8,82.82,74.23,0.0,98.35,231.92,57.13,58.47,58.45
hsa-miR-1284,0.15,0.48,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.25,0.0,0.0,0.28,0.0,0.0,0.0
