miRNA,SRR20232393,SRR20232394,SRR20232395,SRR20232396,SRR20232397,SRR20232398,SRR20232399,SRR20232400,SRR20232401,SRR20232402,SRR20232403,SRR20232404,SRR20232405,SRR20232406,SRR20232407,SRR20232408,SRR20232409,SRR20232410,SRR20232411,SRR20232412,SRR20232413,SRR20232414,SRR20232415,SRR20232416,SRR20232417,SRR20232418,SRR20232419,SRR20232420,SRR20232421,SRR20232422,SRR20232423,SRR20232424,SRR20232425,SRR20232426,SRR20232427,SRR20232428,SRR20232429,SRR20232430,SRR20232431,SRR20232432
hsa-miR-224-5p,0.0,0.0,0.0,1.02,1.15,0.0,1.17,3.29,1.21,0.0,1.14,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.86,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,8.26,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2355-3p,7.66,0.0,0.0,10.68,0.0,0.0,9.35,0.0,0.0,0.0,5.12,7.27,0.0,0.0,0.0,0.0,8.75,5.76,0.0,0.72,0.0,0.0,0.0,0.0,5.77,0.94,0.0,6.31,0.0,4.13,20.71,6.33,2.39,0.0,0.0,0.0,0.0,1.66,0.0,6.37
hsa-miR-23a-3p,765.9,1007.21,440.54,1367.48,3774.1,796.12,863.71,1981.38,924.29,379.08,495.48,629.8,460.5,182.87,237.95,346.74,1110.14,441.14,227.07,742.19,233.28,450.84,2045.4,292.35,1950.55,479.38,2203.19,1040.83,269.47,545.11,2573.67,1607.67,774.61,150.17,140.75,554.9,466.46,1396.57,614.71,780.88
hsa-miR-23b-3p,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.48,9.63,0.48,0.0,17.12,4.21,2.43,0.0,5.1,21.65,0.8,0.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-3p,0.0,0.0,3.87,0.0,6.87,0.0,2.34,0.0,0.0,0.0,0.57,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,3.62,0.0,10.06,10.17,0.57,9.62,0.47,0.0,8.42,0.0,1.55,12.91,1.0,0.4,0.0,0.0,0.58,0.0,50.56,0.0,0.0
hsa-miR-25-3p,23.74,5.54,17.14,19.83,28.63,7.92,15.19,24.64,3.62,14.69,7.4,41.18,26.41,0.76,33.78,3.61,20.72,2.66,15.06,28.25,3.87,9.5,88.15,2.83,60.13,17.42,26.1,5.89,3.48,29.94,23.12,58.96,55.3,5.22,1.89,5.21,8.38,25.69,18.67,25.5
hsa-miR-26a-5p,0.0,6.65,9.4,14.23,0.0,6.79,0.0,27.93,1.21,1.47,20.48,15.14,13.2,0.76,7.83,4.21,7.37,1.77,3.48,15.94,5.16,2.79,31.97,10.2,31.27,10.36,11.55,24.83,6.26,7.74,34.22,30.31,5.97,1.74,7.55,21.41,2.4,99.46,0.0,3.19
