miRNA,SRR11057475,SRR11057476,SRR11057477,SRR11057478,SRR11057479,SRR11057480,SRR11057481,SRR11057482,SRR11057483,SRR11057484,SRR11057485,SRR11057486,SRR11057487,SRR11057488,SRR11057489,SRR11057490,SRR11057491,SRR11057492,SRR11057493,SRR11057494,SRR11057495,SRR11057496,SRR11057497,SRR11057498,SRR11057499,SRR11057500,SRR11057501,SRR11057502,SRR11057503,SRR11057504,SRR11057505,SRR11057506,SRR11057507,SRR11057508,SRR11057509,SRR11057510,SRR11057511,SRR11057512,SRR11057513,SRR11057514,SRR11057515,SRR11057516,SRR11057517,SRR11057518,SRR11057519,SRR11057520
hsa-miR-196a-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
hsa-miR-196a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196a-5p,0.0,0.13,0.4,0.0,0.0,0.0,0.0,0.25,1.54,0.12,0.64,1.08,0.0,0.0,0.26,0.18,0.0,0.0,0.0,0.41,0.13,0.0,0.0,0.0,0.33,2.04,0.29,0.16,0.53,0.0,0.89,1.41,0.09,0.0,0.82,0.66,0.61,0.09,0.1,0.31,0.0,0.12,0.0,0.0,0.0,0.13
hsa-miR-196b-3p,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.09,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,0.0,1.39,0.0,0.19,0.26,0.12,1.74,1.54,0.12,1.28,1.8,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.14,0.0,0.21,0.44,2.14,5.11,0.18,0.0,0.72,0.89,0.12,0.0,0.0,0.51,0.12,0.12,0.0,0.31,0.66,0.26
hsa-miR-197-3p,0.34,0.0,0.99,0.0,0.19,0.26,0.12,0.99,0.0,0.0,0.64,2.53,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.28,0.51,1.14,0.41,0.0,0.0,0.0,0.14,0.49,0.11,0.26,1.78,4.58,0.45,0.77,1.54,0.0,0.12,0.0,0.0,0.41,0.12,0.12,0.0,0.2,0.53,0.13
hsa-miR-1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,0.67,0.13,0.4,1.76,0.0,0.0,1.48,7.45,3.08,1.06,4.16,1.8,0.92,2.09,0.77,0.54,1.0,1.0,0.59,0.14,3.54,1.14,1.24,1.39,0.0,0.56,0.72,0.16,1.07,0.61,6.76,0.35,0.18,0.46,1.23,3.87,0.0,0.28,0.99,1.12,1.18,0.92,0.96,0.31,0.92,0.13
hsa-miR-199a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199b-3p,0.0,0.13,0.79,0.0,0.56,0.52,0.0,0.25,0.0,0.24,0.0,2.53,0.0,0.42,0.0,0.0,0.0,0.33,1.78,1.38,0.63,0.0,0.41,0.0,1.33,2.78,0.14,0.33,0.0,0.0,0.89,3.7,0.63,0.0,3.28,0.77,0.85,0.75,0.3,0.0,0.24,0.12,0.0,0.2,0.0,0.26
hsa-miR-199b-5p,0.0,0.0,0.4,0.0,0.0,0.0,0.25,2.73,0.0,0.0,0.32,1.08,0.0,0.42,0.26,0.0,0.2,0.33,1.19,0.14,1.01,0.0,0.0,1.39,0.17,0.56,0.0,0.33,0.21,0.17,1.6,0.88,0.27,0.31,1.23,1.11,0.24,0.09,0.2,0.31,0.12,0.23,0.0,0.0,0.13,0.13
hsa-miR-19a-3p,1.18,1.15,1.59,1.1,0.56,2.59,1.23,11.42,4.62,1.42,6.72,6.86,3.97,2.51,0.77,1.82,2.59,3.01,4.16,1.24,4.43,2.27,2.49,2.78,1.0,6.12,1.88,2.44,2.03,1.31,11.39,11.09,1.26,1.54,7.99,9.3,1.46,1.13,3.18,1.33,1.18,0.81,0.6,0.61,0.92,0.78
hsa-miR-19a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.35,0.0,0.0,0.0,0.11,0.0,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,6.74,4.72,9.12,4.63,4.87,8.8,6.9,41.96,15.39,4.85,35.19,26.7,6.72,6.69,2.82,4.54,4.19,6.35,9.51,6.76,13.55,4.55,9.96,6.96,4.82,25.39,7.94,7.33,8.87,9.71,58.74,81.68,6.92,8.46,32.78,29.34,6.92,4.9,9.94,8.87,5.66,5.19,6.96,4.38,10.66,4.94
hsa-miR-200a-3p,11.97,3.44,10.51,8.82,6.56,13.97,2.46,28.06,13.86,3.07,54.7,37.89,1.22,1.67,0.51,0.18,3.19,1.67,2.97,2.21,2.53,0.0,2.07,4.18,1.66,6.49,2.89,3.26,3.1,3.76,22.61,82.56,7.82,4.46,18.95,11.74,2.19,1.51,2.78,4.89,7.07,3.8,6.12,4.99,20.26,10.8
hsa-miR-200a-5p,0.17,0.0,0.0,0.22,0.37,0.52,0.0,0.99,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.17,0.19,0.29,0.0,0.0,0.09,1.07,1.58,0.27,0.0,0.82,0.33,0.12,0.09,0.0,0.2,0.24,0.23,0.12,0.1,0.53,1.17
