miRNA,SRR22806505,SRR22806506,SRR22806507,SRR22806508,SRR22806509,SRR22806510,SRR22806511,SRR22806512,SRR22806513,SRR22806514,SRR22806515,SRR22806516,SRR22806517,SRR22806518,SRR22806519,SRR22806520,SRR22806521,SRR22806522,SRR22806523,SRR22806524,SRR22806525,SRR22806526,SRR22806527,SRR22806528
hsa-miR-423-3p,265.62,265.49,377.28,820.98,144.29,94.4,228.59,192.34,121.62,210.23,437.59,37.31,156.96,987.73,460.91,140.27,984.09,826.06,714.06,536.06,71.63,350.45,422.19,488.77
hsa-miR-423-5p,60.66,2241.88,1143.56,1348.19,52.79,116.78,7553.24,6489.48,1618.87,14219.79,11272.36,465.8,66.75,6483.58,1932.71,38.55,8261.65,6369.56,256.63,6644.86,918.85,2142.48,1460.62,278.28
hsa-miR-424-3p,1453.76,1381.6,1399.15,5146.21,444.3,217.31,1197.79,938.23,312.45,2544.95,997.89,649.13,1970.17,1284.5,4699.96,1094.35,3448.53,3877.98,2128.53,5300.83,1854.22,1417.31,1202.43,4832.2
hsa-miR-424-5p,33.38,15.55,65.0,188.14,4.4,3.68,13.03,11.74,1.05,40.83,0.0,6.4,6.77,12.21,173.35,12.85,58.19,125.54,38.07,263.25,36.51,15.51,20.59,209.9
hsa-miR-425-3p,4.31,0.0,7.33,36.79,2.64,0.0,0.0,0.0,0.0,5.26,0.72,0.0,0.0,2.56,28.33,2.68,8.08,11.3,0.0,32.47,10.43,0.0,1.42,18.51
hsa-miR-425-5p,40.92,0.0,54.73,150.23,0.0,7.66,13.57,0.0,10.48,65.9,67.08,19.72,28.87,8.52,93.27,13.92,96.02,42.68,69.47,140.96,91.97,40.18,14.44,52.55
hsa-miR-4265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-429,5.03,0.54,0.0,7.66,3.52,0.0,5.97,47.86,0.0,0.0,0.24,2.66,0.45,0.0,6.16,4.82,0.0,7.53,4.44,2.73,6.61,0.4,0.0,12.84
hsa-miR-4296,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0
hsa-miR-4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.87,3.58,0.0,0.0
hsa-miR-431-3p,4.31,0.0,3.91,28.57,0.0,1.84,0.0,0.0,0.0,9.3,14.56,1.07,8.12,13.35,24.29,1.07,0.0,10.04,0.0,21.7,2.96,3.58,0.0,11.94
hsa-miR-431-5p,0.0,0.0,4.89,3.34,0.0,0.0,5.43,0.0,0.0,7.28,4.06,0.0,0.0,0.0,0.0,0.0,0.0,3.77,1.59,3.94,2.78,0.0,0.0,0.0
hsa-miR-432-5p,42.36,76.7,75.26,347.85,8.8,8.28,21.72,74.95,14.68,88.94,165.92,14.92,92.46,113.6,294.25,27.31,94.08,61.52,23.47,284.95,170.04,7.96,71.94,205.42
hsa-miR-4322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
hsa-miR-4326,0.0,0.0,0.0,17.14,0.0,0.0,0.0,9.03,0.0,8.49,25.54,1.07,0.0,8.24,2.46,0.0,0.0,1.26,4.44,3.64,3.3,0.0,0.0,2.99
hsa-miR-4327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4329,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-433-3p,20.46,17.16,14.17,64.8,2.64,7.36,0.0,0.0,0.0,8.49,15.76,0.0,11.28,0.0,57.72,4.82,14.22,12.14,13.64,63.73,36.34,6.36,13.73,39.71
hsa-miR-4421,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.3
hsa-miR-4426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0
hsa-miR-4429,0.0,0.0,0.0,0.42,0.0,0.0,0.0,1.35,0.0,0.4,2.63,0.53,0.45,1.42,0.7,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.9
hsa-miR-4433b-3p,0.0,0.0,0.0,0.0,0.0,0.0,5.97,0.0,2.1,6.47,0.0,0.0,0.0,0.0,2.46,0.0,28.13,0.0,0.0,0.0,0.35,0.0,0.0,2.09
hsa-miR-4433b-5p,0.0,0.0,0.49,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0
hsa-miR-4436b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4440,0.0,1.07,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.18,0.0,0.0,0.0,1.9,0.0,0.35,0.0,2.84,0.9
hsa-miR-4443,6.82,6.97,7.82,0.56,6.16,0.0,0.0,40.18,3.15,12.53,15.04,2.66,14.88,15.9,16.54,6.42,28.13,6.28,26.65,8.8,10.08,3.98,3.55,9.85
hsa-miR-4444,0.0,17.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4446-3p,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,10.03,0.0,7.22,0.0,1.06,0.0,0.65,0.0,0.0,1.52,14.26,0.0,0.0,0.0
hsa-miR-4449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,8.36
hsa-miR-4458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0
hsa-miR-4466,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.14,0.0,1.07,0.0,0.42,7.3,0.15,0.0,0.0,0.0,0.0
hsa-miR-4467,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,6.06,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0
hsa-miR-4474-3p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4482-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,1.39,0.0,0.0,0.0
hsa-miR-4484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4485-3p,3.59,0.0,0.0,1.25,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,1.94,0.0,0.32,0.0,0.0,0.0,0.0,1.59,0.0,0.0
