miRNA,SRR20232393,SRR20232394,SRR20232395,SRR20232396,SRR20232397,SRR20232398,SRR20232399,SRR20232400,SRR20232401,SRR20232402,SRR20232403,SRR20232404,SRR20232405,SRR20232406,SRR20232407,SRR20232408,SRR20232409,SRR20232410,SRR20232411,SRR20232412,SRR20232413,SRR20232414,SRR20232415,SRR20232416,SRR20232417,SRR20232418,SRR20232419,SRR20232420,SRR20232421,SRR20232422,SRR20232423,SRR20232424,SRR20232425,SRR20232426,SRR20232427,SRR20232428,SRR20232429,SRR20232430,SRR20232431,SRR20232432
hsa-miR-125a-5p,99.0,271.0,120.0,107.0,230.0,36.0,92.0,47.0,93.0,46.0,132.0,80.0,182.0,49.0,99.0,60.0,307.0,186.0,30.0,122.0,35.0,69.0,461.0,159.0,613.0,187.0,691.0,293.0,40.0,126.0,144.0,510.0,336.0,54.0,102.0,156.0,27.0,30.0,88.0,74.0
hsa-miR-125b-5p,16.0,19.0,6.0,2.0,17.0,0.0,2.0,11.0,0.0,2.0,109.0,10.0,34.0,12.0,1.0,2.0,35.0,8.0,14.0,41.0,16.0,19.0,69.0,28.0,46.0,36.0,76.0,77.0,19.0,25.0,32.0,155.0,35.0,1.0,9.0,3.0,7.0,7.0,5.0,7.0
hsa-miR-126-3p,39.0,44.0,19.0,8.0,24.0,0.0,7.0,0.0,11.0,54.0,5.0,12.0,49.0,0.0,12.0,1.0,38.0,49.0,0.0,39.0,13.0,16.0,206.0,46.0,144.0,80.0,154.0,105.0,2.0,74.0,39.0,191.0,65.0,2.0,26.0,26.0,2.0,75.0,19.0,14.0
hsa-miR-126-5p,0.0,7.0,0.0,6.0,0.0,0.0,0.0,25.0,11.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-127-3p,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,12.0,0.0,0.0,5.0,10.0,1.0,25.0,2.0,25.0,15.0,20.0,39.0,6.0,23.0,4.0,14.0,7.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0
hsa-miR-1273h-3p,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0
hsa-miR-128-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
hsa-miR-1285-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1289,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
hsa-miR-1295a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1298-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1306-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,249.0,286.0,138.0,1485.0,647.0,145.0,433.0,551.0,196.0,174.0,372.0,315.0,160.0,134.0,176.0,77.0,543.0,211.0,68.0,850.0,58.0,129.0,451.0,81.0,518.0,533.0,834.0,449.0,331.0,223.0,4694.0,1184.0,383.0,61.0,76.0,223.0,131.0,652.0,265.0,337.0
hsa-miR-130b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,7.0,0.0,3.0,9.0,8.0,9.0,4.0,10.0,0.0,9.0,5.0,19.0,12.0,13.0,18.0,15.0,18.0,13.0,17.0,19.0,19.0,15.0,17.0,14.0,0.0,0.0,0.0,0.0
hsa-miR-133a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-133b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-3p,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-5p,21.0,6.0,12.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,10.0,0.0,16.0,6.0,16.0,9.0,36.0,39.0,0.0,4.0,65.0,42.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
hsa-miR-138-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-3p,122.0,128.0,94.0,578.0,328.0,62.0,147.0,360.0,77.0,76.0,187.0,81.0,53.0,115.0,62.0,83.0,311.0,54.0,17.0,323.0,27.0,164.0,432.0,84.0,493.0,125.0,524.0,509.0,94.0,148.0,1200.0,476.0,222.0,1.0,29.0,126.0,262.0,65.0,133.0,197.0
hsa-miR-139-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-140-3p,3.0,19.0,14.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,17.0,16.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,10.0,3.0,7.0,31.0,4.0,2.0,15.0,52.0,10.0,2.0,30.0,65.0,4.0,17.0,1.0,1.0,0.0,2.0,0.0,3.0,29.0
hsa-miR-140-5p,39.0,127.0,48.0,106.0,30.0,16.0,0.0,107.0,87.0,67.0,101.0,81.0,87.0,30.0,78.0,26.0,265.0,109.0,89.0,273.0,40.0,77.0,452.0,8.0,361.0,63.0,586.0,189.0,49.0,141.0,116.0,533.0,333.0,33.0,11.0,125.0,233.0,331.0,90.0,136.0
hsa-miR-141-3p,17.0,30.0,8.0,41.0,82.0,23.0,0.0,18.0,78.0,0.0,33.0,18.0,111.0,11.0,16.0,13.0,9.0,22.0,13.0,41.0,14.0,8.0,44.0,18.0,20.0,35.0,81.0,73.0,17.0,95.0,63.0,150.0,37.0,21.0,0.0,16.0,3.0,3.0,2.0,0.0
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-142-3p,25211.0,46343.0,30956.0,81685.0,118464.0,25059.0,25090.0,51771.0,22339.0,18940.0,15243.0,16849.0,15175.0,8245.0,7921.0,7977.0,33597.0,21611.0,8472.0,28055.0,7090.0,23401.0,106420.0,14481.0,66896.0,30425.0,100085.0,71567.0,12862.0,17831.0,139235.0,152941.0,35342.0,6545.0,6666.0,17257.0,10958.0,16378.0,11964.0,16014.0
hsa-miR-142-5p,3221.0,4208.0,1639.0,3061.0,5736.0,983.0,882.0,1393.0,809.0,587.0,1528.0,1429.0,2036.0,756.0,1301.0,860.0,4558.0,1928.0,963.0,3330.0,855.0,2134.0,16344.0,1423.0,10234.0,4724.0,16508.0,13269.0,1776.0,2278.0,10396.0,20995.0,5737.0,993.0,786.0,1886.0,4135.0,4316.0,1257.0,1297.0
hsa-miR-143-3p,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,11.0,10.0,13.0,3.0,0.0,28.0,2.0,9.0,6.0,8.0,1.0,5.0,5.0,8.0,1.0,5.0,1.0,4.0,3.0,0.0,0.0
hsa-miR-144-3p,1.0,24.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-144-5p,23.0,17.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,28.0,32.0,0.0,44.0,0.0,0.0,3.0,25.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
hsa-miR-145-5p,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-146a-5p,36.0,91.0,14.0,70.0,46.0,30.0,21.0,48.0,0.0,17.0,4.0,52.0,2.0,0.0,11.0,0.0,88.0,35.0,1.0,4.0,3.0,15.0,60.0,0.0,140.0,47.0,51.0,11.0,16.0,45.0,330.0,69.0,19.0,22.0,12.0,17.0,1.0,0.0,15.0,32.0
