miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-miR-10b-5p,2.0,83224.0,37.0,20059.0,8.0,35.0,15135.0,22.0,6.0,16910.0,3.0,34.0,19.0,15.0,8.0,21305.0,79551.0,5.0,0.0,26614.0,32512.0,13847.0,22338.0,9.0
hsa-miR-11181-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,28.0,0.0,43.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
hsa-miR-12126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,11.0,178.0,0.0,781.0,0.0,0.0,215.0,0.0,0.0,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,0.0,801.0,340.0,83.0,107.0,0.0
hsa-miR-1231,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1243,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,6.0,0.0,17.0,0.0,2.0,13.0,0.0,0.0,27.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,34.0,29.0,0.0,2.0,0.0
hsa-miR-1246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,4.0,0.0,11.0,0.0
hsa-miR-1248,23.0,23.0,28.0,32.0,8.0,19.0,200.0,14.0,0.0,29.0,14.0,8.0,17.0,20.0,36.0,47.0,158.0,3.0,6.0,2.0,174.0,13.0,49.0,16.0
hsa-miR-1249-3p,4.0,531.0,0.0,176.0,0.0,0.0,109.0,0.0,0.0,89.0,0.0,0.0,1.0,7.0,0.0,87.0,616.0,0.0,0.0,167.0,186.0,61.0,90.0,0.0
hsa-miR-1249-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,0.0,575.0,0.0,309.0,0.0,0.0,259.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,390.0,522.0,0.0,0.0,129.0,279.0,165.0,168.0,0.0
hsa-miR-125a-5p,271.0,66065.0,494.0,50210.0,635.0,743.0,72847.0,126.0,18.0,17105.0,189.0,99.0,1344.0,960.0,340.0,18674.0,93838.0,131.0,647.0,25975.0,41558.0,6994.0,19254.0,61.0
hsa-miR-125b-1-3p,0.0,21.0,0.0,15.0,0.0,0.0,12.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-125b-2-3p,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,142.0,134049.0,218.0,105104.0,368.0,242.0,133786.0,149.0,42.0,40110.0,292.0,97.0,171.0,246.0,77.0,30362.0,102868.0,60.0,203.0,42944.0,53058.0,11772.0,27952.0,40.0
