miRNA,ERR3559065,ERR3559066
hsa-miR-5587-3p,2.47,0.78
hsa-miR-5588-5p,0.35,6.45
hsa-miR-5698,0.04,1.27
hsa-miR-570-3p,0.13,1.86
hsa-miR-5706,0.66,0.0
hsa-miR-574-3p,45.54,89.75
hsa-miR-574-5p,18.11,32.81
hsa-miR-576-3p,0.0,1.07
hsa-miR-576-5p,19.08,19.63
hsa-miR-577,0.93,0.0
hsa-miR-582-3p,0.13,0.59
hsa-miR-584-5p,286.21,333.7
hsa-miR-589-5p,63.03,63.67
hsa-miR-605-3p,1.06,0.0
hsa-miR-605-5p,0.09,0.49
hsa-miR-615-3p,19.35,6.74
hsa-miR-616-5p,2.03,0.0
hsa-miR-618,0.18,1.66
hsa-miR-619-5p,1.46,0.68
hsa-miR-624-5p,5.83,6.54
hsa-miR-625-3p,7.2,14.94
hsa-miR-625-5p,1.33,0.0
hsa-miR-628-3p,48.19,5.66
hsa-miR-629-3p,0.09,0.68
hsa-miR-629-5p,23.37,46.49
hsa-miR-636,0.09,0.88
hsa-miR-642a-3p,7.55,14.06
hsa-miR-642b-3p,0.04,0.68
hsa-miR-643,0.09,0.88
hsa-miR-6501-3p,0.53,0.0
hsa-miR-6503-3p,0.18,2.15
hsa-miR-6509-5p,2.08,0.0
hsa-miR-651-5p,1.94,0.0
hsa-miR-6510-3p,0.09,1.27
hsa-miR-6511a-3p,8.66,5.57
hsa-miR-6511a-5p,0.0,0.39
hsa-miR-6511b-3p,2.21,4.0
hsa-miR-6511b-5p,0.04,0.0
hsa-miR-6513-3p,2.92,0.59
hsa-miR-6515-5p,0.0,0.1
hsa-miR-6516-5p,0.04,1.37
hsa-miR-652-3p,23.37,20.12
hsa-miR-654-3p,64.44,83.99
hsa-miR-654-5p,2.25,4.59
hsa-miR-655-3p,1.37,0.0
hsa-miR-656-3p,1.86,5.18
hsa-miR-658,0.04,0.0
hsa-miR-660-5p,9.36,4.49
hsa-miR-663b,0.09,0.2
hsa-miR-664a-3p,1.46,2.73
hsa-miR-664a-5p,51.68,25.39
hsa-miR-664b-5p,0.0,0.68
hsa-miR-665,0.66,0.0
