miRNA,SRR12327175,SRR12327176,SRR12327177,SRR12327178,SRR12327179,SRR12327180,SRR12327181,SRR12327182,SRR12327183,SRR12327184,SRR12327185,SRR12327186,SRR12327187,SRR12327188,SRR12327189,SRR12327190
hsa-miR-3686,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3688-3p,1.18,0.39,1.7,0.44,0.25,0.25,1.62,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.43,0.0
hsa-miR-369-3p,11.51,12.64,9.74,23.14,28.46,4.3,2.09,0.0,0.0,0.0,0.0,0.0,0.13,0.0,4.0,1.0
hsa-miR-369-5p,4.43,6.83,16.8,24.25,17.42,10.58,5.79,0.26,0.0,0.0,0.0,0.0,0.0,0.0,12.86,1.67
hsa-miR-3690,1.48,0.0,0.24,0.11,0.0,0.25,1.04,1.03,0.0,0.0,0.0,0.0,0.13,0.0,0.54,0.11
hsa-miR-3691-3p,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3691-5p,1.77,0.52,0.61,0.66,0.12,1.48,0.81,2.31,0.0,0.0,0.08,0.0,0.0,0.0,0.32,0.78
hsa-miR-3692-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-370-3p,121.56,116.7,247.43,257.66,362.54,747.1,216.38,11.42,0.0,0.0,0.0,0.0,0.0,0.0,225.88,95.43
hsa-miR-370-5p,0.0,0.13,0.0,0.11,0.25,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.11
hsa-miR-371a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
hsa-miR-371b-5p,0.0,0.13,0.37,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-372-3p,0.0,0.13,0.61,1.11,0.12,0.12,0.0,0.13,0.0,0.18,0.08,0.12,0.0,0.1,0.65,0.11
hsa-miR-374a-3p,8.26,5.42,52.45,37.76,7.85,16.85,24.45,12.7,3.89,5.99,3.13,0.24,1.18,0.6,1.84,0.89
