miRNA,ERR5319140,ERR5319141,ERR5319142,ERR5319143
hsa-miR-181b-2-3p,0.0,0.0,0.72,0.0
hsa-miR-181b-5p,7.67,2.55,116.89,51.73
hsa-miR-181c-3p,0.0,0.16,0.0,0.0
hsa-miR-181d-5p,0.0,0.16,2.87,6.35
hsa-miR-182-5p,26.85,6.52,136.97,87.12
hsa-miR-183-3p,0.0,0.0,0.0,0.91
hsa-miR-183-5p,14.7,2.86,230.19,179.69
hsa-miR-184,2.56,1.27,43.74,30.86
hsa-miR-1843,0.0,0.0,4.3,4.54
hsa-miR-185-3p,0.32,0.64,0.0,0.0
hsa-miR-185-5p,6.39,2.55,95.38,29.95
hsa-miR-186-5p,15.66,7.64,118.32,85.31
hsa-miR-187-3p,0.0,0.0,0.72,0.91
hsa-miR-18a-3p,0.96,0.0,0.0,0.0
hsa-miR-18a-5p,0.0,0.32,2.15,0.0
hsa-miR-18b-5p,0.0,0.0,0.0,0.91
hsa-miR-1908-5p,0.0,0.0,13.63,8.17
hsa-miR-191-5p,8.63,4.14,190.03,108.9
hsa-miR-1915-3p,0.0,0.0,0.72,0.0
hsa-miR-192-5p,64.89,14.95,74.58,62.62
hsa-miR-193a-5p,0.0,0.48,212.27,166.98
hsa-miR-193b-3p,1.6,3.18,0.72,2.72
hsa-miR-193b-5p,0.96,0.16,19.36,12.71
hsa-miR-194-3p,0.0,0.16,0.0,0.0
hsa-miR-194-5p,5.11,3.18,7.17,27.23
hsa-miR-195-3p,0.0,0.0,0.0,2.72
hsa-miR-195-5p,0.0,0.0,0.0,2.72
hsa-miR-196a-5p,0.32,0.16,0.72,0.0
hsa-miR-196b-5p,0.64,0.0,0.0,1.82
hsa-miR-197-3p,0.32,0.16,8.61,16.34
hsa-miR-197-5p,0.0,0.0,0.72,0.0
hsa-miR-199a-3p,4.79,6.04,9.32,35.39
hsa-miR-199a-5p,3.52,3.66,15.78,19.06
hsa-miR-199b-3p,9.59,0.0,20.8,23.6
hsa-miR-199b-5p,2.24,0.16,2.15,28.13
hsa-miR-19a-3p,0.0,0.16,3.59,0.0
hsa-miR-19b-3p,0.32,1.59,2.87,7.26
hsa-miR-200a-3p,5.75,1.59,38.72,59.9
hsa-miR-200a-5p,16.94,7.32,66.69,83.49
hsa-miR-200b-3p,21.42,6.52,175.69,171.52
hsa-miR-200b-5p,0.32,0.16,14.34,16.34
hsa-miR-200c-3p,41.87,11.77,2.15,9.08
hsa-miR-202-5p,0.0,0.0,0.0,2.72
hsa-miR-203a-3p,1.92,0.32,2.15,1.82
hsa-miR-204-3p,3.2,0.64,4.3,29.04
hsa-miR-204-5p,0.0,0.0,3.59,10.89
hsa-miR-205-5p,0.96,0.0,3.59,0.91
hsa-miR-206,0.32,0.16,0.72,3.63
hsa-miR-208b-3p,0.0,0.16,0.0,0.91
hsa-miR-20a-5p,3.2,3.5,104.7,67.16
hsa-miR-20b-5p,0.0,0.0,0.0,0.91
hsa-miR-21-3p,0.32,2.39,0.0,0.91
hsa-miR-21-5p,842.26,317.34,14530.85,14369.69
hsa-miR-210-3p,0.64,0.16,0.72,0.91
hsa-miR-2110,0.64,0.0,10.04,9.98
hsa-miR-2115-3p,0.0,0.0,1.43,0.0
hsa-miR-2116-3p,0.0,0.0,0.0,1.82
hsa-miR-212-3p,0.0,0.0,0.0,0.91
hsa-miR-214-3p,0.32,0.0,1.43,0.0
hsa-miR-214-5p,0.32,0.0,0.0,0.0
hsa-miR-215-5p,2.56,1.43,18.64,150.65
hsa-miR-217-5p,0.0,0.16,0.0,0.0
hsa-miR-218-5p,3.84,2.55,34.42,80.77
hsa-miR-219a-1-3p,0.32,0.0,0.0,1.82
hsa-miR-219a-2-3p,0.0,0.0,0.0,0.91
hsa-miR-22-3p,6.71,5.25,43.03,60.8
hsa-miR-22-5p,1.6,0.8,30.12,19.06
hsa-miR-221-3p,165.25,110.87,1045.55,391.14
hsa-miR-221-5p,0.96,0.64,36.57,16.34
hsa-miR-222-3p,15.02,5.57,1313.75,295.85
hsa-miR-222-5p,0.0,0.0,0.72,0.0
hsa-miR-223-3p,0.64,0.16,2.87,0.91
hsa-miR-224-5p,5.75,2.86,119.04,78.95
hsa-miR-2276-3p,0.0,0.0,0.72,0.0
hsa-miR-2277-5p,0.0,0.16,0.0,0.0
hsa-miR-2355-3p,0.0,0.0,0.0,0.91
hsa-miR-23a-3p,15.34,12.88,129.8,187.86
hsa-miR-23a-5p,2.24,2.23,0.0,0.0
hsa-miR-23b-3p,6.39,0.8,7.17,22.69
hsa-miR-23b-5p,0.0,0.0,0.0,1.82
hsa-miR-24-1-5p,0.0,0.0,1.43,0.0
hsa-miR-24-2-5p,0.64,1.11,35.14,25.41
hsa-miR-24-3p,29.41,11.61,131.95,255.92
hsa-miR-25-3p,58.17,13.2,559.35,212.36
hsa-miR-25-5p,4.47,0.48,0.0,0.91
hsa-miR-2682-5p,0.0,0.0,109.0,125.24
hsa-miR-26a-2-3p,0.32,0.0,0.0,0.0
hsa-miR-26a-5p,226.31,84.31,1505.94,1489.24
hsa-miR-26b-5p,15.34,10.34,88.2,108.9
hsa-miR-27a-3p,46.99,15.91,357.12,265.9
hsa-miR-27a-5p,224.39,94.49,2.87,5.45
