miRNA,SRR12463645,SRR12463646,SRR12463647,SRR12463648,SRR12463649,SRR12463650,SRR12463651,SRR12463652,SRR12463653,SRR12463654,SRR12463655,SRR12463656,SRR12463657,SRR12463658,SRR12463659
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-138-5p,0.0,0.0,0.0,11.3,14.49,9.69,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-139-3p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-139-5p,0.0,0.87,0.0,0.0,3.15,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-140-3p,0.0,2.62,0.0,18.83,15.12,41.98,0.0,2.59,1.52,2.23,1.37,0.54,0.86,0.91,0.0
hsa-miR-140-5p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-142-5p,0.0,0.0,0.0,0.0,1.26,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-143-3p,129.28,9.6,3.46,3.77,11.97,19.38,297.19,245.6,362.69,20.03,10.62,14.62,3.46,2.27,6.65
hsa-miR-143-5p,18.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-144-3p,0.0,0.87,0.0,0.0,0.63,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-145-5p,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.54,0.0,0.0,0.48
hsa-miR-146a-5p,0.0,1.75,0.0,86.61,141.14,90.43,0.0,1.73,0.0,0.0,1.03,1.08,0.86,6.81,6.65
hsa-miR-146b-5p,0.0,3.49,13.84,18.83,21.42,9.69,0.0,6.92,10.62,0.0,2.4,2.71,0.0,0.0,0.0
hsa-miR-147b-3p,0.0,0.0,0.0,3.77,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,1.36,0.95
hsa-miR-147b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-148a-3p,701.82,212.98,249.05,583.69,418.37,1062.51,484.88,306.13,400.63,46.74,38.7,36.27,1.73,4.54,5.23
hsa-miR-148a-5p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.86,0.0,2.23,0.0,0.0,0.0,0.0,0.0
hsa-miR-148b-3p,0.0,3.49,10.38,18.83,20.79,3.23,0.0,0.86,0.0,0.0,0.68,1.08,0.0,0.0,0.48
hsa-miR-149-5p,0.0,3.49,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-151a-3p,535.6,199.89,307.86,1054.41,811.54,2034.6,140.77,107.23,84.98,84.57,57.88,54.68,11.24,8.17,6.65
hsa-miR-151a-5p,0.0,0.0,3.46,0.0,1.26,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
hsa-miR-151b,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-152-3p,0.0,4.36,6.92,11.3,8.82,9.69,15.64,9.51,9.11,0.0,1.03,1.62,0.0,0.0,0.48
hsa-miR-155-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,3.04,0.0,0.0,0.0,0.0,0.0,0.48
hsa-miR-15b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-15b-5p,0.0,0.87,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-2-3p,0.0,3.49,3.46,0.0,11.34,3.23,0.0,0.0,1.52,0.0,0.34,0.54,0.0,0.0,0.0
hsa-miR-16-5p,0.0,0.87,0.0,7.53,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-17-5p,0.0,1.75,3.46,0.0,6.3,6.46,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-181a-2-3p,0.0,0.0,0.0,7.53,6.3,12.92,0.0,0.86,1.52,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-181a-3p,0.0,0.0,0.0,3.77,6.3,0.0,0.0,0.0,0.0,0.0,0.68,0.54,0.0,0.0,0.0
hsa-miR-181a-5p,18.47,6.98,3.46,22.59,49.15,12.92,0.0,1.73,0.0,0.0,0.0,1.08,0.0,0.45,0.48
