miRNA,SRR19278993,SRR19278994,SRR19278995,SRR19278996,SRR19278997,SRR19278998,SRR19278999,SRR19279000,SRR19279001,SRR19279002,SRR19279003,SRR19279004,SRR19279005,SRR19279006,SRR19279007,SRR19279008,SRR19279009,SRR19279010,SRR19279011,SRR19279012,SRR19279013,SRR19279014,SRR19279015,SRR19279016,SRR19279017,SRR19279018,SRR19279019,SRR19279020,SRR19279021,SRR19279022,SRR19279023,SRR19279024,SRR19279025,SRR19279026,SRR19279027
hsa-miR-125b-5p,23.0,38.0,0.0,24.0,14.0,6.0,0.0,1.0,3.0,0.0,2.0,5.0,9.0,3.0,15.0,15.0,10.0,29.0,11.0,1.0,6.0,6.0,30.0,4.0,5.0,8.0,18.0,17.0,21.0,29.0,15.0,2.0,2.0,38.0,9.0
hsa-miR-126-3p,170.0,191.0,13.0,92.0,81.0,92.0,0.0,17.0,0.0,0.0,0.0,198.0,46.0,10.0,64.0,65.0,81.0,52.0,174.0,94.0,99.0,62.0,246.0,83.0,72.0,43.0,54.0,68.0,99.0,92.0,167.0,86.0,176.0,138.0,195.0
hsa-miR-126-5p,0.0,0.0,0.0,17.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,10.0,11.0,5.0,17.0,17.0,12.0,10.0,0.0,2.0,17.0,10.0,0.0,0.0,13.0,1.0,17.0,6.0,18.0,0.0,10.0,15.0
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1260b,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,138.0,170.0,51.0,579.0,72.0,44.0,0.0,0.0,1.0,0.0,0.0,97.0,18.0,47.0,60.0,121.0,167.0,95.0,53.0,99.0,18.0,96.0,106.0,131.0,254.0,16.0,49.0,108.0,137.0,84.0,75.0,59.0,94.0,163.0,318.0
hsa-miR-127-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
