miRNA,SRR6233838,SRR6233839,SRR6233840,SRR6233841,SRR6233842,SRR6233843
hsa-miR-1266-3p,0.0,0.27,0.16,0.13,0.0,0.12
hsa-miR-1266-5p,6.15,5.17,7.75,11.1,12.36,18.6
hsa-miR-1267,0.13,0.14,0.0,0.53,0.46,0.95
hsa-miR-1268a,0.0,0.27,0.32,0.13,0.31,0.72
hsa-miR-1268b,0.78,0.0,0.65,0.4,0.46,0.0
hsa-miR-1269a,24.72,23.01,23.58,116.85,109.84,202.72
hsa-miR-1269b,282.53,364.11,376.82,704.73,703.5,1034.23
hsa-miR-127-3p,8.5,5.45,8.56,28.75,17.15,32.67
hsa-miR-127-5p,0.0,0.0,0.0,0.13,0.0,0.24
hsa-miR-1270,4.71,5.58,3.23,5.35,4.48,7.99
hsa-miR-1271-3p,0.0,0.14,0.32,0.0,0.0,0.0
hsa-miR-1271-5p,156.31,159.72,152.63,57.22,56.54,77.27
hsa-miR-1273c,2.35,3.95,4.36,5.75,3.4,7.15
hsa-miR-1273h-3p,0.0,0.0,0.0,0.13,0.93,0.0
hsa-miR-1273h-5p,0.13,0.68,0.48,0.13,0.93,0.36
hsa-miR-1275,0.0,0.27,0.81,0.27,0.31,0.48
hsa-miR-1276,3.92,4.09,4.2,7.75,5.87,6.44
hsa-miR-1278,0.13,0.54,0.48,0.4,0.77,0.83
hsa-miR-128-1-5p,3.92,3.4,3.88,3.61,5.56,6.32
hsa-miR-128-3p,920.17,1209.71,1113.66,867.31,812.57,1193.67
hsa-miR-1281,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-1283,2.09,1.5,1.29,4.55,2.78,6.68
hsa-miR-1284,1.31,1.5,2.26,3.34,1.85,2.62
hsa-miR-1285-3p,2.62,2.72,3.55,4.28,3.71,6.8
hsa-miR-1285-5p,10.59,12.12,14.54,9.09,12.36,13.12
hsa-miR-1286,1.96,3.0,2.26,2.27,2.94,3.82
hsa-miR-1287-3p,0.0,0.14,0.0,0.0,0.0,0.12
hsa-miR-1287-5p,94.44,126.36,121.62,50.94,55.46,68.33
hsa-miR-1288-3p,0.26,0.68,0.65,0.4,0.93,0.95
hsa-miR-1289,0.0,0.27,0.32,0.4,0.0,0.6
hsa-miR-129-1-3p,0.13,0.27,0.32,0.13,0.46,0.12
hsa-miR-129-2-3p,0.13,0.0,0.32,0.0,0.0,0.0
