miRNA,SRR21848191,SRR21848192,SRR21848193,SRR21848194,SRR21848195
hsa-miR-1976,0.0,0.0,5.0,65.0,25.0
hsa-miR-199a-3p,110.0,102.0,209.0,151.0,149.0
hsa-miR-199a-5p,0.0,0.0,25.0,5.0,1.0
hsa-miR-199b-3p,0.0,10.0,73.0,354.0,7.0
hsa-miR-199b-5p,0.0,0.0,5.0,8.0,1.0
hsa-miR-19a-3p,400.0,879.0,455.0,12898.0,2477.0
hsa-miR-19a-5p,0.0,0.0,7.0,30.0,10.0
hsa-miR-19b-3p,1303.0,2744.0,927.0,54380.0,10001.0
hsa-miR-200a-3p,152.0,169.0,57.0,12.0,8.0
hsa-miR-200a-5p,1.0,12.0,7.0,0.0,0.0
hsa-miR-200b-3p,231.0,109.0,51.0,6.0,0.0
hsa-miR-200c-3p,0.0,0.0,9.0,18.0,9.0
hsa-miR-202-5p,0.0,7.0,0.0,24.0,3.0
hsa-miR-203a-3p,78.0,34.0,22.0,4.0,0.0
hsa-miR-204-5p,0.0,0.0,4.0,0.0,0.0
hsa-miR-205-5p,27.0,29.0,30.0,7.0,6.0
hsa-miR-20a-3p,0.0,0.0,1.0,27.0,4.0
hsa-miR-20a-5p,1467.0,1535.0,1184.0,10957.0,1530.0
hsa-miR-20b-3p,0.0,0.0,7.0,103.0,36.0
hsa-miR-20b-5p,0.0,12.0,47.0,1068.0,140.0
hsa-miR-21-3p,0.0,0.0,4.0,126.0,42.0
hsa-miR-21-5p,58143.0,43008.0,30471.0,119385.0,9362.0
hsa-miR-210-3p,381.0,294.0,209.0,1539.0,181.0
hsa-miR-210-5p,0.0,0.0,1.0,0.0,4.0
hsa-miR-211-5p,0.0,0.0,12.0,0.0,0.0
hsa-miR-2110,0.0,13.0,41.0,244.0,40.0
hsa-miR-2114-3p,0.0,0.0,0.0,2.0,2.0
hsa-miR-2115-3p,0.0,0.0,4.0,1.0,0.0
hsa-miR-2115-5p,0.0,12.0,0.0,0.0,0.0
hsa-miR-2116-3p,0.0,0.0,9.0,0.0,0.0
hsa-miR-2116-5p,0.0,0.0,9.0,0.0,0.0
hsa-miR-212-3p,0.0,7.0,16.0,5.0,0.0
hsa-miR-212-5p,0.0,0.0,5.0,0.0,0.0
hsa-miR-214-3p,0.0,0.0,0.0,1.0,0.0
hsa-miR-214-5p,0.0,10.0,0.0,0.0,0.0
hsa-miR-215-5p,0.0,1.0,0.0,329.0,6.0
hsa-miR-218-5p,0.0,0.0,9.0,11.0,1.0
hsa-miR-219a-1-3p,33.0,5.0,5.0,3.0,4.0
hsa-miR-219a-5p,0.0,0.0,0.0,10.0,0.0
hsa-miR-219b-3p,0.0,0.0,0.0,13.0,0.0
hsa-miR-22-3p,386.0,6680.0,5530.0,151141.0,32800.0
hsa-miR-22-5p,0.0,12.0,17.0,1126.0,113.0
hsa-miR-221-3p,4780.0,3642.0,6315.0,11088.0,2152.0
hsa-miR-221-5p,25.0,15.0,6.0,4.0,6.0
hsa-miR-222-3p,2091.0,1439.0,1150.0,309.0,47.0
hsa-miR-222-5p,20.0,5.0,3.0,3.0,0.0
hsa-miR-223-3p,20.0,80.0,127.0,1616.0,45.0
hsa-miR-223-5p,0.0,0.0,2.0,11.0,1.0
hsa-miR-2277-3p,0.0,0.0,0.0,7.0,0.0
hsa-miR-2277-5p,0.0,0.0,0.0,5.0,0.0
hsa-miR-2278,0.0,0.0,0.0,1.0,0.0
hsa-miR-23a-3p,166.0,147.0,151.0,107.0,101.0
hsa-miR-23a-5p,0.0,0.0,1.0,0.0,0.0
hsa-miR-23b-3p,55.0,63.0,65.0,509.0,24.0
hsa-miR-23b-5p,0.0,0.0,0.0,3.0,0.0
hsa-miR-24-1-5p,0.0,0.0,0.0,4.0,0.0
hsa-miR-24-2-5p,0.0,0.0,3.0,15.0,1.0
hsa-miR-24-3p,704.0,486.0,210.0,1073.0,589.0
hsa-miR-25-3p,4053.0,6931.0,5945.0,188148.0,32009.0
hsa-miR-25-5p,7.0,9.0,95.0,104.0,13.0
hsa-miR-26a-1-3p,0.0,0.0,0.0,1.0,0.0
hsa-miR-26a-2-3p,0.0,0.0,1.0,12.0,0.0
