miRNA,SRR1054269,SRR1054270,SRR1054271,SRR1054272,SRR1054273,SRR1054274,SRR1054275,SRR1054276,SRR1054277,SRR1054278,SRR1054279,SRR1054280,SRR1054281,SRR1054282
hsa-miR-1307-5p,24.0,19.0,80.0,33.0,73.0,52.0,76.0,15.0,9.0,15.0,25.0,53.0,39.0,22.0
hsa-miR-130a-3p,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-130b-3p,4.0,2.0,14.0,3.0,6.0,4.0,5.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0
hsa-miR-130b-5p,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-132-3p,18.0,11.0,45.0,35.0,46.0,20.0,34.0,15.0,12.0,20.0,21.0,14.0,24.0,6.0
hsa-miR-132-5p,17.0,7.0,59.0,56.0,70.0,43.0,39.0,8.0,10.0,16.0,17.0,20.0,23.0,13.0
hsa-miR-133a-3p,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0
hsa-miR-133b,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-134-5p,39.0,29.0,170.0,113.0,146.0,94.0,126.0,11.0,14.0,25.0,27.0,29.0,30.0,14.0
hsa-miR-1343-3p,2.0,4.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-135a-2-3p,3.0,0.0,6.0,1.0,7.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
hsa-miR-135a-3p,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
hsa-miR-135a-5p,3.0,1.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0
hsa-miR-135b-3p,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-135b-5p,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-3p,158.0,123.0,458.0,295.0,455.0,304.0,378.0,59.0,60.0,87.0,120.0,136.0,123.0,58.0
hsa-miR-136-5p,4.0,4.0,14.0,3.0,9.0,14.0,9.0,2.0,2.0,1.0,0.0,6.0,2.0,0.0
hsa-miR-137-3p,18.0,9.0,36.0,16.0,23.0,19.0,14.0,5.0,7.0,16.0,9.0,20.0,17.0,5.0
