miRNA,SRR22891202,SRR22891203,SRR22891204,SRR22891205
hsa-miR-146b-5p,0.81,1.55,2.64,1.33
hsa-miR-148a-3p,0.34,2.87,6.01,3.72
hsa-miR-148b-3p,0.41,0.0,0.73,0.71
hsa-miR-149-5p,33.43,26.35,10.41,19.4
hsa-miR-150-5p,3.32,12.48,22.44,15.06
hsa-miR-151a-3p,4.41,3.02,2.79,0.89
hsa-miR-151a-5p,127.8,95.48,80.53,73.07
hsa-miR-151b,1.83,1.94,2.35,26.04
hsa-miR-152-3p,2.51,1.55,2.79,0.89
hsa-miR-153-3p,0.2,1.32,1.61,1.59
hsa-miR-153-5p,0.0,0.0,0.15,0.09
hsa-miR-1537-3p,0.07,0.0,0.29,0.0
hsa-miR-1538,0.0,0.08,0.0,0.0
hsa-miR-154-3p,0.27,0.0,0.0,0.0
hsa-miR-154-5p,14.98,2.17,2.35,1.15
hsa-miR-155-5p,47.19,24.41,15.69,7.09
hsa-miR-15a-3p,0.14,0.0,0.0,0.0
hsa-miR-15a-5p,2.1,6.36,9.97,6.38
hsa-miR-15b-3p,1.02,0.16,0.88,0.44
hsa-miR-15b-5p,17.22,9.84,14.81,5.76
hsa-miR-16-2-3p,0.41,0.16,0.0,0.18
hsa-miR-16-5p,55.19,74.25,139.64,83.34
hsa-miR-17-3p,0.0,0.08,0.0,0.18
hsa-miR-17-5p,1.02,1.16,1.47,0.8
hsa-miR-181a-2-3p,1.76,1.78,1.61,3.54
hsa-miR-181a-3p,1.15,1.47,0.88,1.33
hsa-miR-181a-5p,858.01,385.41,739.25,289.26
hsa-miR-181b-2-3p,0.0,0.0,0.0,0.09
hsa-miR-181b-5p,168.08,91.76,94.61,78.74
hsa-miR-181c-3p,0.07,0.08,0.0,0.27
hsa-miR-181c-5p,5.29,3.26,4.99,6.2
hsa-miR-181d-5p,3.19,1.47,3.67,1.42
hsa-miR-182-5p,0.95,0.39,0.15,0.18
hsa-miR-183-5p,0.14,0.0,0.15,0.0
hsa-miR-1843,1.29,0.23,0.88,0.35
hsa-miR-185-3p,0.0,0.08,0.15,0.0
hsa-miR-185-5p,5.83,6.28,2.64,7.53
hsa-miR-186-5p,1.02,1.01,4.25,1.68
hsa-miR-187-3p,0.07,0.0,0.0,0.0
hsa-miR-18a-3p,0.14,0.0,0.0,0.18
