miRNA,GSM3059089,GSM3059090,GSM3059091,GSM3059095,GSM3059096,GSM3059097
hsa-miR-155-5p,0.0,0.0,0.0,2.29,1.27,5.66
hsa-miR-15a-5p,276.88,123.44,73.66,46.4,48.22,86.72
hsa-miR-15b-5p,14.57,6.17,7.37,4.01,2.54,7.54
hsa-miR-16-1-3p,4.86,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-2-3p,14.57,6.17,44.2,4.01,17.76,20.74
hsa-miR-16-5p,714.05,413.53,883.97,372.38,327.36,556.75
hsa-miR-17-5p,0.0,0.0,44.2,1.72,6.34,6.28
hsa-miR-181a-2-3p,43.72,12.34,22.1,23.49,10.15,35.19
hsa-miR-181a-3p,4.86,0.0,51.56,3.44,2.54,2.51
hsa-miR-181a-5p,2715.32,1314.65,4898.67,1368.62,1265.05,2332.58
hsa-miR-181b-5p,213.73,166.65,272.56,112.86,149.72,178.46
hsa-miR-181c-3p,0.0,0.0,0.0,1.15,0.0,2.51
hsa-miR-181c-5p,19.43,18.52,58.93,13.75,19.03,39.59
hsa-miR-181d-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-181d-5p,0.0,0.0,22.1,3.44,7.61,6.91
hsa-miR-182-5p,53.43,18.52,88.4,33.23,29.18,42.73
hsa-miR-183-3p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-miR-183-5p,9.71,6.17,14.73,2.86,5.08,5.03
hsa-miR-184,0.0,0.0,14.73,2.29,3.81,1.89
hsa-miR-1843,29.14,0.0,7.37,9.74,11.42,8.17
hsa-miR-185-3p,0.0,0.0,0.0,0.57,2.54,0.0
hsa-miR-185-5p,0.0,0.0,0.0,0.0,0.0,2.51
hsa-miR-186-5p,126.29,67.89,176.79,117.44,128.15,251.36
hsa-miR-187-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-188-5p,4.86,0.0,0.0,0.57,2.54,1.89
hsa-miR-18a-3p,9.71,0.0,0.0,0.0,0.0,0.0
hsa-miR-18a-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-1909-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-190a-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-190b-5p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-191-3p,0.0,0.0,0.0,1.72,1.27,2.51
hsa-miR-191-5p,48.57,92.58,942.9,71.61,79.94,175.95
hsa-miR-1910-5p,4.86,18.52,0.0,10.31,10.15,20.74
hsa-miR-192-5p,150.58,30.86,147.33,38.38,27.91,92.37
hsa-miR-193a-3p,0.0,0.0,7.37,0.0,1.27,1.89
hsa-miR-193a-5p,0.0,0.0,0.0,1.72,0.0,0.63
hsa-miR-193b-3p,19.43,6.17,44.2,13.75,5.08,17.59
hsa-miR-193b-5p,548.89,123.44,29.47,97.39,72.32,135.1
hsa-miR-194-5p,0.0,0.0,14.73,3.44,2.54,2.51
hsa-miR-195-3p,0.0,0.0,0.0,1.15,0.0,1.89
hsa-miR-195-5p,9.71,0.0,0.0,1.15,0.0,1.26
hsa-miR-196a-5p,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,0.0,0.0,1.15,5.08,1.89
hsa-miR-197-3p,0.0,0.0,0.0,5.73,6.34,6.28
hsa-miR-199a-3p,1612.68,1049.25,832.41,127.75,615.39,312.94
hsa-miR-199a-5p,19.43,6.17,22.1,10.88,11.42,30.16
hsa-miR-199b-3p,650.9,86.41,176.79,468.62,64.71,822.56
hsa-miR-199b-5p,0.0,18.52,44.2,7.45,6.34,15.08
hsa-miR-19b-3p,9.71,0.0,36.83,2.86,0.0,1.26
hsa-miR-200c-3p,43.72,0.0,14.73,13.75,10.15,27.02
hsa-miR-202-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-203a-3p,0.0,234.54,198.89,34.37,88.82,25.76
hsa-miR-204-5p,0.0,6.17,36.83,1.15,3.81,0.63
hsa-miR-205-3p,0.0,0.0,0.0,1.72,0.0,1.26
hsa-miR-205-5p,106.86,61.72,132.6,58.43,40.6,82.32
hsa-miR-208a-3p,0.0,12.34,0.0,0.0,0.0,1.89
hsa-miR-20a-5p,9.71,0.0,0.0,5.16,2.54,1.89
hsa-miR-20b-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-21-3p,9.71,0.0,22.1,10.88,12.69,35.82
hsa-miR-21-5p,1394.09,728.31,1414.35,634.76,827.29,1454.72
hsa-miR-210-3p,184.58,30.86,36.83,57.29,32.99,60.95
hsa-miR-210-5p,0.0,0.0,7.37,0.0,0.0,0.0
hsa-miR-211-5p,0.0,0.0,0.0,1.72,0.0,0.0
hsa-miR-2110,4.86,0.0,0.0,0.0,0.0,1.26
hsa-miR-2114-3p,0.0,0.0,0.0,0.0,1.27,0.63
hsa-miR-2115-5p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-miR-2116-3p,4.86,0.0,0.0,2.86,1.27,1.26
hsa-miR-2116-5p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-miR-214-3p,19.43,6.17,0.0,1.15,0.0,3.77
hsa-miR-214-5p,19.43,0.0,0.0,0.0,1.27,0.0
hsa-miR-218-1-3p,0.0,12.34,0.0,0.57,1.27,1.26
hsa-miR-218-5p,0.0,0.0,7.37,2.29,0.0,3.14
hsa-miR-22-3p,16083.04,5616.59,11344.3,11552.23,6802.32,16113.13
hsa-miR-22-5p,9.71,12.34,14.73,4.01,5.08,13.82
hsa-miR-221-3p,558.61,277.74,250.46,232.02,327.36,473.18
hsa-miR-221-5p,4.86,6.17,0.0,3.44,1.27,1.89
hsa-miR-222-3p,97.15,98.75,338.86,93.38,79.94,206.11
hsa-miR-222-5p,0.0,0.0,0.0,1.15,0.0,1.89
hsa-miR-223-3p,4.86,0.0,0.0,2.29,2.54,7.54
hsa-miR-223-5p,14.57,0.0,0.0,0.57,2.54,1.26
hsa-miR-224-3p,9.71,6.17,14.73,6.87,3.81,10.05
hsa-miR-224-5p,43.72,24.69,29.47,79.06,44.41,113.11
hsa-miR-2355-5p,0.0,0.0,0.0,0.0,0.0,1.26
