miRNA,SRR13648489,SRR13648490,SRR13648491,SRR13648492,SRR13648493,SRR13648494,SRR13648495,SRR13648496,SRR13648497,SRR13648498,SRR13648499,SRR13648500,SRR13648501,SRR13648502,SRR13648503,SRR16312949,SRR16312950,SRR16312951,SRR16312952,SRR16312953,SRR16312954,SRR16312955,SRR16312956,SRR16312957,SRR16312958
hsa-miR-6746-3p,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6746-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6747-3p,69.0,64.0,86.0,0.0,40.0,49.0,7.0,18.0,38.0,25.0,22.0,1.0,62.0,0.0,105.0,34.0,57.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
hsa-miR-6747-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
hsa-miR-6748-3p,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6748-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-miR-6749-3p,2.0,4.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6749-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
hsa-miR-675-3p,18.0,4.0,3.0,0.0,3.0,28.0,0.0,19.0,10.0,2.0,62.0,29.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-675-5p,3.0,79.0,7.0,19.0,73.0,125.0,22.0,188.0,13.0,4.0,446.0,682.0,76.0,46.0,6.0,0.0,14.0,84.0,0.0,101.0,96.0,0.0,2153.0,1.0,44.0
hsa-miR-6750-3p,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
