miRNA,SRR10188959,SRR10188960,SRR10188961,SRR10188962,SRR10188964,SRR10188965,SRR10188966,SRR10188967,SRR10188968,SRR10188969,SRR10188970,SRR10188971,SRR10188972,SRR10188973,SRR10188975,SRR10188976,SRR10188977,SRR10188978,SRR10188979,SRR10188980,SRR10188981,SRR10188982,SRR10188983,SRR10188984,SRR10188986,SRR10188987,SRR10188988,SRR10188989,SRR10188990,SRR10188991,SRR10188992,SRR10188993,SRR10188994,SRR10188995,SRR10188997,SRR10189043,SRR10189044,SRR10189045,SRR10189046,SRR10189047,SRR10189048,SRR10189055,SRR10189056,SRR10189057,SRR10189058,SRR10189059,SRR10189060,SRR10189061,SRR10189062,SRR10189064,SRR10189065,SRR10189066,SRR10189067,SRR10189068,SRR10189069,SRR10189070,SRR10189071,SRR10189072,SRR10189073
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.6,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,11.41,0.0,6.12,4.75,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,12.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,1186.8,2732.94,913.61,3864.55,8649.24,8253.05,13365.27,16316.08,16098.55,20621.25,8547.96,9487.95,942.47,1293.75,2679.36,6581.13,3822.01,4485.19,4155.9,7747.01,2805.95,4919.88,2356.8,17965.29,1984.96,10508.74,24893.33,6657.14,6298.06,14481.58,1244.6,945.24,7946.28,2014.46,4083.5,997.46,5132.56,2025.47,2862.25,6043.52,12378.16,5875.73,1832.22,1587.49,640.43,6857.71,4256.14,3572.69,2611.3,3181.05,6172.22,1738.67,1726.56,9750.66,5187.34,6657.6,1907.01,2160.0,2692.92
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,2.93,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,9.73,0.0,0.0,0.0,109.67,15.25,38.02,0.0,469.14,0.0,0.0,61.55,5.32,10.37,4.66,0.0,12.23,2.81,0.0,19.59,24.56,11.41,7.32,2.04,1.58,11.01,0.0,0.0,3.87,0.0,0.0,0.0,7.86,0.0,12.23,3.53,3.56,0.0,0.0,0.0,268.93,0.0,0.0,0.0,1.08,0.0,0.0,5.49,0.0,4.72,3.36,3.65,17.6,0.0,0.0
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,0.0,40.14,0.0,0.0,0.0,2.66,6.22,0.0,0.0,7.34,0.0,0.0,0.0,0.0,9.12,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,0.0,0.0,0.0,18.02,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,18.23,0.0,0.0,0.0
hsa-miR-107,0.0,31.52,6.2,8.59,38.94,67.73,151.6,55.71,149.74,159.03,70.6,26.44,28.16,0.0,44.39,67.7,5.32,0.0,25.61,40.2,41.59,50.58,5.28,117.57,11.16,91.24,54.89,32.65,85.43,12.59,7.42,3.58,0.0,0.0,6.71,16.24,11.79,22.83,9.17,38.81,94.22,9.16,3.97,6.86,170.5,0.0,0.0,0.0,24.79,2.28,44.34,0.0,19.98,56.64,20.17,80.21,8.8,12.46,0.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.06,0.0,6.84,0.0,0.0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.39,0.0,0.0,0.0,0.0,0.0,3.65,14.67,0.0,0.0
hsa-miR-10a-5p,6.46,40.52,12.4,51.53,21.9,19.35,68.75,30.64,23.2,111.1,154.78,79.33,220.49,0.0,28.64,123.1,10.64,18.67,25.61,40.2,7.34,87.1,22.9,1118.54,22.33,107.21,144.55,75.51,44.3,210.84,12.37,5.37,203.2,101.13,0.0,0.0,220.08,0.0,33.64,31.75,49.78,50.38,27.76,0.0,216.25,0.0,24.35,3.87,38.8,0.0,37.69,27.47,0.0,66.07,53.79,29.17,23.47,0.0,15.63
