miRNA,SRR13288406,SRR13288407,SRR13288408,SRR13288409,SRR13288410,SRR13288411,SRR13288412,SRR13288413,SRR13288414,SRR13288415,SRR13288416,SRR13288417,SRR13288418,SRR13288419,SRR13288420,SRR13288421,SRR13288422
hsa-miR-1306-5p,1.35,0.0,0.44,0.0,0.0,0.69,0.84,1.12,1.19,0.73,0.0,0.15,0.26,0.66,0.59,0.11,0.0
hsa-miR-1307-3p,133.01,46.46,63.63,50.33,103.53,192.46,70.12,92.93,72.0,77.12,34.69,159.17,30.37,63.52,172.59,28.25,103.66
hsa-miR-1307-5p,0.68,6.81,0.44,0.0,1.99,6.48,0.0,1.35,0.51,2.42,2.31,14.84,0.51,0.0,7.89,0.11,2.03
hsa-miR-130a-3p,0.0,0.0,0.44,0.0,0.0,0.55,0.0,0.0,0.34,0.0,0.0,0.0,0.13,0.0,0.59,0.0,0.0
hsa-miR-130b-3p,0.0,0.62,0.0,0.0,0.82,0.41,0.0,0.22,0.51,0.0,0.0,0.6,0.0,0.0,1.18,0.34,0.0
hsa-miR-130b-5p,5.4,2.48,13.79,2.96,10.66,13.36,3.26,11.9,9.32,11.05,6.94,7.34,5.23,3.62,17.75,4.92,0.68
hsa-miR-132-3p,0.68,0.0,3.11,0.0,1.52,8.82,0.0,5.84,1.19,0.4,0.0,4.95,0.38,0.0,11.05,2.52,2.03
hsa-miR-132-5p,0.0,0.0,0.44,0.0,0.59,2.76,0.36,0.0,0.17,0.4,0.0,0.3,0.0,0.0,1.78,0.23,0.0
hsa-miR-133a-3p,0.0,0.0,0.0,0.0,0.0,0.28,0.97,0.67,0.0,0.0,0.0,1.05,0.13,0.99,0.39,0.0,0.0
hsa-miR-134-5p,5.4,2.48,10.23,26.64,45.32,65.3,10.02,36.81,21.69,10.16,9.25,27.43,10.21,10.53,77.32,15.79,16.94
hsa-miR-1343-3p,0.0,0.0,0.44,0.0,0.35,0.14,0.12,0.67,0.0,0.0,0.0,0.15,0.0,0.0,0.2,0.0,0.0
hsa-miR-135b-5p,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0
hsa-miR-136-3p,2.7,3.1,1.78,8.88,1.64,5.65,0.84,6.29,1.52,1.37,0.0,1.95,0.38,0.0,15.78,2.86,0.0
hsa-miR-136-5p,1.35,0.0,0.44,0.0,0.12,0.83,0.84,1.57,0.0,0.16,0.0,0.3,0.0,1.32,0.99,1.03,0.0
hsa-miR-138-1-3p,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-3p,0.68,1.24,3.56,0.0,0.94,0.14,0.48,0.22,0.68,1.61,6.94,2.4,0.64,0.33,5.72,0.8,0.0
hsa-miR-139-5p,9.45,0.0,4.0,0.0,1.64,4.96,5.19,8.31,10.0,0.24,0.0,15.74,0.38,5.92,18.74,6.06,0.0
hsa-miR-140-3p,47.26,76.2,107.69,47.37,837.23,1193.2,37.41,230.53,169.42,332.38,247.45,1903.61,195.46,70.44,681.68,114.5,603.68
hsa-miR-140-5p,7.43,0.0,2.22,0.0,1.41,13.5,3.86,7.41,12.03,7.26,0.0,6.59,1.79,10.86,9.86,7.21,0.0
hsa-miR-141-3p,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.0,0.17,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
hsa-miR-142-3p,9.45,1.24,2.67,0.0,19.56,44.22,5.19,6.73,0.34,39.93,6.94,47.81,3.19,8.56,47.34,1.94,7.45
hsa-miR-142-5p,16.2,11.77,9.34,8.88,96.97,343.31,21.36,66.89,4.74,116.41,16.19,300.81,10.08,22.38,288.96,7.09,14.91
