miRNA,GSM3477334,GSM3477335,GSM3477336,GSM3477337,GSM3477338,GSM3477339,GSM3477340,GSM3477341
hsa-miR-374a-5p,28.86,50.65,67.86,59.65,33.71,48.81,16.56,23.35
hsa-miR-374b-3p,0.73,15.96,0.83,1.46,10.01,10.62,0.95,0.51
hsa-miR-374b-5p,40.55,117.63,112.69,57.46,29.06,37.65,34.55,50.31
hsa-miR-374c-5p,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-375-3p,49.13,88.5,63.31,186.17,89.15,125.19,133.93,195.99
hsa-miR-376a-3p,0.55,0.93,0.41,0.81,0.1,0.3,0.71,0.1
hsa-miR-376a-5p,0.0,0.0,0.28,0.0,0.15,0.36,0.0,0.1
hsa-miR-376b-3p,5.11,1.3,8.83,3.57,2.02,1.03,0.47,0.31
hsa-miR-376c-3p,2.56,1.86,2.62,2.03,1.36,0.6,0.47,0.21
hsa-miR-376c-5p,0.0,0.0,0.0,0.08,0.0,0.06,0.0,0.0
hsa-miR-377-3p,0.0,0.37,0.28,0.08,0.0,0.0,0.0,0.0
hsa-miR-378a-3p,2657.1,4331.22,4303.72,8329.56,2802.52,4601.43,4144.67,6889.72
hsa-miR-378a-5p,54.98,29.87,41.38,46.6,37.6,51.58,28.16,38.79
hsa-miR-378b,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-378c,19.91,310.22,33.93,52.44,221.97,343.28,234.97,14.51
hsa-miR-378d,13.33,20.41,45.38,79.83,38.46,19.31,31.71,35.91
hsa-miR-378e,0.0,1.86,1.79,0.41,0.0,0.06,0.0,0.0
hsa-miR-378f,0.0,0.19,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-378i,0.0,0.0,0.41,0.16,0.05,0.12,0.0,0.31
hsa-miR-379-3p,1.1,0.0,1.1,0.65,0.35,0.42,0.95,0.31
hsa-miR-379-5p,0.37,0.37,0.0,0.24,0.1,0.3,1.66,0.31
hsa-miR-380-3p,0.18,0.0,0.0,0.32,0.45,0.36,0.47,0.21
hsa-miR-381-3p,9.68,2.6,15.59,15.16,4.45,3.98,8.52,8.54
hsa-miR-382-3p,1.83,0.19,1.66,1.95,0.71,0.6,2.13,1.34
hsa-miR-382-5p,0.0,0.37,0.28,0.24,0.15,0.18,0.24,0.1
hsa-miR-383-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-3907,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.31
hsa-miR-3909,2.01,2.97,1.93,4.78,3.08,3.14,4.02,5.04
hsa-miR-3910,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-3911,4.38,1.3,3.31,2.19,2.12,2.47,0.95,1.03
hsa-miR-3912-3p,0.73,0.93,1.24,2.43,1.42,1.87,3.31,2.26
hsa-miR-3912-5p,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-3913-3p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-3913-5p,0.18,0.0,1.1,0.81,0.61,0.12,1.66,1.13
hsa-miR-3916,0.0,0.0,0.0,0.0,0.1,0.06,0.0,0.31
hsa-miR-3917,0.73,0.19,0.28,0.41,0.45,0.12,0.95,1.23
hsa-miR-3918,0.0,0.0,0.0,0.0,0.05,0.12,0.0,0.1
hsa-miR-3919,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-3922-3p,0.91,0.74,0.97,0.81,1.16,1.27,3.08,2.26
hsa-miR-3922-5p,0.18,0.0,0.41,0.0,0.05,0.0,0.0,0.1
hsa-miR-3923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-3925-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-3928-3p,0.0,0.74,0.28,1.62,0.61,0.42,0.0,1.13
hsa-miR-3928-5p,0.0,0.0,0.0,0.16,0.0,0.06,0.0,0.0
hsa-miR-3929,1.28,2.6,3.17,3.89,4.3,5.13,2.84,4.32
hsa-miR-3934-5p,0.55,0.19,0.41,0.49,0.51,0.6,0.71,0.31
hsa-miR-3935,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-3936,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-3937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-3938,1.1,2.04,1.66,2.43,1.92,1.81,0.71,1.03
hsa-miR-3939,0.73,0.19,0.41,0.57,0.71,0.42,0.47,1.44
hsa-miR-3940-3p,0.37,0.56,0.41,0.73,0.35,0.12,0.0,0.51
hsa-miR-3940-5p,0.73,0.19,0.28,0.0,0.3,0.18,0.0,0.1
hsa-miR-3941,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1
hsa-miR-3942-3p,0.37,0.19,0.0,0.24,0.1,0.12,0.0,0.0
hsa-miR-3942-5p,0.0,0.74,0.69,1.7,0.86,1.27,0.0,0.51
hsa-miR-3943,0.0,0.19,0.0,0.24,0.05,0.0,0.0,0.0
hsa-miR-3944-3p,0.18,0.56,1.24,2.11,1.06,1.09,1.18,1.54
hsa-miR-3944-5p,0.0,0.74,1.79,1.78,0.51,0.54,1.66,0.51
hsa-miR-3960,6.03,2.41,7.86,5.51,7.78,8.27,15.38,8.95
hsa-miR-409-3p,4.38,2.78,7.31,7.38,3.23,3.68,5.68,4.84
hsa-miR-409-5p,0.0,0.0,0.14,0.0,0.1,0.12,0.95,0.0
hsa-miR-410-3p,14.98,7.42,27.45,30.23,13.04,14.18,13.49,16.46
hsa-miR-411-3p,0.37,0.19,0.14,0.57,0.1,0.36,0.0,0.0
hsa-miR-411-5p,19.0,4.64,22.07,17.34,3.74,4.4,2.84,3.19
hsa-miR-412-5p,1.83,1.3,1.93,1.95,0.51,0.97,2.37,1.44
hsa-miR-421,32.33,39.52,36.28,81.54,39.37,53.03,44.48,72.43
hsa-miR-423-3p,165.49,40.82,155.03,57.06,986.08,73.36,1515.09,139.61
hsa-miR-423-5p,285.67,282.2,296.55,65.89,271.6,29.14,305.95,404.54
hsa-miR-424-3p,5.3,3.53,9.24,8.27,5.76,5.91,8.52,5.86
hsa-miR-424-5p,54.8,97.41,74.76,139.41,77.83,91.4,24.37,41.98
hsa-miR-425-3p,28.13,22.64,35.17,30.56,22.49,29.98,23.43,22.12
hsa-miR-425-5p,79.09,75.33,91.86,89.72,79.7,111.31,39.28,57.61
hsa-miR-4254,0.0,0.0,0.0,0.24,0.05,0.0,0.0,0.21
hsa-miR-4273,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.1
hsa-miR-4279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4284,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4286,42.74,19.48,23.86,19.45,21.73,30.35,15.38,16.36
hsa-miR-429,0.0,0.0,0.0,0.08,0.05,0.3,0.0,0.0
hsa-miR-4292,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
hsa-miR-4306,0.0,0.0,0.0,0.08,0.0,0.0,0.24,0.0
hsa-miR-431-3p,0.0,0.0,0.28,0.16,0.1,0.18,0.47,0.31
hsa-miR-431-5p,0.55,0.0,0.14,0.57,0.1,0.12,0.0,0.41
hsa-miR-432-5p,4.75,1.67,4.41,4.86,0.81,0.97,2.37,1.34
hsa-miR-4323,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-4326,1.1,0.93,1.66,1.78,1.87,1.75,3.55,3.7
hsa-miR-4329,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.21
hsa-miR-433-3p,0.37,0.0,0.28,0.41,0.35,0.0,0.0,0.21
hsa-miR-4421,0.37,0.56,0.55,0.57,0.45,0.36,1.42,0.72
hsa-miR-4422,0.18,0.19,0.0,0.0,0.05,0.0,0.0,0.21
hsa-miR-4423-3p,0.0,0.37,0.14,0.08,0.05,0.12,0.0,0.0
hsa-miR-4423-5p,0.18,0.37,0.83,0.97,0.56,0.54,1.18,0.51
hsa-miR-4424,0.37,0.37,0.41,0.89,0.51,0.54,0.0,0.72
hsa-miR-4426,37.08,33.21,32.97,33.47,19.71,21.54,42.59,34.05
hsa-miR-4427,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.1
hsa-miR-4435,0.0,0.0,0.0,0.0,0.05,0.06,0.24,0.0
hsa-miR-4440,0.18,0.0,0.0,0.0,0.05,0.06,0.0,0.0
hsa-miR-4443,425.04,282.58,225.24,201.41,496.96,575.07,534.29,357.83
hsa-miR-4444,0.55,0.19,0.41,0.32,0.25,0.42,0.47,0.21
hsa-miR-4446-3p,2.56,0.19,1.1,1.86,0.61,0.72,1.42,0.51
hsa-miR-4448,0.0,0.0,0.0,0.0,0.05,0.0,0.24,0.0
hsa-miR-4449,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.51
hsa-miR-4453,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4454,0.0,0.0,2.07,0.0,5.61,2.11,6.63,1.03
hsa-miR-4457,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.21
hsa-miR-4458,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-4460,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-4466,0.55,0.19,0.28,0.41,0.81,0.72,1.42,2.57
hsa-miR-4467,3.11,2.04,2.07,2.67,1.72,1.75,1.66,1.65
hsa-miR-4472,0.0,0.19,0.14,0.08,0.1,0.0,0.0,0.0
hsa-miR-4473,0.55,1.48,1.1,1.62,1.06,0.72,1.42,1.85
hsa-miR-4474-3p,0.73,0.56,0.69,0.89,0.51,0.72,0.0,0.82
hsa-miR-4474-5p,0.0,0.0,0.14,0.0,0.0,0.0,0.24,0.0
hsa-miR-4477a,0.0,0.0,0.14,0.24,0.0,0.0,0.0,0.1
hsa-miR-4477b,0.18,0.19,0.0,0.16,0.05,0.0,0.0,0.1
hsa-miR-4479,0.73,0.0,0.14,0.08,0.15,0.06,0.24,0.0
hsa-miR-448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4482-3p,0.0,0.19,0.0,0.0,0.0,0.0,0.24,0.0
hsa-miR-4485-3p,0.0,0.37,1.38,0.57,0.2,0.3,0.47,0.41
hsa-miR-4485-5p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-4487,0.0,0.0,0.0,0.08,0.0,0.06,0.0,0.0
hsa-miR-4488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
hsa-miR-4492,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.0
hsa-miR-4497,0.0,0.0,0.0,0.0,0.25,0.3,0.0,0.21
hsa-miR-4498,0.0,0.19,0.0,0.24,0.1,0.24,0.24,0.31
hsa-miR-449a,6.58,4.45,5.38,7.7,3.74,7.66,10.65,7.51
hsa-miR-449b-3p,0.0,0.0,0.14,0.0,0.05,0.0,0.0,0.0
hsa-miR-449b-5p,0.18,0.19,0.28,0.24,0.3,0.12,0.0,0.41
hsa-miR-449c-3p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-449c-5p,2.19,1.48,2.76,3.16,2.17,4.95,11.36,7.2
hsa-miR-4500,0.0,0.0,0.28,0.16,0.0,0.0,0.47,0.0
hsa-miR-4502,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4503,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
hsa-miR-4504,0.0,0.0,0.14,0.41,0.1,0.3,0.0,0.1
hsa-miR-4508,0.18,0.0,0.0,0.08,0.15,0.0,0.0,0.0
hsa-miR-450a-1-3p,0.0,0.0,0.14,0.08,0.0,0.24,0.0,0.0
hsa-miR-450a-2-3p,0.18,0.19,0.28,0.49,0.4,0.42,0.0,0.51
hsa-miR-450a-5p,3.84,3.71,3.03,6.24,4.45,4.95,3.08,8.44
hsa-miR-450b-3p,0.0,0.0,0.41,0.16,0.05,0.0,0.0,0.0
hsa-miR-450b-5p,22.83,35.62,44.69,67.43,36.44,48.32,17.04,26.24
hsa-miR-4511,0.0,0.0,0.28,0.08,0.15,0.3,0.24,1.44
hsa-miR-4512,0.37,0.19,0.14,0.41,0.61,0.06,0.24,0.21
hsa-miR-4515,0.37,0.0,0.28,0.08,0.05,0.06,0.24,0.0
hsa-miR-4516,0.0,0.0,0.55,0.24,0.05,0.06,0.24,1.44
hsa-miR-4517,0.91,1.11,0.97,0.89,0.71,0.18,0.71,0.31
hsa-miR-4519,0.0,0.19,0.0,0.24,0.25,1.39,0.24,1.13
hsa-miR-451a,75.62,0.0,4.0,3.32,2.27,1.93,2.13,39.92
hsa-miR-452-3p,0.0,0.0,0.97,0.65,0.15,0.18,0.0,0.1
hsa-miR-452-5p,0.0,0.0,0.0,0.0,0.0,0.42,0.24,0.21
hsa-miR-4521,2.19,1.48,3.03,2.03,1.82,1.39,1.18,0.93
hsa-miR-4523,0.37,0.19,1.24,0.41,0.96,0.48,0.24,0.0
hsa-miR-4524a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.1
hsa-miR-4526,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-4533,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
hsa-miR-454-3p,44.57,39.15,24.0,30.72,31.44,37.41,18.93,21.71
hsa-miR-454-5p,7.67,7.98,6.21,11.59,10.01,9.83,16.56,11.83
hsa-miR-455-3p,6.76,2.78,4.14,3.89,4.09,5.49,3.79,5.25
hsa-miR-455-5p,22.1,36.92,46.34,59.33,26.99,37.53,11.59,26.75
hsa-miR-4635,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4637,0.0,0.0,0.28,0.0,0.15,0.0,0.0,0.21
hsa-miR-4638-3p,0.0,0.0,0.14,0.41,0.15,0.12,0.0,0.21
hsa-miR-4638-5p,0.0,0.19,0.28,0.08,0.0,0.18,0.0,0.0
hsa-miR-4639-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4640-3p,0.0,0.0,0.0,0.0,0.1,0.06,0.0,0.0
hsa-miR-4642,0.0,0.0,0.28,0.24,0.0,0.0,0.0,0.0
hsa-miR-4645-3p,0.0,0.19,0.0,0.24,0.05,0.18,0.0,0.0
hsa-miR-4645-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4646-5p,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4651,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-4652-3p,0.18,0.0,0.0,0.0,0.05,0.3,0.47,0.1
hsa-miR-4652-5p,0.37,0.93,0.69,1.62,1.31,1.93,2.13,2.06
hsa-miR-4653-5p,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4654,0.0,0.0,0.0,0.41,0.2,0.24,0.0,0.41
hsa-miR-4655-3p,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4655-5p,0.0,0.0,0.14,0.08,0.0,0.0,0.0,0.41
hsa-miR-4656,0.0,0.0,0.28,0.0,0.05,0.12,0.0,0.0
hsa-miR-4658,0.0,0.0,0.0,0.08,0.05,0.06,0.0,0.1
hsa-miR-4659a-3p,0.0,0.37,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-4659a-5p,0.18,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-4660,0.18,0.0,0.41,0.0,0.05,0.12,0.0,0.0
hsa-miR-4661-3p,0.0,0.0,0.14,0.16,0.05,0.06,0.0,0.0
hsa-miR-4661-5p,0.37,0.56,0.28,1.22,0.51,0.54,0.47,1.23
hsa-miR-4662a-5p,0.0,0.0,0.0,0.24,0.05,0.0,0.0,0.1
hsa-miR-4664-3p,0.37,1.48,0.83,1.86,1.21,1.39,0.71,1.03
hsa-miR-4664-5p,0.0,0.0,0.0,0.08,0.1,0.18,0.0,0.0
hsa-miR-4665-5p,0.0,0.0,0.14,0.16,0.15,0.06,0.24,0.0
hsa-miR-4666a-5p,0.0,0.0,0.0,0.08,0.0,0.06,0.24,0.0
hsa-miR-4667-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4667-5p,0.0,0.0,0.14,0.16,0.0,0.06,0.0,0.1
hsa-miR-4668-5p,0.0,0.0,0.28,0.08,0.15,0.0,0.0,0.0
hsa-miR-4669,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4670-3p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-4670-5p,0.18,0.37,0.14,0.24,0.0,0.0,0.0,0.0
hsa-miR-4671-3p,0.0,0.0,0.28,0.0,0.0,0.18,0.0,0.0
hsa-miR-4671-5p,0.0,0.0,0.0,0.08,0.0,0.06,0.0,0.0
hsa-miR-4672,0.18,0.19,0.0,0.0,0.05,0.18,0.0,0.0
hsa-miR-4673,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.21
hsa-miR-4674,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4676-3p,0.37,0.37,0.14,0.49,0.15,0.36,0.0,0.31
hsa-miR-4676-5p,0.0,0.0,0.0,0.0,0.0,0.06,0.24,0.0
hsa-miR-4677-3p,3.84,4.64,3.59,5.84,4.35,3.74,11.83,5.76
hsa-miR-4677-5p,0.55,0.56,0.55,1.78,0.86,0.48,1.89,0.93
hsa-miR-4680-3p,0.0,0.0,0.14,0.0,0.0,0.12,0.0,0.21
hsa-miR-4680-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4683,0.37,0.0,0.28,0.0,0.05,0.0,0.0,0.0
hsa-miR-4684-3p,0.0,0.0,0.0,0.0,0.1,0.18,0.0,0.1
hsa-miR-4685-3p,0.0,0.0,0.0,0.24,0.2,0.3,0.24,0.21
hsa-miR-4685-5p,0.0,0.0,0.55,0.16,0.15,0.06,0.0,0.0
hsa-miR-4687-3p,0.37,0.0,0.69,0.65,0.71,0.54,0.24,0.93
hsa-miR-4687-5p,0.91,0.74,0.55,0.41,0.45,0.42,0.47,0.0
hsa-miR-4688,0.18,0.19,0.0,0.0,0.1,0.0,0.0,0.1
hsa-miR-4689,0.18,0.19,0.55,0.0,0.2,0.42,0.0,0.51
hsa-miR-4690-3p,0.0,0.19,0.14,0.32,0.2,0.18,0.24,0.1
hsa-miR-4690-5p,0.37,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4691-3p,0.18,0.0,0.14,0.0,0.1,0.12,0.0,0.0
hsa-miR-4691-5p,0.37,0.0,0.0,0.08,0.1,0.0,0.0,0.1
hsa-miR-4695-3p,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-4695-5p,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0
hsa-miR-4697-3p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-4697-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4699-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4700-3p,0.18,0.19,0.14,0.0,0.0,0.0,0.0,0.1
hsa-miR-4700-5p,0.18,0.0,0.41,0.0,0.05,0.0,0.0,0.21
hsa-miR-4701-5p,0.0,0.19,0.14,0.16,0.1,0.0,0.0,0.0
hsa-miR-4706,0.0,0.0,0.0,0.32,0.25,0.3,0.0,0.1
hsa-miR-4707-5p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-4709-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.21
hsa-miR-4709-5p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-4712-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4713-3p,0.0,0.19,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-4713-5p,0.0,0.19,0.83,0.49,0.35,0.36,0.24,0.93
hsa-miR-4714-3p,0.18,0.0,0.41,0.65,0.05,0.36,0.24,0.21
hsa-miR-4714-5p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-4716-5p,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4717-3p,0.0,0.0,0.41,0.08,0.05,0.12,0.0,0.0
hsa-miR-4721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4723-3p,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-4724-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4724-5p,0.37,0.0,0.0,0.0,0.0,0.06,0.24,0.0
hsa-miR-4725-3p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-4728-3p,0.0,0.0,0.14,0.08,0.0,0.0,0.0,0.0
hsa-miR-4728-5p,0.18,0.56,0.55,0.0,0.25,0.12,0.24,0.0
hsa-miR-4729,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4730,0.37,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-4731-3p,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4731-5p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-4733-3p,0.0,0.0,0.14,0.08,0.05,0.0,0.0,0.1
hsa-miR-4733-5p,0.0,0.0,0.14,0.08,0.0,0.18,0.0,0.1
hsa-miR-4734,0.18,0.0,0.0,0.08,0.05,0.24,0.0,0.21
hsa-miR-4735-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4738-3p,0.0,0.0,0.0,0.08,0.0,0.18,0.0,0.0
hsa-miR-4741,0.18,0.19,1.1,0.65,1.87,1.27,4.26,1.95
hsa-miR-4742-3p,0.37,0.19,0.14,0.57,0.45,0.3,1.89,0.51
hsa-miR-4743-3p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.1
hsa-miR-4743-5p,0.0,0.0,0.0,0.0,0.1,0.12,0.0,0.1
hsa-miR-4745-3p,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.1
hsa-miR-4745-5p,0.18,0.0,0.28,0.24,0.25,0.12,0.47,0.31
hsa-miR-4746-3p,0.0,0.0,0.14,0.08,0.05,0.06,0.0,0.1
hsa-miR-4746-5p,4.75,5.2,2.9,6.65,2.98,4.59,3.31,7.41
hsa-miR-4747-3p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-4748,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4749-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4749-5p,0.73,0.0,0.55,0.08,0.15,0.18,0.24,0.31
hsa-miR-4750-5p,0.0,0.19,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4753-3p,0.18,0.37,0.28,0.32,0.45,0.06,0.95,0.41
hsa-miR-4753-5p,0.18,0.19,0.0,0.08,0.05,0.06,0.0,0.0
hsa-miR-4754,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
hsa-miR-4755-3p,0.18,0.0,0.14,0.0,0.3,0.3,0.0,0.1
hsa-miR-4755-5p,0.0,0.19,0.14,0.16,0.05,0.0,0.0,0.1
hsa-miR-4757-3p,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-4758-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4758-5p,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.21
hsa-miR-4761-3p,1.1,0.56,2.62,1.05,1.72,2.47,0.71,1.34
hsa-miR-4761-5p,1.46,1.3,2.76,1.86,1.01,1.63,0.24,0.93
hsa-miR-4762-3p,0.0,0.0,0.0,0.0,0.05,0.24,0.0,0.0
hsa-miR-4762-5p,0.37,0.56,1.24,1.22,0.4,1.03,0.47,0.62
hsa-miR-4763-3p,0.37,0.0,0.0,0.0,0.05,0.0,0.24,0.1
hsa-miR-4763-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4764-3p,0.18,0.0,0.14,0.08,0.0,0.0,0.0,0.0
hsa-miR-4766-3p,2.56,5.57,3.17,7.21,2.17,2.78,1.66,1.34
hsa-miR-4766-5p,0.18,0.37,0.28,0.49,0.25,0.36,0.0,0.21
hsa-miR-4767,0.0,0.0,0.28,0.0,0.3,0.0,0.0,0.1
hsa-miR-4768-5p,0.0,0.0,0.0,0.0,0.15,0.0,0.24,0.1
hsa-miR-4772-3p,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.1
hsa-miR-4772-5p,0.0,0.0,0.0,0.0,0.05,0.12,0.0,0.0
hsa-miR-4774-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4775,0.91,1.11,0.55,1.86,1.11,1.45,1.89,1.65
hsa-miR-4778-3p,0.0,0.19,0.0,0.16,0.05,0.06,0.0,0.1
hsa-miR-4778-5p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-4781-3p,0.0,0.0,0.28,0.24,0.05,0.0,0.0,0.41
hsa-miR-4782-3p,0.0,0.0,0.14,0.0,0.0,0.12,0.0,0.0
hsa-miR-4782-5p,0.0,0.0,0.0,0.0,0.05,0.12,0.0,0.0
hsa-miR-4783-3p,0.0,0.0,0.28,0.41,0.0,0.12,0.24,0.21
hsa-miR-4783-5p,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-4784,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4785,0.18,0.19,0.41,0.65,0.51,0.6,0.71,0.72
hsa-miR-4786-3p,0.18,0.56,0.14,0.81,0.2,0.12,0.0,0.21
hsa-miR-4786-5p,0.37,0.93,2.07,1.38,0.51,0.9,2.13,1.65
hsa-miR-4787-3p,4.2,2.23,2.34,2.35,5.41,4.65,8.28,7.61
hsa-miR-4787-5p,0.37,0.19,0.28,0.0,0.3,0.24,0.0,0.21
hsa-miR-4791,0.0,0.56,0.0,0.57,0.4,0.54,0.95,0.93
hsa-miR-4793-3p,0.0,0.37,0.55,0.57,0.15,0.66,0.95,0.51
hsa-miR-4793-5p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-4794,0.0,0.19,0.28,0.0,0.1,0.06,0.0,0.1
hsa-miR-4795-3p,0.0,0.19,0.28,0.08,0.25,0.0,0.0,0.21
hsa-miR-4796-3p,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4796-5p,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.1
hsa-miR-4797-3p,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4798-5p,0.0,0.0,0.28,0.16,0.0,0.0,0.0,0.0
hsa-miR-4799-5p,0.37,0.19,0.41,0.41,0.0,0.3,0.0,0.0
hsa-miR-4800-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4800-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
hsa-miR-4803,0.18,0.0,0.41,0.41,0.35,0.3,0.24,0.51
hsa-miR-4804-3p,0.0,0.0,0.0,0.08,0.0,0.06,0.0,0.1
hsa-miR-4804-5p,0.0,0.0,0.0,0.16,0.1,0.0,0.0,0.0
hsa-miR-483-3p,4.02,2.78,4.0,5.03,4.85,5.31,7.1,6.58
hsa-miR-483-5p,0.91,0.74,1.38,1.38,0.66,1.99,0.71,1.75
