miRNA,SRR29300460,SRR29300461,SRR29300462,SRR29300463,SRR29300464,SRR29300465,SRR29300466,SRR29300467,SRR29300468,SRR29300469,SRR29300470,SRR29300471,SRR29300472,SRR29300473,SRR29300474,SRR29300475,SRR29300476,SRR29300477,SRR29300478,SRR29300479,SRR29300480,SRR29300481,SRR29300482,SRR29300483,SRR29300484,SRR29300485,SRR29300486,SRR29300487
hsa-miR-181d-5p,1206.34,825.99,5.39,9.55,43.48,8.11,10.47,13.28,519.37,338.49,2196.75,13.47,1733.08,28.29,275.79,1754.94,1425.09,7.09,535.23,716.34,1079.14,559.05,1120.14,1129.53,4.72,1977.49,342.02,0.0
hsa-miR-182-3p,2.61,3.19,0.0,0.95,3.11,0.0,0.87,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0
hsa-miR-182-5p,141.0,108.43,238.82,65.88,239.15,766.82,95.12,84.97,485.37,293.15,7.42,17.51,5.46,11.57,390.99,15.75,12.06,4.25,172.88,20.95,246.77,7.93,9.13,11.28,18.89,6.6,17.1,15.2
hsa-miR-183-3p,0.0,3.19,0.0,0.0,0.0,0.0,0.44,0.0,5.67,3.02,0.0,0.0,0.0,0.0,3.49,0.0,0.0,1.42,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-5p,161.89,593.18,344.76,534.67,941.08,94.67,418.02,94.26,1104.83,595.37,569.6,234.41,745.48,23.15,59.35,1343.77,31.35,21.26,727.06,372.83,5.88,3.96,21.31,3.76,9.45,2.2,1160.02,15.2
hsa-miR-184,603.17,832.37,533.3,328.44,816.84,377.33,196.36,334.55,1029.29,1202.83,0.0,1.35,0.0,1.29,6.98,0.0,2.41,1.42,22.5,12.57,4.9,3.96,15.22,9.4,9.45,2.2,2.85,5.07
hsa-miR-1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-185-5p,402.11,6.38,1.8,0.0,0.0,1.35,825.14,5.31,1688.41,278.04,5.57,262.7,0.91,2.57,10.47,8.75,2.41,248.0,69.86,23.04,1687.25,17.84,681.82,37.59,28.34,747.88,57.0,605.3
hsa-miR-186-5p,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,175.29,3.71,168.4,1.82,0.0,3.49,0.0,0.0,7.09,20.13,2.09,0.0,1.98,0.0,1.88,4.72,0.0,2.85,0.0
hsa-miR-187-3p,0.0,669.72,5.39,0.0,3.11,0.0,0.44,576.18,3.78,0.0,3.71,4.04,2.73,2.57,13.96,5.25,7.23,7.09,95.92,0.0,180.18,0.0,3.04,0.0,0.0,499.32,253.67,0.0
