miRNA,SRR24875824,SRR24875825,SRR24875826,SRR24875827,SRR24875828,SRR24875829,SRR24875830,SRR24875831,SRR24875832
hsa-miR-10b-5p,28242.0,40595.0,28397.0,33737.0,53416.0,33518.0,10168.0,46574.0,2081.0
hsa-miR-11400,305.0,29.0,306.0,901.0,0.0,889.0,7.0,1176.0,24.0
hsa-miR-1180-3p,348.0,0.0,327.0,0.0,1.0,1.0,152.0,0.0,0.0
hsa-miR-122-5p,1512.0,10606.0,24207.0,7849.0,7742.0,9910.0,6518.0,21801.0,1174.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1246,96.0,27.0,77.0,2422.0,1921.0,2407.0,1342.0,230.0,11.0
hsa-miR-125a-3p,0.0,0.0,0.0,0.0,704.0,0.0,0.0,178.0,0.0
hsa-miR-125a-5p,890.0,2045.0,857.0,1443.0,2368.0,1543.0,458.0,1506.0,3.0
hsa-miR-125b-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-125b-5p,267.0,931.0,230.0,1.0,512.0,0.0,76.0,539.0,0.0
hsa-miR-126-3p,3383.0,11560.0,3456.0,4858.0,8950.0,4631.0,2508.0,5754.0,1690.0
hsa-miR-126-5p,0.0,0.0,0.0,0.0,0.0,0.0,10.0,92.0,0.0
hsa-miR-127-3p,323.0,7.0,323.0,853.0,8.0,788.0,235.0,216.0,1.0
hsa-miR-1273h-5p,16.0,0.0,21.0,0.0,3.0,1.0,2.0,255.0,0.0
hsa-miR-1275,302.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,5427.0,3935.0,5508.0,6285.0,1910.0,6102.0,1485.0,3957.0,1238.0
hsa-miR-1284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,1.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0
hsa-miR-1285-5p,0.0,645.0,1.0,1.0,0.0,0.0,0.0,379.0,0.0
hsa-miR-129-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1290,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
hsa-miR-1291,0.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
