miRNA,SRR8560004,SRR8560005,SRR8560006
hsa-miR-335-5p,16.11,6.89,5.75
hsa-miR-339-3p,2.84,0.38,1.92
hsa-miR-339-5p,28.43,29.85,23.95
hsa-miR-33a-3p,0.0,1.53,1.92
hsa-miR-33a-5p,0.95,0.38,0.0
hsa-miR-340-5p,0.95,0.77,0.0
hsa-miR-342-3p,67.29,20.66,21.08
hsa-miR-345-3p,0.95,0.0,0.96
hsa-miR-345-5p,20.85,15.31,17.24
hsa-miR-34a-5p,0.0,0.38,1.92
hsa-miR-34b-3p,12.32,16.84,18.2
hsa-miR-34c-5p,2.84,1.91,3.83
hsa-miR-3605-3p,0.0,0.0,0.96
hsa-miR-3605-5p,0.95,0.38,0.0
hsa-miR-361-3p,8.53,1.91,9.58
hsa-miR-361-5p,41.7,22.96,20.12
hsa-miR-3613-3p,0.95,4.21,0.96
hsa-miR-3613-5p,9.48,17.99,13.41
hsa-miR-3615,2.84,0.77,4.79
hsa-miR-3617-3p,0.95,2.3,0.96
hsa-miR-3617-5p,0.95,0.0,0.0
hsa-miR-362-5p,0.0,0.38,0.0
hsa-miR-363-3p,5.69,0.38,1.92
hsa-miR-3648,5.69,8.8,19.16
hsa-miR-3652,0.0,0.38,0.96
hsa-miR-3654,0.95,0.0,0.0
hsa-miR-365a-3p,0.0,1.15,4.79
hsa-miR-365b-3p,2.84,0.77,0.0
hsa-miR-365b-5p,0.95,0.0,0.0
hsa-miR-3664-3p,0.95,0.0,0.96
hsa-miR-3665,0.0,1.15,0.0
hsa-miR-3679-3p,0.95,0.0,0.0
hsa-miR-3688-3p,0.95,0.0,0.0
hsa-miR-369-3p,18.01,10.71,5.75
hsa-miR-3691-5p,0.0,0.38,0.0
hsa-miR-370-3p,1.9,0.0,0.0
hsa-miR-374a-3p,0.0,1.53,0.96
hsa-miR-374a-5p,44.55,10.33,22.99
hsa-miR-374b-5p,153.54,1.53,11.5
hsa-miR-376a-3p,0.0,0.38,0.0
hsa-miR-376c-3p,2.84,0.0,0.0
hsa-miR-376c-5p,0.95,0.0,0.0
hsa-miR-377-5p,0.0,0.38,0.0
hsa-miR-378a-3p,26.54,2.3,1.92
