miRNA,ERR12138325,ERR12138326,ERR12138327,ERR12138328,ERR12138329,ERR12138330,ERR12138331,ERR12138332,ERR12138333,ERR12138334,ERR12138336,ERR12138338,ERR12138339
hsa-miR-520c-3p,0.0,0.0,0.0,6.36,0.0,0.0,2.85,0.0,0.0,0.0,17.4,2.74,0.0
hsa-miR-520c-5p,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,5.49,3.99
hsa-miR-520d-3p,0.0,0.0,0.0,6.36,0.0,5.52,11.41,0.0,0.0,0.0,14.5,0.0,11.96
hsa-miR-520d-5p,0.0,0.0,0.0,3.18,3.47,0.0,2.85,0.0,0.0,0.0,2.9,0.0,0.0
hsa-miR-520e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97
hsa-miR-520e-5p,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,2.74,7.97
hsa-miR-520f-3p,0.0,0.0,0.0,3.18,20.79,2.76,17.11,0.0,0.0,0.0,40.59,35.67,23.92
hsa-miR-520g-3p,0.0,0.0,0.0,15.89,20.79,2.76,11.41,0.0,0.0,0.0,23.19,21.95,35.88
hsa-miR-520g-5p,0.0,0.0,0.0,0.0,0.0,2.76,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520h,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,8.7,13.72,3.99
hsa-miR-521,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,5.8,5.49,0.0
hsa-miR-522-3p,0.0,4.41,0.0,38.14,51.98,27.62,65.58,7.31,5.16,0.0,104.37,131.71,99.68
hsa-miR-522-5p,0.0,0.0,0.0,34.96,45.05,52.47,17.11,0.0,0.0,0.0,72.48,109.76,115.62
hsa-miR-523-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,27.44,11.96
hsa-miR-523-5p,0.0,0.0,0.0,15.89,6.93,5.52,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-524-5p,0.0,0.0,0.0,0.0,3.47,5.52,8.55,0.0,0.0,0.0,8.7,5.49,19.94
hsa-miR-525-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-525-5p,0.0,0.0,0.0,3.18,0.0,16.57,0.0,0.0,0.0,0.0,14.5,24.7,3.99
hsa-miR-526a-5p,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,2.9,0.0,11.96
hsa-miR-526b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.74,0.0
hsa-miR-526b-5p,0.0,0.0,0.0,15.89,10.4,13.81,0.0,0.0,0.0,0.0,26.09,32.93,11.96
hsa-miR-527,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-532-3p,0.0,0.0,0.0,0.0,17.33,2.76,5.7,0.0,0.0,2.68,5.8,8.23,3.99
hsa-miR-532-5p,34.24,52.87,15.85,38.14,34.65,38.66,31.36,58.5,77.4,244.07,78.28,54.88,63.79
hsa-miR-539-3p,7.34,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,7.97
hsa-miR-539-5p,7.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-541-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0
hsa-miR-542-3p,14.68,0.0,13.21,6.36,10.4,8.28,5.7,1.83,0.0,0.0,5.8,5.49,3.99
hsa-miR-543,46.47,66.08,39.64,3.18,3.47,8.28,0.0,0.0,2.58,0.0,28.99,16.46,0.0
hsa-miR-548a-3p,0.0,0.0,0.0,3.18,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548aa,0.0,0.0,0.0,0.0,0.0,0.0,8.55,0.0,0.0,0.0,8.7,0.0,0.0
hsa-miR-548ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31,0.0,2.68,0.0,0.0,0.0
hsa-miR-548ad-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0
hsa-miR-548ad-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.73,0.0,0.0,0.0
hsa-miR-548ae-3p,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ah-5p,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548aj-3p,0.0,0.0,0.0,0.0,0.0,0.0,11.41,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548am-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31,0.0,13.41,2.9,0.0,0.0
hsa-miR-548ao-3p,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ar-3p,0.0,0.0,2.64,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ay-3p,0.0,0.0,0.0,0.0,0.0,2.76,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ay-5p,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-548b-5p,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548c-5p,0.0,0.0,0.0,3.18,13.86,0.0,0.0,0.0,0.0,2.68,0.0,5.49,0.0
hsa-miR-548e-3p,0.0,4.41,0.0,0.0,3.47,2.76,0.0,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-548e-5p,0.0,0.0,0.0,0.0,0.0,8.28,0.0,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-548h-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,24.14,2.9,0.0,0.0
hsa-miR-548i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31,2.58,2.68,0.0,0.0,0.0
hsa-miR-548j-5p,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99
hsa-miR-548k,0.0,0.0,0.0,12.71,3.47,0.0,2.85,10.97,0.0,0.0,0.0,2.74,0.0
hsa-miR-548l,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548o-3p,0.0,0.0,2.64,6.36,3.47,0.0,2.85,0.0,0.0,18.77,5.8,10.98,3.99
hsa-miR-548o-5p,2.45,0.0,0.0,0.0,10.4,0.0,14.26,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-548s,0.0,0.0,0.0,0.0,3.47,2.76,2.85,0.0,7.74,0.0,0.0,2.74,0.0
hsa-miR-548t-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,5.36,0.0,0.0,0.0
