miRNA,DRR213885,DRR213886
hsa-miR-155-5p,10.34,12.51
hsa-miR-15b-3p,0.14,0.49
hsa-miR-15b-5p,0.14,0.0
hsa-miR-16-2-3p,2.31,2.55
hsa-miR-16-5p,1.09,1.82
hsa-miR-17-5p,0.41,0.85
hsa-miR-181a-3p,0.0,0.12
hsa-miR-181a-5p,5.17,3.28
hsa-miR-181b-3p,0.0,0.12
hsa-miR-181b-5p,2.99,1.58
hsa-miR-181d-5p,0.14,0.12
hsa-miR-182-5p,1.77,0.97
hsa-miR-183-5p,0.95,1.34
hsa-miR-184,0.0,0.24
hsa-miR-1843,0.27,0.36
hsa-miR-185-3p,0.0,0.12
hsa-miR-185-5p,2.99,3.89
hsa-miR-186-5p,5.03,5.47
hsa-miR-187-3p,0.14,0.0
hsa-miR-188-5p,0.14,0.0
hsa-miR-18a-3p,0.14,0.12
hsa-miR-18a-5p,0.0,0.12
hsa-miR-1908-5p,0.0,0.24
hsa-miR-191-5p,20.81,25.15
hsa-miR-192-5p,5.58,6.07
hsa-miR-193a-3p,0.68,0.49
hsa-miR-193a-5p,11.7,10.81
hsa-miR-193b-3p,0.82,0.49
hsa-miR-193b-5p,0.14,0.49
hsa-miR-194-5p,0.14,0.36
hsa-miR-195-3p,0.0,0.24
hsa-miR-195-5p,0.0,0.24
hsa-miR-196a-5p,14.83,11.91
hsa-miR-196b-5p,1.77,1.46
hsa-miR-197-3p,0.41,2.07
hsa-miR-199a-3p,41.49,70.95
hsa-miR-199a-5p,16.05,19.2
hsa-miR-199b-3p,58.09,10.45
hsa-miR-199b-5p,6.53,8.26
hsa-miR-19a-3p,0.27,0.49
hsa-miR-19b-3p,0.41,0.24
hsa-miR-200a-3p,0.41,0.24
hsa-miR-200a-5p,0.41,0.24
hsa-miR-200b-3p,0.95,1.58
hsa-miR-200b-5p,0.0,0.12
hsa-miR-200c-3p,2.04,1.09
hsa-miR-203a-3p,1.63,1.94
hsa-miR-204-3p,1.36,0.49
hsa-miR-204-5p,7.75,7.41
hsa-miR-205-5p,0.82,0.85
hsa-miR-206,0.0,0.12
hsa-miR-20a-5p,1.22,2.31
hsa-miR-21-3p,0.0,0.36
hsa-miR-21-5p,685.06,818.04
hsa-miR-210-3p,0.0,0.12
hsa-miR-2110,0.14,0.0
hsa-miR-2115-3p,0.0,0.12
hsa-miR-212-5p,0.14,0.61
hsa-miR-214-3p,0.95,0.73
hsa-miR-214-5p,0.14,1.46
hsa-miR-215-5p,0.54,0.36
hsa-miR-218-5p,44.89,35.36
hsa-miR-22-3p,130.18,122.83
hsa-miR-22-5p,17.41,13.12
hsa-miR-221-3p,141.07,163.78
hsa-miR-221-5p,5.85,6.44
hsa-miR-222-3p,181.33,236.8
