miRNA,SRR6502956,SRR6502957,SRR6502958,SRR6502959,SRR6502960,SRR6502961,SRR6502962,SRR6502963,SRR6502964,SRR6502965,SRR6502966,SRR6502967
hsa-miR-1284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0
hsa-miR-1285-3p,1.51,2.12,3.34,0.0,5.2,6.45,0.0,0.96,5.46,2.63,2.32,8.55
hsa-miR-1285-5p,13.57,5.65,3.34,7.3,7.28,13.55,2.42,0.0,0.0,5.26,0.0,1.9
hsa-miR-1286,0.0,1.41,1.11,1.46,0.0,0.0,0.0,0.96,2.18,0.0,0.77,0.95
hsa-miR-1287-3p,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.96,2.18,0.0,0.0,0.0
hsa-miR-1287-5p,12.06,20.48,16.68,13.13,19.76,22.58,0.0,14.4,22.91,10.52,28.58,15.19
hsa-miR-1288-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,4.36,0.0,0.0,0.0
hsa-miR-1289,0.0,0.0,0.0,0.0,2.08,0.65,0.0,0.96,1.09,0.0,0.0,0.95
hsa-miR-129-1-3p,0.0,0.71,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-2-3p,0.0,0.0,0.0,0.0,1.04,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,1.51,4.94,2.22,10.21,2.08,2.58,3.63,6.72,50.19,5.26,5.41,10.45
hsa-miR-1291,7.54,20.48,26.68,43.78,5.2,25.16,0.0,0.0,1.09,2.63,2.32,3.8
hsa-miR-1292-5p,3.02,2.82,4.45,0.0,3.12,4.52,1.21,1.92,7.64,15.78,1.55,5.7
hsa-miR-1293,6.03,2.12,1.11,2.92,1.04,0.65,1.21,1.92,3.27,2.63,2.32,0.95
hsa-miR-1294,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.9
hsa-miR-1296-5p,34.68,46.6,43.36,20.43,34.32,63.86,2.42,38.39,51.28,15.78,43.26,37.03
hsa-miR-1297,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1298-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0
hsa-miR-1298-5p,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.96,2.18,0.0,0.0,0.0
hsa-miR-1299,4.52,2.82,1.11,4.38,7.28,1.29,0.0,0.96,2.18,0.0,1.55,2.85
hsa-miR-1301-3p,0.0,33.89,22.23,1.46,11.44,20.64,1.21,18.24,13.09,7.89,3.86,4.75
hsa-miR-1302,0.0,0.71,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1303,1.51,2.12,3.34,0.0,3.12,11.61,1.21,5.76,3.27,2.63,8.5,3.8
hsa-miR-1304-5p,1.51,4.24,0.0,0.0,3.12,1.29,0.0,1.92,8.73,2.63,1.55,2.85
hsa-miR-1305,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,0.0,3.53,3.34,0.0,0.0,2.58,0.0,2.88,5.46,0.0,3.86,1.9
hsa-miR-1306-5p,3.02,2.12,0.0,1.46,10.4,1.94,0.0,2.88,0.0,0.0,2.32,0.0
hsa-miR-1307-3p,271.41,348.83,372.43,62.75,579.3,582.45,19.38,422.29,351.3,107.84,209.36,260.19
hsa-miR-1307-5p,39.2,46.6,77.82,13.13,39.52,41.93,1.21,53.75,61.1,0.0,81.12,51.28
hsa-miR-130a-3p,60.31,96.74,40.02,37.94,45.76,42.57,8.48,52.79,75.28,23.67,33.22,18.99
hsa-miR-130a-5p,7.54,0.71,3.34,1.46,1.04,1.29,1.21,5.76,7.64,2.63,6.18,4.75
hsa-miR-130b-3p,10.55,26.13,11.12,14.59,9.36,9.68,1.21,14.4,21.82,10.52,17.77,14.24
hsa-miR-130b-5p,34.68,60.73,62.26,7.3,124.8,115.46,1.21,37.43,33.82,18.41,21.63,27.54
hsa-miR-132-3p,63.33,23.3,13.34,45.24,15.6,13.55,0.0,31.67,39.28,13.15,12.36,15.19
hsa-miR-132-5p,3.02,18.36,11.12,2.92,6.24,12.26,0.0,9.6,17.46,0.0,6.95,2.85
hsa-miR-1323,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,0.0,1.41,0.0,0.0,1.04,0.0,0.0,0.96,0.0,0.0,0.0,0.0
hsa-miR-134-5p,0.0,0.71,0.0,1.46,2.08,0.65,1.21,0.0,4.36,0.0,0.0,0.95
hsa-miR-1343-3p,1.51,0.71,0.0,0.0,3.12,3.87,0.0,2.88,0.0,0.0,0.0,0.0
