miRNA,ERR11011318,ERR11011319,ERR11011320,ERR11011321,ERR11011322,ERR11011323,ERR11011324,ERR11011325,ERR11011326
hsa-miR-3907,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3915,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
hsa-miR-3916,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3960,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-424-5p,6.0,0.0,0.0,13.0,0.0,18.0,1.0,21.0,45.0
hsa-miR-425-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-425-5p,1.0,6.0,0.0,3.0,6.0,8.0,0.0,20.0,6.0
hsa-miR-432-5p,54.0,258.0,244.0,65.0,102.0,0.0,6.0,156.0,11.0
hsa-miR-4433b-3p,10.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433b-5p,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-4505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
hsa-miR-451a,16.0,88.0,2.0,84.0,25.0,1.0,3.0,0.0,96.0
hsa-miR-4660,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-4707-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-4800-5p,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-483-5p,9.0,65.0,22.0,18.0,17.0,0.0,0.0,56.0,13.0
hsa-miR-484,24.0,4.0,1.0,8.0,7.0,0.0,0.0,13.0,28.0
hsa-miR-486-5p,0.0,11.0,55.0,17.0,98.0,69.0,1.0,1.0,73.0
hsa-miR-499a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
