miRNA,ERR3559065,ERR3559066
hsa-miR-1292-5p,145.0,78.0
hsa-miR-1294,188.0,19.0
hsa-miR-1296-5p,3.0,6.0
hsa-miR-1298-5p,2.0,11.0
hsa-miR-1299,74.0,44.0
hsa-miR-1301-3p,966.0,829.0
hsa-miR-1303,132.0,6.0
hsa-miR-1304-3p,0.0,4.0
hsa-miR-1304-5p,207.0,32.0
hsa-miR-1306-3p,59.0,17.0
hsa-miR-1306-5p,38.0,16.0
hsa-miR-1307-3p,209.0,96.0
hsa-miR-1307-5p,31.0,10.0
hsa-miR-130a-3p,66.0,39.0
hsa-miR-130b-3p,61.0,35.0
hsa-miR-130b-5p,2265.0,1537.0
hsa-miR-132-3p,50.0,36.0
hsa-miR-132-5p,63.0,22.0
hsa-miR-1323,38.0,0.0
hsa-miR-133a-3p,1538.0,685.0
hsa-miR-133b,0.0,6.0
hsa-miR-134-5p,42.0,115.0
hsa-miR-1343-3p,160.0,121.0
hsa-miR-135a-5p,15.0,0.0
hsa-miR-136-3p,133.0,48.0
hsa-miR-138-5p,1.0,0.0
hsa-miR-139-3p,514.0,199.0
hsa-miR-139-5p,1162.0,616.0
hsa-miR-140-3p,5000.0,1689.0
hsa-miR-140-5p,2.0,8.0
hsa-miR-141-3p,37.0,39.0
hsa-miR-142-3p,1.0,0.0
hsa-miR-142-5p,176463.0,30908.0
hsa-miR-143-3p,1115.0,617.0
hsa-miR-143-5p,1.0,0.0
hsa-miR-144-3p,3684.0,1917.0
hsa-miR-144-5p,336.0,60.0
hsa-miR-145-3p,1257.0,364.0
hsa-miR-145-5p,208.0,102.0
hsa-miR-1468-5p,294.0,131.0
hsa-miR-146a-5p,94237.0,39043.0
hsa-miR-146b-3p,36.0,25.0
hsa-miR-146b-5p,7358.0,3123.0
hsa-miR-148a-3p,21456.0,7240.0
hsa-miR-148a-5p,126.0,53.0
hsa-miR-148b-3p,2104.0,1107.0
hsa-miR-149-3p,17.0,0.0
hsa-miR-149-5p,32.0,21.0
hsa-miR-150-3p,529.0,239.0
hsa-miR-150-5p,7417.0,5453.0
hsa-miR-151a-3p,14481.0,6485.0
hsa-miR-151a-5p,26500.0,15742.0
hsa-miR-151b,7298.0,3592.0
hsa-miR-152-3p,42.0,26.0
