miRNA,ERR3559065,ERR3559066
hsa-miR-99a-5p,123693.0,26250.0
hsa-miR-99b-3p,22.0,0.0
hsa-miR-99b-5p,41304.0,18996.0
hsa-mir-12136-5p,2.0,12.0
hsa-mir-1273c-5p,69.0,29.0
hsa-mir-1291-5p,10.0,0.0
hsa-mir-2110-5p,78.0,48.0
hsa-mir-3135b-5p,5.0,0.0
hsa-mir-3155a-3p,13.0,0.0
hsa-mir-3159-5p,29.0,0.0
hsa-mir-3648-1-5p,6.0,7.0
hsa-mir-3648-2-5p,7.0,1.0
hsa-mir-3651-3p,15.0,0.0
hsa-mir-3908-5p,5.0,22.0
hsa-mir-3909-3p,20.0,14.0
hsa-mir-451a-5p,2.0,83.0
hsa-mir-4734-3p,0.0,2.0
hsa-mir-5193-3p,2.0,0.0
hsa-mir-548ag-2-5p,1.0,10.0
hsa-mir-548aw-5p,2.0,5.0
hsa-mir-548ax-5p,12.0,0.0
hsa-mir-558-3p,1.0,6.0
hsa-mir-5695-3p,49.0,3.0
hsa-mir-636-3p,5.0,3.0
hsa-mir-641-5p,20.0,7.0
hsa-mir-645-3p,3.0,0.0
hsa-mir-663a-5p,3.0,0.0
hsa-mir-7851-3p,14.0,0.0
hsa-mir-7854-3p,1.0,5.0
hsa-mir-8072-5p,27.0,0.0
hsa-mir-941-2-3p,0.0,7.0
