miRNA,ERR3412357,ERR3412358,ERR3412359,ERR3412360,ERR3412361,ERR3412362,ERR3412363,ERR3412364,ERR3412365,ERR3412366,ERR3412367,ERR3412368,ERR3412369,ERR3412370,ERR3412371,ERR3412372,ERR3412373,ERR3412374,ERR3412375,ERR3412376,ERR3412377,ERR3412378
hsa-miR-891a-5p,0.0,9.02,0.0,0.0,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59,13.92,8.42,15.98,11.27,11.14,19.75
hsa-miR-891b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16
hsa-miR-892a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0
hsa-miR-892c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
hsa-miR-9-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-9-5p,6.86,15.78,0.0,0.0,0.0,13.97,7.35,0.0,17.66,17.83,0.0,1393.79,0.0,13.66,0.0,9.89,1.39,5.61,28.77,0.0,1.59,3.48
hsa-miR-92a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-92a-3p,507.97,290.86,604.52,410.9,436.06,607.8,279.38,237.57,247.31,160.47,255.15,327.95,412.82,964.64,650.17,1127.03,777.93,949.48,1601.46,397.15,198.92,368.23
hsa-miR-92b-3p,45.76,15.78,48.19,62.26,36.34,62.88,58.82,37.12,17.66,35.66,111.63,204.97,39.32,174.89,143.49,125.23,77.93,7.02,22.38,39.43,23.87,41.82
hsa-miR-93-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,1.65,1.39,0.0,6.39,0.0,1.59,1.16
hsa-miR-93-5p,66.36,27.06,21.9,24.9,18.17,27.94,22.06,14.85,35.33,17.83,0.0,0.0,39.32,19.13,58.29,51.08,22.27,131.23,92.7,8.45,12.73,10.45
hsa-miR-934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0
hsa-miR-937-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16
