miRNA,SRR17622163,SRR17622164,SRR17622165,SRR17622166,SRR17622167,SRR17622168,SRR17622169,SRR17622170,SRR17622171,SRR17622172,SRR17622173,SRR17622174,SRR17622175,SRR17622176,SRR17622177,SRR17622178,SRR17622179,SRR17622180,SRR17622181
hsa-miR-106a-5p,15.43,0.83,4.19,4.65,9.38,13.87,18.73,10.76,11.9,1.45,2.03,0.29,5.42,0.27,2.22,2.66,0.34,0.85,7.74
hsa-miR-106b-3p,257.39,27.7,48.05,63.77,35.01,62.62,63.58,71.62,57.81,30.52,22.54,5.49,37.29,14.36,8.86,22.77,39.33,17.8,47.33
hsa-miR-106b-5p,154.03,14.47,30.06,36.09,14.74,26.44,41.86,58.03,35.5,8.07,7.66,7.22,21.46,9.13,15.95,30.16,26.56,16.1,40.82
hsa-miR-107,41.91,1.24,1.72,1.33,9.21,5.44,43.12,5.1,48.7,23.74,1.58,0.0,3.47,1.21,7.98,0.89,2.41,1.69,33.61
hsa-miR-10a-3p,24.69,14.88,34.25,36.31,87.61,87.75,84.99,26.61,77.51,33.75,25.02,21.67,48.35,16.78,5.32,15.67,21.39,30.08,26.22
hsa-miR-10a-5p,3159.71,4557.1,5905.15,10479.6,15369.27,12122.68,9251.99,9299.46,9306.19,3388.35,4654.99,1631.96,8750.13,1311.8,888.54,4141.16,4244.49,5253.58,3268.93
hsa-miR-10b-3p,22.63,16.54,26.61,39.19,94.65,107.81,81.84,43.03,75.84,35.21,11.72,6.65,49.43,11.81,8.86,16.26,22.77,25.0,13.55
hsa-miR-10b-5p,7372.91,7061.81,9452.58,17582.24,30322.41,32115.97,21753.28,14853.89,18587.66,7270.24,3910.56,1643.23,18083.45,3126.19,1115.44,6271.47,5491.89,8030.36,2420.64
hsa-miR-11400,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-11401,1.54,0.41,0.0,0.44,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,23.91,14.47,19.47,25.02,38.53,29.62,14.48,34.82,13.57,5.81,8.56,6.65,22.33,4.03,5.32,13.6,15.52,17.58,11.09
hsa-miR-1185-1-3p,1.03,0.0,1.48,3.1,2.18,3.56,3.62,2.55,3.72,1.78,3.61,0.0,1.08,1.21,4.43,0.3,2.41,0.42,3.7
hsa-miR-1185-2-3p,0.26,0.0,0.49,0.0,0.17,1.12,0.0,0.85,0.19,0.48,0.0,0.0,0.0,0.13,0.89,1.77,0.69,0.42,1.23
hsa-miR-1185-5p,0.0,0.0,0.49,0.0,0.5,0.0,0.0,0.0,1.49,0.32,0.23,0.0,0.0,0.13,0.0,0.0,0.69,0.0,0.53
hsa-miR-1197,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.13,0.0,0.0,0.69,0.0,0.53
hsa-miR-12124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
hsa-miR-12136,2.31,0.83,6.41,2.21,3.35,2.25,7.87,3.11,6.51,3.88,2.7,0.29,4.34,1.61,6.2,2.37,10.0,2.75,7.21
hsa-miR-122-5p,10.03,62.02,128.14,0.66,13.9,3.0,32.11,144.37,0.56,5.01,26.59,419.55,154.36,12.08,10.19,34.89,113.49,27.12,26.22
hsa-miR-1225-3p,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1225-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.25,0.0,0.17,0.0,0.47,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.69,0.0,0.0
hsa-miR-1228-3p,0.0,0.41,1.23,0.0,0.17,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
