miRNA,SRR18439762
hsa-miR-1268a,43
hsa-miR-411-5p,62
hsa-miR-519a-5p,42
hsa-miR-4473,101
hsa-miR-3614-5p,47
hsa-miR-4652-5p,41
hsa-miR-500a-5p,60
hsa-miR-130b-3p,102
hsa-miR-409-3p,72
hsa-miR-29c-3p,59
hsa-miR-3617-5p,44
hsa-miR-19b-1-5p,37
hsa-miR-4454,34
hsa-miR-590-3p,42
hsa-miR-370-3p,42
hsa-miR-1278,66
hsa-miR-324-3p,37
hsa-miR-889-3p,46
hsa-miR-877-5p,69
hsa-miR-6515-5p,36
hsa-miR-542-5p,40
hsa-miR-330-5p,62
hsa-miR-194-3p,40
hsa-miR-25-5p,52
hsa-miR-664b-3p,55
hsa-miR-641,35
hsa-let-7f-1-3p,37
hsa-miR-149-3p,28
hsa-miR-2110,66
hsa-miR-15a-5p,103
hsa-miR-4787-3p,35
hsa-mir-326-3p,31
hsa-miR-1255a,48
hsa-miR-139-3p,35
hsa-miR-1843,81
hsa-miR-653-3p,50
hsa-miR-2277-5p,42
hsa-miR-548e-3p,44
hsa-miR-1293,123
hsa-miR-493-5p,26
hsa-miR-758-3p,44
hsa-miR-578,34
hsa-miR-3158-3p,66
hsa-miR-10a-3p,25
hsa-miR-24-1-5p,25
hsa-miR-2682-3p,30
hsa-miR-6733-5p,30
hsa-miR-522-3p,41
hsa-miR-642a-5p,22
hsa-miR-141-3p,31
hsa-miR-212-3p,43
hsa-miR-3178,21
hsa-miR-3176,56
hsa-miR-326,23
hsa-miR-518e-5p,21
hsa-miR-137-3p,76
hsa-miR-34b-3p,37
hsa-miR-576-5p,30
hsa-miR-203b-3p,23
hsa-mir-7854-3p,25
hsa-miR-1-3p,44
hsa-miR-452-5p,43
hsa-miR-3911,27
hsa-miR-1285-3p,27
hsa-miR-217-5p,35
hsa-let-7g-3p,36
hsa-mir-2110-5p,52
hsa-miR-499a-5p,35
hsa-miR-4661-5p,33
hsa-miR-18a-3p,50
hsa-miR-5010-3p,39
hsa-mir-663a-5p,133
hsa-miR-4684-3p,25
hsa-miR-136-3p,19
hsa-miR-301b-3p,22
hsa-miR-3200-3p,30
hsa-miR-219b-5p,27
hsa-miR-145-5p,21
hsa-miR-489-3p,20
hsa-miR-429,23
hsa-miR-1299,17
hsa-miR-1270,27
hsa-miR-126-3p,49
hsa-miR-324-5p,39
hsa-miR-491-5p,19
hsa-miR-1304-5p,44
hsa-miR-516a-5p,27
hsa-miR-320c,25
hsa-miR-141-5p,18
hsa-miR-3133,26
hsa-miR-23b-5p,66
hsa-miR-4677-5p,30
hsa-miR-449c-5p,25
hsa-miR-550a-5p,26
hsa-miR-3177-3p,24
hsa-miR-504-5p,19
hsa-miR-135b-3p,38
hsa-miR-3928-3p,40
hsa-miR-4798-5p,16
hsa-miR-409-5p,17
hsa-miR-663a,47
hsa-miR-212-5p,20
hsa-miR-597-3p,18
hsa-miR-188-5p,30
hsa-mir-1293-5p,60
hsa-miR-10401-3p,25
hsa-miR-33a-5p,20
hsa-miR-6866-5p,32
hsa-miR-744-3p,32
hsa-miR-654-3p,32
hsa-miR-4636,13
hsa-miR-142-3p,20
hsa-miR-3661,27
hsa-miR-224-5p,26
hsa-mir-935-3p,18
hsa-mir-12136-5p,83
hsa-mir-4521-5p,64
hsa-miR-5008-3p,18
hsa-miR-4709-3p,18
hsa-miR-17-3p,27
hsa-miR-6505-5p,21
hsa-miR-548d-3p,12
hsa-miR-3944-3p,15
hsa-miR-494-3p,12
hsa-miR-3677-3p,30
hsa-miR-4645-3p,30
hsa-miR-151b,29
hsa-miR-29b-1-5p,26
hsa-miR-580-3p,20
hsa-miR-6500-3p,11
hsa-miR-1262,17
hsa-miR-590-5p,29
hsa-miR-6501-5p,14
hsa-miR-181b-2-3p,13
hsa-miR-581,24
hsa-miR-9903,18
hsa-miR-675-3p,12
hsa-miR-147b-5p,31
hsa-miR-222-5p,46
hsa-miR-10395-3p,67
hsa-miR-4504,14
hsa-miR-3613-5p,11
hsa-miR-454-5p,23
hsa-miR-127-5p,13
hsa-miR-1301-3p,20
hsa-miR-219a-5p,12
hsa-mir-1303-3p,16
hsa-miR-1260a,9
hsa-miR-323a-3p,16
hsa-miR-26a-1-3p,9
hsa-miR-942-3p,10
hsa-mir-1255a-5p,9
hsa-mir-2278-5p,15
hsa-mir-5687-3p,9
hsa-mir-622-3p,14
hsa-miR-486-3p,17
hsa-miR-133a-3p,8
hsa-miR-378i,11
hsa-miR-1292-5p,21
hsa-miR-1285-5p,39
hsa-miR-5690,15
hsa-miR-3187-3p,20
hsa-miR-548j-5p,17
hsa-miR-5000-3p,11
hsa-miR-629-3p,13
hsa-miR-34c-3p,15
hsa-miR-550a-3-5p,9
hsa-miR-26b-3p,14
hsa-miR-551a,8
hsa-miR-411-3p,7
hsa-miR-122-5p,7
hsa-miR-619-5p,9
hsa-miR-181c-5p,13
hsa-miR-134-5p,16
hsa-miR-877-3p,15
hsa-miR-3913-5p,20
hsa-miR-664a-5p,25
hsa-miR-3662,11
hsa-mir-3155a-3p,14
hsa-miR-502-5p,19
hsa-miR-362-3p,12
hsa-mir-941-3-3p,9
hsa-miR-4766-3p,8
hsa-miR-196a-3p,11
hsa-miR-6868-3p,7
hsa-miR-6770-3p,8
hsa-miR-5585-3p,7
hsa-miR-4786-5p,7
hsa-miR-4659a-3p,7
hsa-miR-1468-5p,7
hsa-miR-3164,8
hsa-miR-299-3p,23
hsa-miR-330-3p,18
hsa-mir-548l-5p,7
hsa-miR-301a-3p,15
hsa-miR-6125,9
hsa-miR-449a,9
hsa-miR-3690,10
hsa-miR-335-5p,8
hsa-miR-3150a-5p,6
hsa-miR-3614-3p,9
hsa-miR-6510-3p,9
hsa-miR-199b-3p,13
hsa-miR-589-3p,11
hsa-miR-628-5p,7
hsa-miR-382-3p,13
hsa-miR-940,13
hsa-miR-6882-5p,9
hsa-miR-219a-1-3p,22
hsa-miR-548at-3p,6
hsa-let-7f-2-3p,12
hsa-miR-1257,10
hsa-miR-6837-3p,6
hsa-miR-6815-5p,6
hsa-miR-20a-3p,12
hsa-miR-301a-5p,7
hsa-miR-103a-2-5p,5
hsa-miR-2355-3p,12
hsa-miR-4775,5
hsa-miR-6516-3p,8
hsa-mir-3611-3p,5
hsa-miR-6818-3p,9
hsa-miR-1271-5p,10
hsa-miR-2116-3p,10
hsa-miR-1908-5p,7
hsa-miR-5091,9
hsa-let-7i-3p,15
hsa-miR-500b-3p,21
hsa-miR-342-5p,13
hsa-mir-3199-1-5p,5
hsa-miR-3130-5p,8
hsa-miR-519a-3p,8
hsa-miR-624-5p,10
hsa-miR-1179,5
hsa-miR-3180-3p,5
hsa-miR-184,6
hsa-miR-3134,7
hsa-miR-3157-5p,9
hsa-miR-296-3p,9
hsa-miR-1343-3p,11
hsa-miR-126-5p,5
hsa-miR-3127-5p,8
hsa-miR-216a-3p,8
hsa-miR-323b-3p,5
hsa-miR-95-5p,7
hsa-mir-3648-2-5p,33
hsa-miR-7110-3p,6
hsa-miR-129-1-3p,6
hsa-miR-4793-3p,8
hsa-miR-1245b-5p,5
hsa-miR-2113,6
hsa-miR-3141,5
hsa-miR-548v,8
hsa-miR-3192-5p,8
hsa-miR-4665-5p,5
hsa-miR-29b-2-5p,7
hsa-miR-199a-3p,6
hsa-miR-4435,4
hsa-miR-5699-3p,7
hsa-miR-191-3p,14
hsa-miR-4682,4
hsa-miR-382-5p,4
hsa-miR-6724-5p,8
hsa-miR-6715b-3p,6
hsa-miR-3155a,4
hsa-miR-548a-3p,6
hsa-miR-190b-5p,5
hsa-miR-556-5p,12
hsa-miR-5089-5p,4
hsa-miR-4527,4
hsa-miR-320d,8
hsa-miR-516b-3p,5
hsa-miR-573,10
hsa-miR-4306,4
hsa-miR-320a-5p,6
hsa-miR-4802-3p,4
hsa-miR-628-3p,5
hsa-miR-549a-3p,7
hsa-miR-561-5p,6
hsa-miR-105-5p,4
hsa-miR-216b-5p,4
hsa-miR-1910-5p,10
hsa-miR-766-5p,6
hsa-miR-183-3p,11
hsa-miR-3128,4
hsa-mir-3941-3p,9
hsa-miR-548l,4
hsa-miR-1266-5p,6
hsa-miR-598-5p,8
hsa-miR-6877-5p,8
hsa-miR-676-3p,6
hsa-miR-372-3p,4
hsa-miR-656-3p,4
hsa-mir-4467-5p,4
hsa-mir-3648-1-5p,37
hsa-miR-6509-5p,6
hsa-miR-624-3p,4
hsa-miR-3664-3p,4
hsa-miR-6514-5p,8
hsa-miR-6778-3p,5
hsa-miR-5582-3p,7
hsa-miR-3157-3p,5
hsa-mir-4473-3p,8
hsa-miR-597-5p,4
hsa-miR-3180,4
hsa-miR-4484,7
hsa-miR-3611,6
hsa-miR-1292-3p,6
hsa-miR-874-5p,3
hsa-miR-432-5p,6
hsa-miR-615-5p,3
hsa-miR-6741-3p,3
hsa-miR-4687-3p,6
hsa-miR-548p,3
hsa-mir-548n-5p,4
hsa-miR-4439,5
hsa-miR-214-3p,5
hsa-miR-6799-3p,3
hsa-miR-106a-5p,3
hsa-miR-653-5p,3
hsa-miR-203a-5p,5
hsa-miR-197-5p,3
hsa-miR-570-3p,3
hsa-miR-487a-3p,3
hsa-miR-6820-3p,3
hsa-miR-4421,8
hsa-miR-495-3p,4
hsa-miR-9985,3
hsa-miR-933,3
hsa-mir-1278-3p,3
hsa-miR-3942-5p,3
hsa-miR-6741-5p,3
hsa-miR-3912-3p,9
hsa-miR-548ay-5p,3
hsa-miR-675-5p,4
hsa-miR-138-1-3p,5
hsa-mir-607-3p,3
hsa-miR-5000-5p,7
hsa-miR-1287-3p,4
hsa-mir-1273c-5p,5
hsa-miR-5090,5
hsa-mir-1181-5p,8
hsa-miR-7113-5p,3
hsa-miR-3613-3p,4
hsa-miR-548ar-3p,3
hsa-miR-6854-5p,4
hsa-miR-548az-3p,3
hsa-miR-1306-3p,8
hsa-mir-3132-5p,3
hsa-miR-214-5p,5
hsa-miR-6832-5p,3
hsa-miR-4522,9
hsa-miR-1276,5
hsa-mir-7705-5p,3
hsa-miR-516a-3p,6
hsa-miR-3187-5p,4
hsa-miR-3617-3p,3
hsa-mir-7976-5p,3
hsa-miR-9901,4
hsa-miR-549a-5p,3
hsa-mir-3159-5p,6
hsa-mir-449a-5p,3
hsa-miR-3115,3
hsa-miR-511-5p,6
hsa-miR-3180-5p,3
hsa-miR-3943,3
hsa-miR-4691-3p,3
hsa-miR-6511a-3p,3
hsa-miR-939-5p,6
hsa-miR-543,3
hsa-miR-4746-3p,3
hsa-miR-10399-5p,6
hsa-miR-654-5p,3
hsa-miR-12136,5
hsa-miR-34b-5p,6
hsa-miR-10396a-3p,5
hsa-mir-1289-1-3p,6
hsa-miR-451a,4
hsa-miR-4725-3p,6
hsa-miR-6878-5p,4
hsa-miR-6839-5p,9
hsa-miR-18b-5p,4
hsa-miR-643,7
hsa-miR-3940-5p,4
hsa-miR-338-5p,4
hsa-miR-6806-3p,3
hsa-miR-632,6
hsa-miR-4687-5p,3
hsa-miR-337-5p,5
hsa-miR-135a-3p,2
hsa-miR-345-3p,2
hsa-miR-6783-5p,3
hsa-miR-514a-3p,2
hsa-miR-6772-3p,4
hsa-miR-627-3p,5
hsa-miR-548q,4
hsa-miR-1273c,3
hsa-miR-548w,2
hsa-miR-660-3p,2
hsa-miR-200c-5p,3
hsa-miR-548ay-3p,3
hsa-miR-3163,3
hsa-miR-3199,6
hsa-miR-2355-5p,2
hsa-miR-6755-5p,3
hsa-miR-3174,3
hsa-miR-4762-3p,2
hsa-miR-2278,4
hsa-miR-34a-3p,4
hsa-miR-3691-5p,8
hsa-miR-1290,2
hsa-miR-4749-3p,2
hsa-miR-1288-5p,2
hsa-miR-511-3p,2
hsa-miR-137-5p,5
hsa-miR-4740-5p,5
hsa-miR-452-3p,3
hsa-miR-708-3p,2
hsa-miR-1180-5p,2
hsa-miR-431-5p,4
hsa-miR-136-5p,2
hsa-miR-4700-3p,2
hsa-miR-1976,2
hsa-miR-101-5p,2
hsa-miR-1226-3p,4
hsa-miR-663b,8
hsa-miR-450a-1-3p,2
hsa-miR-570-5p,2
hsa-miR-1908-3p,2
hsa-miR-10396b-3p,3
hsa-miR-4712-5p,2
hsa-miR-639,2
hsa-miR-3916,4
hsa-miR-3121-3p,2
hsa-miR-3605-3p,3
hsa-miR-3677-5p,3
hsa-miR-1271-3p,4
hsa-mir-3135b-5p,2
hsa-miR-3648,4
hsa-mir-4444-1-3p,2
hsa-miR-4796-3p,2
hsa-miR-10393-3p,2
hsa-miR-433-3p,2
hsa-miR-3682-3p,2
hsa-miR-6513-5p,3
hsa-miR-548i,2
hsa-mir-9902-2-5p,2
hsa-miR-5009-5p,3
hsa-miR-6794-3p,4
hsa-miR-224-3p,2
hsa-miR-6749-3p,3
hsa-miR-5008-5p,2
hsa-miR-10526-3p,2
hsa-miR-4999-5p,2
hsa-miR-483-3p,2
hsa-miR-1322,2
hsa-miR-4723-5p,2
hsa-miR-509-3-5p,2
hsa-miR-7705,5
hsa-miR-4742-3p,2
hsa-miR-885-3p,3
hsa-mir-558-3p,2
hsa-mir-641-5p,2
hsa-miR-503-3p,4
hsa-mir-5696-5p,7
hsa-miR-3922-3p,4
hsa-miR-6515-3p,2
hsa-miR-2277-3p,5
hsa-miR-520g-3p,2
hsa-miR-6079,2
hsa-mir-3180-5-5p,2
