miRNA,ERR5922419,ERR5922420,ERR5922421,ERR5922422,ERR5922423,ERR5922424,ERR5922425,ERR5922426,ERR5922427,ERR5922428
hsa-miR-3648,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
hsa-miR-3650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-3652,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3654,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-3655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-3659,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0
hsa-miR-365a-3p,329.0,25.0,409.0,193.0,187.0,198.0,50.0,254.0,467.0,101.0
hsa-miR-365a-5p,113.0,142.0,79.0,25.0,74.0,53.0,193.0,64.0,215.0,72.0
hsa-miR-365b-3p,85.0,118.0,170.0,24.0,295.0,54.0,665.0,36.0,859.0,509.0
hsa-miR-365b-5p,10.0,20.0,4.0,3.0,21.0,7.0,25.0,21.0,10.0,21.0
hsa-miR-3660,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,5.0
hsa-miR-3661,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
hsa-miR-3664-3p,27.0,39.0,80.0,14.0,149.0,94.0,116.0,160.0,727.0,54.0
hsa-miR-3664-5p,11.0,7.0,3.0,2.0,2.0,21.0,11.0,3.0,7.0,12.0
hsa-miR-3665,3.0,1.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,4.0
hsa-miR-3667-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-3668,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3674,1.0,2.0,0.0,0.0,0.0,31.0,51.0,8.0,2.0,2.0
hsa-miR-3675-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-3675-5p,4.0,8.0,7.0,7.0,11.0,51.0,36.0,14.0,37.0,34.0
hsa-miR-3677-3p,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
hsa-miR-3678-5p,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0
hsa-miR-3679-5p,17.0,24.0,19.0,8.0,37.0,32.0,106.0,72.0,61.0,33.0
hsa-miR-3680-3p,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
hsa-miR-3680-5p,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
hsa-miR-3681-5p,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-3682-3p,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0
hsa-miR-3684,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-3685,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
hsa-miR-3686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3688-3p,1.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,5.0,4.0
hsa-miR-3689b-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-369-3p,327.0,268.0,901.0,1011.0,5486.0,1768.0,688.0,1608.0,5444.0,1686.0
hsa-miR-369-5p,183.0,182.0,228.0,186.0,1617.0,763.0,1301.0,902.0,706.0,2007.0
hsa-miR-3690,26.0,72.0,2.0,3.0,15.0,78.0,182.0,158.0,30.0,68.0
hsa-miR-3691-5p,0.0,4.0,1.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0
hsa-miR-370-3p,772.0,1482.0,734.0,826.0,3258.0,836.0,1664.0,1272.0,1165.0,4196.0
hsa-miR-370-5p,0.0,6.0,5.0,3.0,25.0,49.0,22.0,16.0,16.0,28.0
hsa-miR-371a-3p,174.0,155.0,19.0,180.0,957.0,7.0,852.0,295.0,2128.0,868.0
hsa-miR-371a-5p,411.0,83.0,655.0,124.0,1470.0,94.0,974.0,374.0,3766.0,1609.0
