miRNA,SRR27277256,SRR27277257,SRR27277258,SRR27277259,SRR27277260,SRR27277261,SRR27277262,SRR27277263
hsa-miR-130a-5p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
hsa-miR-130b-3p,0.0,43.85,0.0,4.2,0.0,0.48,1.88,5.06
hsa-miR-130b-5p,0.0,0.0,97.82,53.14,8.13,73.16,62.84,159.67
hsa-miR-132-3p,2.59,1.69,7.19,0.0,0.0,0.48,0.75,0.0
hsa-miR-132-5p,0.0,0.0,15.82,2.4,0.0,0.0,5.27,4.7
hsa-miR-1323,0.0,89.39,135.22,9.01,41.34,2.38,22.2,16.62
hsa-miR-133a-3p,16.82,0.0,106.45,4.8,18.3,1611.37,11.66,70.08
hsa-miR-133a-5p,0.0,0.0,0.0,0.0,0.0,20.9,1.51,3.61
hsa-miR-133b,0.0,0.0,0.0,0.0,0.0,119.24,0.0,0.0
hsa-miR-134-5p,6.47,48.91,10.07,114.99,5.42,194.77,121.91,148.83
hsa-miR-1343-3p,0.0,0.0,0.0,1.2,0.0,0.0,0.38,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44
hsa-miR-135a-3p,0.0,0.0,0.0,2.1,0.0,0.0,0.75,0.0
hsa-miR-135a-5p,0.0,64.09,0.0,0.0,0.68,0.48,0.75,0.0
hsa-miR-135b-5p,0.0,0.0,0.0,0.0,0.0,1.43,0.38,0.0
hsa-miR-136-3p,0.0,0.0,1.44,2.4,0.0,0.95,3.01,1.81
hsa-miR-136-5p,3.88,37.11,0.0,4.2,0.68,68.41,0.0,4.7
hsa-miR-138-5p,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-3p,0.0,0.0,136.66,62.75,2.71,2.38,75.63,88.5
hsa-miR-139-5p,9.06,8.43,1170.92,208.96,21.69,280.75,185.87,140.16
hsa-miR-140-3p,54.34,900.68,579.71,796.8,183.65,2085.95,1493.38,928.39
hsa-miR-140-5p,0.0,0.0,23.02,5.7,6.1,21.85,10.91,11.56
hsa-miR-141-3p,2.59,28.67,0.0,0.6,0.68,1.43,0.0,0.0
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
hsa-miR-142-3p,1.29,26.99,117.96,58.54,0.0,85.51,52.3,66.83
hsa-miR-142-5p,2.59,40.48,752.32,427.22,33.88,623.74,1591.96,869.51
hsa-miR-143-3p,106.1,3855.7,1310.45,494.47,660.06,5500.61,1356.8,814.96
hsa-miR-143-5p,0.0,0.0,0.0,1.5,0.0,6.18,0.38,0.0
hsa-miR-144-3p,0.0,40.48,319.34,62.75,12.2,127.31,164.8,76.58
hsa-miR-144-5p,0.0,18.55,136.66,51.34,0.0,5.23,105.73,58.88
hsa-miR-145-3p,1.29,0.0,0.0,1.8,0.0,7.6,6.77,5.78
hsa-miR-145-5p,2.59,160.23,31.65,5.4,18.3,169.12,3.39,10.11
hsa-miR-1468-5p,0.0,0.0,0.0,3.6,0.0,0.0,3.01,3.61
