miRNA,SRR8992368,SRR8992369,SRR8992370,SRR8992371,SRR8992378,SRR8992379,SRR8992380,SRR8992381,SRR8992382,SRR8992383,SRR8992384,SRR8992385,SRR8992387,SRR8992388,SRR8992389,SRR8992390,SRR8992391
hsa-miR-2355-3p,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
hsa-miR-2355-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,35.0,359.0,211.0,109.0,141.0,82.0,189.0,211.0,28.0,302.0,189.0,251.0,532.0,743.0,926.0,213.0,688.0
hsa-miR-23a-5p,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0
hsa-miR-23b-3p,184.0,367.0,1746.0,455.0,460.0,70.0,939.0,215.0,210.0,337.0,568.0,1427.0,456.0,412.0,1136.0,168.0,958.0
hsa-miR-23b-5p,33.0,17.0,41.0,7.0,9.0,19.0,26.0,31.0,30.0,70.0,20.0,38.0,26.0,25.0,25.0,10.0,30.0
hsa-miR-23c,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
hsa-miR-24-1-5p,36.0,34.0,168.0,26.0,4.0,41.0,1.0,47.0,0.0,57.0,42.0,10.0,66.0,52.0,102.0,20.0,45.0
hsa-miR-24-2-5p,3.0,4.0,6.0,1.0,9.0,4.0,2.0,12.0,3.0,8.0,5.0,8.0,6.0,8.0,6.0,4.0,26.0
hsa-miR-24-3p,3921.0,7274.0,20589.0,1905.0,5837.0,9108.0,5847.0,12457.0,10722.0,8729.0,2692.0,10548.0,2994.0,9325.0,4484.0,3914.0,16153.0
hsa-miR-25-3p,2769.0,1184.0,3941.0,937.0,1577.0,2409.0,1725.0,5767.0,6059.0,6710.0,2287.0,3768.0,2408.0,2377.0,3332.0,957.0,4537.0
hsa-miR-25-5p,4.0,5.0,5.0,5.0,4.0,3.0,4.0,10.0,6.0,14.0,9.0,5.0,5.0,4.0,4.0,1.0,4.0
hsa-miR-26a-1-3p,4.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0
hsa-miR-26a-2-3p,1.0,4.0,5.0,5.0,2.0,1.0,5.0,6.0,6.0,8.0,6.0,19.0,5.0,3.0,14.0,3.0,1.0
hsa-miR-26a-5p,7730.0,8652.0,21342.0,7936.0,8935.0,6230.0,20861.0,15679.0,12290.0,20560.0,14970.0,19442.0,17680.0,11882.0,21839.0,8091.0,14216.0
hsa-miR-26b-3p,0.0,6.0,7.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,0.0,5.0,4.0,2.0,10.0,5.0,4.0
hsa-miR-26b-5p,71.0,161.0,426.0,198.0,148.0,88.0,402.0,143.0,137.0,214.0,251.0,366.0,311.0,205.0,704.0,179.0,631.0
hsa-miR-27a-3p,1073.0,1353.0,4123.0,1267.0,897.0,1336.0,1559.0,1868.0,1743.0,3023.0,1147.0,2646.0,1791.0,1747.0,3219.0,900.0,3581.0
hsa-miR-27a-5p,1.0,5.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,3.0,4.0,5.0,4.0,28.0,5.0,2.0,15.0
hsa-miR-27b-3p,7106.0,10230.0,33778.0,8924.0,6245.0,8805.0,16491.0,10838.0,11776.0,14897.0,9839.0,24882.0,15865.0,14697.0,38695.0,6705.0,17634.0
