miRNA,SRR11413935,SRR11413936,SRR11413937,SRR11413938,SRR11413939,SRR11413940,SRR11413941,SRR11413942,SRR11413943,SRR11413944
hsa-miR-425-5p,88.52,160.98,192.02,841.8,197.36,971.69,386.23,730.94,1334.08,217.04
hsa-miR-4286,0.0,0.37,0.85,0.0,1.05,3.92,0.89,0.35,2.81,0.0
hsa-miR-429,0.0,0.49,0.0,0.0,0.63,0.24,0.0,0.0,0.0,0.0
hsa-miR-4306,0.0,0.0,0.24,0.96,0.0,0.61,1.11,0.0,0.24,4.09
hsa-miR-431-3p,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-431-5p,0.0,0.98,1.58,0.0,5.03,13.34,3.44,2.54,10.15,1.98
hsa-miR-432-5p,1.59,17.19,8.25,8.65,14.98,16.03,10.32,0.0,49.89,20.2
hsa-miR-4324,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4326,0.61,4.91,3.4,4.38,4.19,11.87,5.99,24.36,16.63,12.52
hsa-miR-433-3p,0.73,5.28,2.55,5.77,4.09,1.59,1.55,0.0,8.93,1.86
hsa-miR-4420,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-4424,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4429,0.0,0.0,0.73,0.0,2.1,0.12,0.0,0.46,0.37,0.0
hsa-miR-4431,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433a-3p,0.0,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433a-5p,0.0,0.12,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-4433b-3p,0.73,1.23,2.79,17.63,1.15,39.9,5.55,68.45,89.75,2.97
hsa-miR-4433b-5p,6.35,9.45,0.97,60.25,12.68,4.9,0.89,0.0,7.7,9.79
hsa-miR-4435,0.12,0.0,0.36,2.56,0.21,0.86,0.89,1.62,0.0,1.86
hsa-miR-4436a,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.39,0.0,0.0
hsa-miR-4436b-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-4437,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4440,0.0,0.25,0.24,0.0,0.52,0.12,0.0,0.12,0.49,0.0
hsa-miR-4442,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4443,0.37,0.74,3.03,0.75,11.1,2.33,7.21,2.08,0.98,10.29
hsa-miR-4444,0.24,0.25,0.12,0.0,0.63,0.0,0.78,6.46,7.95,0.0
hsa-miR-4446-3p,1.47,2.58,1.46,6.84,5.34,12.36,7.77,3.23,16.38,8.8
hsa-miR-4446-5p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0
