miRNA,GSM3165497,GSM3165508,GSM3165510,GSM3165511
hsa-miR-361-5p,0.0,128.69,0.0,0.0
hsa-miR-3648,0.0,0.0,11.95,0.0
hsa-miR-3665,28.16,64.35,59.77,0.0
hsa-miR-374a-3p,9.39,0.0,11.95,0.0
hsa-miR-374a-5p,18.77,0.0,0.0,0.0
hsa-miR-375-3p,976.21,2573.84,549.92,541.27
hsa-miR-375-5p,9.39,0.0,0.0,0.0
hsa-miR-376c-3p,0.0,64.35,0.0,0.0
hsa-miR-377-3p,9.39,0.0,0.0,0.0
hsa-miR-378a-3p,478.72,965.19,215.19,90.21
hsa-miR-378a-5p,9.39,0.0,0.0,0.0
hsa-miR-378c,0.0,128.69,0.0,0.0
hsa-miR-378d,9.39,0.0,11.95,60.14
hsa-miR-381-3p,9.39,0.0,0.0,0.0
hsa-miR-3909,0.0,0.0,11.95,0.0
hsa-miR-3960,0.0,64.35,0.0,0.0
hsa-miR-409-3p,9.39,0.0,0.0,30.07
hsa-miR-409-5p,0.0,64.35,0.0,0.0
hsa-miR-411-5p,0.0,0.0,11.95,0.0
hsa-miR-423-3p,206.51,64.35,59.77,0.0
hsa-miR-423-5p,356.69,0.0,131.5,60.14
hsa-miR-425-5p,28.16,64.35,35.86,0.0
hsa-miR-4286,0.0,0.0,11.95,0.0
hsa-miR-429,103.25,64.35,11.95,30.07
hsa-miR-4443,0.0,0.0,11.95,0.0
hsa-miR-4454,0.0,64.35,0.0,0.0
hsa-miR-4479,9.39,0.0,0.0,0.0
hsa-miR-4485-3p,9.39,0.0,0.0,0.0
hsa-miR-4488,0.0,0.0,11.95,0.0
hsa-miR-4492,9.39,0.0,0.0,0.0
hsa-miR-4508,9.39,0.0,0.0,0.0
hsa-miR-4516,0.0,0.0,11.95,0.0
hsa-miR-451a,37.55,193.04,119.55,0.0
hsa-miR-455-5p,0.0,0.0,11.95,0.0
hsa-miR-4636,9.39,0.0,0.0,0.0
hsa-miR-484,9.39,64.35,23.91,0.0
hsa-miR-486-5p,413.01,450.42,11.95,0.0
hsa-miR-497-5p,0.0,64.35,0.0,0.0
hsa-miR-500a-3p,0.0,128.69,0.0,0.0
hsa-miR-508-3p,0.0,0.0,0.0,30.07
hsa-miR-532-5p,37.55,0.0,0.0,30.07
hsa-miR-550a-3p,9.39,0.0,0.0,0.0
hsa-miR-574-3p,9.39,193.04,23.91,0.0
hsa-miR-577,46.93,0.0,0.0,0.0
hsa-miR-584-5p,18.77,0.0,0.0,0.0
hsa-miR-592,0.0,64.35,0.0,0.0
hsa-miR-628-5p,0.0,0.0,11.95,0.0
hsa-miR-654-3p,0.0,0.0,11.95,0.0
hsa-miR-660-5p,0.0,64.35,0.0,0.0
hsa-miR-664a-3p,0.0,64.35,0.0,0.0
hsa-miR-671-3p,0.0,0.0,11.95,0.0
hsa-miR-6716-3p,0.0,64.35,0.0,0.0
hsa-miR-744-5p,28.16,64.35,47.82,30.07
hsa-miR-769-5p,28.16,64.35,23.91,0.0
hsa-miR-92a-1-5p,9.39,0.0,11.95,0.0
hsa-miR-92a-3p,2487.47,3603.37,1350.9,691.63
hsa-miR-92b-3p,319.15,128.69,11.95,0.0
hsa-miR-93-3p,9.39,0.0,0.0,0.0
hsa-miR-93-5p,75.09,193.04,47.82,0.0
hsa-miR-96-5p,0.0,0.0,11.95,0.0
hsa-miR-98-5p,75.09,128.69,0.0,0.0
hsa-miR-99a-5p,0.0,64.35,0.0,0.0
hsa-miR-99b-5p,112.64,450.42,71.73,60.14
hsa-mir-12136-5p,9.39,0.0,0.0,0.0
hsa-mir-2110-5p,9.39,0.0,0.0,0.0
hsa-mir-3648-1-5p,9.39,0.0,23.91,0.0
hsa-mir-577-5p,9.39,0.0,0.0,0.0
