miRNA,ERR7197456,ERR7197457,ERR7197458,ERR7197459,ERR7197460,ERR7197461
hsa-miR-143-3p,22622.0,27583.0,29356.0,277.0,284.0,166.0
hsa-miR-143-5p,418.0,401.0,429.0,1.0,0.0,3.0
hsa-miR-144-3p,8819.0,11522.0,10771.0,1012.0,1045.0,1109.0
hsa-miR-144-5p,2528.0,2111.0,1929.0,284.0,292.0,265.0
hsa-miR-145-3p,160.0,138.0,94.0,3.0,1.0,3.0
hsa-miR-145-5p,6842.0,5998.0,5364.0,12.0,12.0,10.0
hsa-miR-1468-3p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,32545.0,27808.0,24889.0,719.0,692.0,687.0
hsa-miR-146b-5p,13882.0,11131.0,9623.0,415.0,358.0,366.0
hsa-miR-147b-3p,53.0,104.0,102.0,7.0,7.0,9.0
hsa-miR-147b-5p,22.0,46.0,26.0,0.0,0.0,0.0
hsa-miR-148a-3p,1154.0,1329.0,1213.0,431.0,513.0,481.0
hsa-miR-148a-5p,7.0,17.0,6.0,0.0,1.0,1.0
hsa-miR-148b-3p,25031.0,25488.0,23430.0,937.0,1081.0,954.0
hsa-miR-148b-5p,1508.0,1296.0,1311.0,10.0,8.0,5.0
hsa-miR-149-5p,1795.0,1902.0,1755.0,30.0,32.0,29.0
hsa-miR-150-5p,410.0,436.0,415.0,11.0,8.0,11.0
hsa-miR-151a-3p,590.0,523.0,559.0,54.0,38.0,41.0
hsa-miR-151a-5p,26541.0,31550.0,29790.0,348.0,567.0,439.0
hsa-miR-151b,5115.0,4841.0,5267.0,117.0,45.0,117.0
hsa-miR-152-3p,73221.0,81320.0,77611.0,87.0,94.0,88.0
hsa-miR-152-5p,141.0,129.0,108.0,0.0,0.0,0.0
hsa-miR-153-3p,738.0,664.0,704.0,0.0,0.0,0.0
hsa-miR-154-3p,39.0,67.0,52.0,0.0,1.0,0.0
hsa-miR-154-5p,224.0,237.0,183.0,0.0,2.0,0.0
hsa-miR-155-5p,81.0,60.0,36.0,4.0,9.0,5.0
hsa-miR-15a-5p,3200.0,3526.0,3441.0,108.0,132.0,114.0
hsa-miR-15b-3p,5526.0,5541.0,5217.0,42.0,27.0,29.0
hsa-miR-15b-5p,3395.0,3679.0,3527.0,403.0,575.0,422.0
hsa-miR-16-1-3p,12.0,10.0,15.0,2.0,2.0,2.0
hsa-miR-16-2-3p,6.0,2.0,1.0,0.0,0.0,0.0
hsa-miR-16-5p,56308.0,51469.0,48739.0,1210.0,1513.0,1070.0
hsa-miR-17-3p,21.0,28.0,33.0,5.0,8.0,3.0
hsa-miR-17-5p,59681.0,53861.0,48517.0,665.0,891.0,508.0
hsa-miR-181a-3p,94.0,107.0,104.0,4.0,2.0,4.0
hsa-miR-181a-5p,8263.0,5371.0,6604.0,394.0,486.0,355.0
hsa-miR-181b-2-3p,7.0,2.0,5.0,0.0,0.0,0.0
hsa-miR-181b-3p,24.0,13.0,26.0,0.0,1.0,0.0
hsa-miR-181b-5p,1420.0,1208.0,1123.0,86.0,107.0,81.0
hsa-miR-181c-3p,226.0,185.0,212.0,10.0,11.0,10.0
hsa-miR-181c-5p,2194.0,1398.0,1806.0,33.0,60.0,47.0
hsa-miR-181d-3p,4.0,2.0,1.0,0.0,0.0,0.0
hsa-miR-181d-5p,821.0,683.0,657.0,94.0,81.0,54.0
hsa-miR-182-3p,0.0,0.0,4.0,0.0,0.0,0.0
hsa-miR-182-5p,102.0,101.0,77.0,3.0,0.0,1.0
hsa-miR-183-5p,56.0,47.0,28.0,1.0,0.0,2.0
hsa-miR-184,4305.0,3763.0,3667.0,44.0,31.0,41.0
hsa-miR-1843,7.0,7.0,4.0,0.0,0.0,0.0
