miRNA,SRR10531357,SRR10531358,SRR10531359,SRR10531360,SRR10531361,SRR10531362,SRR10531363,SRR10531364,SRR10531365,SRR10531366,SRR10531367,SRR10531368,SRR10531369,SRR10531370,SRR10531371,SRR10531372,SRR10531373,SRR10531374,SRR10531375,SRR10531376,SRR10531377,SRR10531378,SRR10531379,SRR10531380,SRR10531381,SRR10531382,SRR10531383,SRR10531384,SRR10531385,SRR10531386,SRR10531387,SRR10531388,SRR10531389,SRR10531390,SRR10531391,SRR10531392,SRR10531393,SRR10531394
hsa-miR-548e-3p,0.0,0.0,0.0,0.0,0.0,1.18,5.27,6.32,0.01,2.67,3.19,3.38,0.0,0.01,0.23,0.0,0.45,0.0,0.01,0.01,0.11,0.0,0.77,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.11,0.0,0.3,0.0,0.0,0.25,0.1,0.21
hsa-miR-548f-3p,0.08,1.05,0.07,0.05,0.06,2.89,0.03,4.14,1.61,1.62,0.01,3.61,6.52,10.28,0.09,0.5,1.12,0.0,1.8,1.5,0.63,1.34,0.8,3.75,0.8,0.03,0.0,3.97,2.02,1.4,1.08,0.91,0.02,0.03,1.26,0.03,0.12,0.4
hsa-miR-548h-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
hsa-miR-548j-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,2.74,0.01,3.71,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
hsa-miR-548j-5p,0.02,0.0,0.04,0.04,1.99,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2,1.94,0.99,0.01,0.01,0.09,1.4,0.75,2.09,1.2,0.96,0.04,1.77,2.16,1.51,2.12,1.42,0.5,0.0,0.04,0.56,0.03,0.06,0.29
hsa-miR-548k,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.45,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.03,0.0,0.0,0.0,0.52,0.0,1.25,0.01,0.01,0.0,0.0,0.02
hsa-miR-548l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548n,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.48,0.0,0.0,0.0,0.0,0.23,0.0,0.0
hsa-miR-548o-3p,8.14,6.37,8.73,8.38,13.53,11.03,31.03,13.11,10.53,31.88,11.73,4.22,20.42,23.99,7.5,8.75,13.75,5.6,8.14,5.07,7.67,10.32,25.29,27.32,13.04,7.91,9.24,23.52,17.02,16.58,9.46,18.82,1.78,15.15,10.93,9.56,3.84,10.83
hsa-miR-548q,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.54,0.0,0.01,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.03,0.0,2.26,0.16,0.04
hsa-miR-548t-5p,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
hsa-miR-548u,2.42,0.02,0.01,0.01,0.0,0.01,0.0,0.0,1.77,0.0,0.0,0.0,4.32,0.0,0.0,0.6,1.02,0.01,0.0,0.0,0.01,0.32,1.34,2.12,0.0,0.01,0.01,2.57,1.06,0.6,0.46,0.02,0.01,0.0,1.69,0.31,0.04,0.06
hsa-miR-548w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
